编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思米妮卡旗舰店"，"点我对话"),思米妮卡旗舰店,思米妮卡旗舰店,4008521509,,,,https://shop72429405.taobao.com,35,5826,广东广州,休闲鞋,,4.92739分,0%,4.88522分,0%,4.88984分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉客旗舰店"，"点我对话"),汉客旗舰店,汉客旗舰店,020-36276236,,,,https://shop61672715.taobao.com,48,15924,广东广州,休闲鞋,,4.8924分,0%,4.87851分,0%,4.87241分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尊象旗舰店"，"点我对话"),尊象旗舰店,尊象旗舰店,13868966208,,,,https://shop106083832.taobao.com,72,216,浙江省温州市,休闲鞋,100.00%,4.752分,0%,4.704分,0%,4.72914分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao松桂坊舌尖旅行专卖店"，"点我对话"),松桂坊舌尖旅行专卖店,松桂坊舌尖旅行专卖店,15388984901,15388984901,,,https://shop114141120.taobao.com/,63,1539,湖南省长沙市,休闲鞋,,4.90564分,0%,4.86867分,0%,4.87275分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao隐形盾旗舰店"，"点我对话"),隐形盾旗舰店,隐形盾旗舰店,18350718608,18350718608,,,https://shop475560228.taobao.com/,231,1126,福建莆田,休闲鞋,100.00%,4.94375分,0%,4.9384分,0%,4.94321分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩衣朵朵旗舰店"，"点我对话"),韩衣朵朵旗舰店,韩衣朵朵旗舰店,18065361913,18065361913,,,https://shop68880641.taobao.com/,327,2305,福建泉州,休闲鞋,100.00%,4.92243分,0%,4.899分,0%,4.8933分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao木木网游数字点卡"，"点我对话"),木木网游数字点卡,木木网游数字点卡,0551-65583732,0551-65583732,,,https://shop112162758.taobao.com/,1586,124121,安徽合肥,休闲鞋,,4.95576分,0%,4.89849分,0%,4.89921分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao英佳旗舰店"，"点我对话"),英佳旗舰店,英佳旗舰店,0571-89878997,0571-89878997,,,https://shop73232776.taobao.com/,30,241081,浙江杭州,休闲鞋,,4.79815分,0%,4.74606分,0%,4.7635分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao火狐狸户外专营店"，"点我对话"),火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,576,3777,浙江金华,休闲鞋,,4.91389分,0%,4.87885分,0%,4.88197分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乔菲服饰专营店"，"点我对话"),乔菲服饰专营店,乔菲服饰专营店,17394623837,17394623837,17394623837,,https://shop113647414.taobao.com/,127,3248,上海,休闲鞋,100.00%,4.84615分,0%,4.81446分,0%,4.83317分,0%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博美秀旗舰店"，"点我对话"),博美秀旗舰店,博美秀旗舰店,18094707398,18094707398,18094707398,,https://shop108799620.taobao.com/,406,444,浙江省杭州市,休闲鞋,,4.85408分,0%,4.81328分,0%,4.81259分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqpc旗舰店"，"点我对话"),qpc旗舰店,qpc旗舰店,15559194813,15559194813,,,https://shop114275082.taobao.com/,128,866,福建泉州,休闲鞋,,4.95712分,0%,4.93027分,0%,4.92541分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牛言非羽旗舰店"，"点我对话"),牛言非羽旗舰店,牛言非羽旗舰店,020-32891899,020-32891899,,,https://shop110993852.taobao.com/,458,486,广东省广州市,休闲鞋,100.00%,4.93643分,0%,4.90402分,0%,4.90598分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小排靓旗舰店"，"点我对话"),小排靓旗舰店,小排靓旗舰店,15268426258,15268426258,,,https://shop105948372.taobao.com/,493,22614,浙江省嘉兴市,休闲鞋,100.00%,4.92236分,0%,4.90192分,0%,4.90778分,0%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时点伴旗舰店"，"点我对话"),时点伴旗舰店,时点伴旗舰店,0595-82888080,0595-82888080,,,https://shop189897152.taobao.com/,56,339,福建泉州,休闲鞋,,4.95757分,0%,4.93105分,0%,4.93202分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao古驭旗舰店"，"点我对话"),古驭旗舰店,古驭旗舰店,020-34724239,020-34724239,,,https://shop114270984.taobao.com/,395,2793,广东广州,休闲鞋,,4.94086分,0%,4.92608分,0%,4.93347分,0%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao千山岗旗舰店"，"点我对话"),千山岗旗舰店,千山岗旗舰店,18607137963,18607137963,,,https://shop114598991.taobao.com/,363,387,广东广州,休闲鞋,100.00%,4.96141分,0%,4.92584分,0%,4.92491分,0%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宸名医疗器械专营店"，"点我对话"),宸名医疗器械专营店,宸名医疗器械专营店,18672633337,,,,https://shop150684109.taobao.com,26,1307,湖北随州,休闲鞋,,4.96606分,0%,4.94909分,0%,4.9447分,0%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomusbeme旗舰店"，"点我对话"),musbeme旗舰店,musbeme旗舰店,020-32208058,,,,https://shop68599978.taobao.com,82,12441,广东广州,休闲鞋,,4.92047分,0%,4.89953分,0%,4.90375分,0%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoforsislleos花斯豹旗舰店"，"点我对话"),forsislleos花斯豹旗舰店,forsislleos花斯豹旗舰店,13506648018,,,,https://shop109122421.taobao.com,39,1034,广东广州,休闲鞋,100.00%,4.90881分,0%,4.88582分,0%,4.88756分,0%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卓唯手表专营店"，"点我对话"),卓唯手表专营店,卓唯手表专营店,18301638119,18301638119,,,https://shop113261980.taobao.com/,408,3833,北京,休闲鞋,100.00%,4.89199分,0%,4.8535分,0%,4.85337分,0%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao伊沫箱包旗舰店"，"点我对话"),伊沫箱包旗舰店,伊沫箱包旗舰店,0798-8583002,0798-8583002,,,https://shop114802849.taobao.com/,65,2670,江西省景德镇市,休闲鞋,,4.94299分,0%,4.92385分,0%,4.92797分,0%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao仁尚鞋类专营店"，"点我对话"),仁尚鞋类专营店,仁尚鞋类专营店,13870071565,13870071565,,,https://shop68674340.taobao.com/,69,3822,浙江杭州,休闲鞋,100.00%,4.90232分,0%,4.85931分,0%,4.86591分,0%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaothefirstoutdoor旗舰"，"点我对话"),thefirstoutdoor旗舰,thefirstoutdoor旗舰,4000981698,4000981698,,,https://shop70198810.taobao.com/,319,3288,浙江杭州,休闲鞋,100.00%,4.9085分,0%,4.8968分,0%,4.89634分,0%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomybocc旗舰店"，"点我对话"),mybocc旗舰店,mybocc旗舰店,13202544115,13202544115,,,https://shop110295233.taobao.com/,48,1221,广东省广州市,休闲鞋,,4.95965分,0%,4.93456分,0%,4.93393分,0%,,,,,,,,,,
26,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoeuisvi旗舰店"，"点我对话"),euisvi旗舰店,euisvi旗舰店,0575-87079760,0575-87079760,,,https://shop111346273.taobao.com/,160,29906,浙江绍兴,休闲鞋,,4.81577分,0%,4.75071分,0%,4.76262分,0%,,,,,,,,,,
