编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安菲雅旗舰店"，"点我对话"),安菲雅旗舰店,安菲雅旗舰店,,,,13656116335,https://shop61301310.taobao.com,96,13416,江苏， 镇江,内衣,100%,4.91103分,29.39%,4.88011分,28.77%,4.87915分,24.53%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宇汗旗舰店"，"点我对话"),宇汗旗舰店,宇汗旗舰店,,,,13754308075,https://shop289586594.taobao.com,4657,1613,浙江省衢州市,内衣,100%,4.82427分,1.02%,4.75853分,1.51%,4.7775分,1.29%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao慈颜旗舰店"，"点我对话"),慈颜旗舰店,慈颜旗舰店,,,,18955161071,https://shop72837155.taobao.com,721,330,安徽， 合肥,内衣,100%,4.87452分,0%,4.80154分,1.16%,4.8233分,0.85%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojxh旗舰店"，"点我对话"),jxh旗舰店,jxh旗舰店,,,,13823674169,https://shop58614653.taobao.com,55,13,广东， 深圳,内衣,100%,4.97674分,80.19%,5.0分,100%,5.0分,100%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao多彩多姿旗舰店"，"点我对话"),多彩多姿旗舰店,多彩多姿旗舰店,,,,18923952814,https://shop106418276.taobao.com,229,822,广东， 汕头,内衣,100%,4.96219分,69.99%,4.95161分,71.25%,4.95656分,72.87%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao霏比内衣旗舰店"，"点我对话"),霏比内衣旗舰店,霏比内衣旗舰店,,,,13509647591,https://shop67627006.taobao.com,59,238,广东， 深圳,内衣,100%,4.84426分,0.95%,4.87213分,10.08%,4.89672分,23.61%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolesmask旗舰店"，"点我对话"),lesmask旗舰店,lesmask旗舰店,,,,15355429123,https://shop67034464.taobao.com,33,1102,北京,内衣,100%,4.86728分,0%,4.84314分,6.80%,4.85375分,8.66%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韵缇莎旗舰店"，"点我对话"),韵缇莎旗舰店,韵缇莎旗舰店,,,,17159862171,https://shop227537567.taobao.com,4773,922,浙江省金华市,内衣,100%,4.83437分,0.81%,4.7567分,1.55%,4.7683分,1.48%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao决策内衣专营店"，"点我对话"),决策内衣专营店,决策内衣专营店,,,,13058016050,https://shop103667965.taobao.com,58,6994,金华市,内衣,100%,4.83313分,0.84%,4.81078分,0%,4.83434分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优奇旗舰店"，"点我对话"),优奇旗舰店,优奇旗舰店,,,,18126608163,https://shop67938853.taobao.com,112,20432,广东， 佛山,内衣,100%,4.92099分,27.68%,4.89267分,24.52%,4.89623分,23.25%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦妮哲旗舰店"，"点我对话"),梦妮哲旗舰店,梦妮哲旗舰店,,,,13103635633,https://shop248620398.taobao.com,4996,794,河南省濮阳市,内衣,100%,4.93533分,48.67%,4.89432分,37.21%,4.89117分,32.03%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomcclayn旗舰店"，"点我对话"),mcclayn旗舰店,mcclayn旗舰店,,,,13699502595,https://shop106063757.taobao.com,89,7748,江西省， 南昌市,内衣,100%,4.94357分,48.35%,4.89826分,28.45%,4.89879分,25.14%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杏芝婷旗舰店"，"点我对话"),杏芝婷旗舰店,杏芝婷旗舰店,,,,13559255265,https://shop390348609.taobao.com,6598,501,福建省厦门市,内衣,100%,4.87674分,2.17%,4.77907分,1.09%,4.79186分,0.99%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao婧麒旗舰店"，"点我对话"),婧麒旗舰店,婧麒旗舰店,,,,13870084130,https://shop69011572.taobao.com,339,145153,江西， 南昌,内衣,100%,4.94456分,49.25%,4.94121分,58.66%,4.94502分,59.33%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao自由天堂旗舰店"，"点我对话"),自由天堂旗舰店,自由天堂旗舰店,18016390929,,,,https://shop111396767.taobao.com,172,3149,上海,内衣,100%,4.90512分,24.70%,4.89093分,35.20%,4.90233分,39.00%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao呆呆鼠旗舰店"，"点我对话"),呆呆鼠旗舰店,呆呆鼠旗舰店,18925661754,,,,https://shop112190789.taobao.com,107,4692,广东， 揭阳,内衣,100%,4.88992分,0%,4.84509分,0%,4.85584分,0%,,,,,,,,,,
