编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尚徽堂旗舰店"，"点我对话"),尚徽堂旗舰店,尚徽堂旗舰店,,,,15856733103,https://shop485322499.taobao.com,12,316,安徽省亳州市,碧生源减肥茶,100%,4.95817分,75.63%,4.91242分,55.72%,4.91111分,53.97%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao有功者茶叶旗舰店"，"点我对话"),有功者茶叶旗舰店,有功者茶叶旗舰店,,,,18087552572,https://shop111408976.taobao.com,40,1518,云南省， 昆明市,碧生源减肥茶,100%,4.9213分,54.12%,4.88313分,40.88%,4.86962分,32.46%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao派百泉茶叶旗舰店"，"点我对话"),派百泉茶叶旗舰店,派百泉茶叶旗舰店,,,,18317919878,https://shop114324585.taobao.com,23,1740,江西， 南昌,碧生源减肥茶,养生达人,4.96538分,79.83%,4.95558分,77.54%,4.95515分,76.78%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao海王大昌合利专卖店"，"点我对话"),海王大昌合利专卖店,海王大昌合利专卖店,,,,18166865187,https://shop348954302.taobao.com,31,427,吉林省长春市,碧生源减肥茶,行业优质,4.95908分,76.16%,4.9415分,70.42%,4.94234分,70.14%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao山茶说旗舰店"，"点我对话"),山茶说旗舰店,山茶说旗舰店,,,,15859990733,https://shop390345343.taobao.com,41,84,福建省南平市,碧生源减肥茶,100%,4.96729分,80.95%,4.98598分,92.91%,4.98131分,90.32%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao莲芝枫旗舰店"，"点我对话"),莲芝枫旗舰店,莲芝枫旗舰店,,,,13417698636,https://shop108436524.taobao.com,904,29748,广东省， 深圳市,碧生源减肥茶,短袖t恤,4.82677分,0.95%,4.7218分,2.27%,4.73501分,2.17%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮祥月旗舰店"，"点我对话"),潮祥月旗舰店,潮祥月旗舰店,,,,18613095052,https://shop378690362.taobao.com,582,2443,广东省广州市,碧生源减肥茶,100%,4.89262分,15.46%,4.88582分,32.35%,4.89687分,35.53%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao仁之初"，"点我对话"),仁之初,仁之初旗舰店,,,,13641652179,https://shop114826993.taobao.com,4,53,浙江， 杭州,碧生源减肥茶,100%,4.84571分,10.05%,4.83828分,18.20%,4.86304分,29.05%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao布蝉旗舰店"，"点我对话"),布蝉旗舰店,布蝉旗舰店,,,,13814865480,https://shop68615862.taobao.com,105,143,江苏， 苏州,碧生源减肥茶,100%,4.91288分,27.34%,4.88636分,27.40%,4.89015分,27.12%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao土家硒泥坊旗舰店"，"点我对话"),土家硒泥坊旗舰店,土家硒泥坊旗舰店,,,,15171422809,https://shop70240281.taobao.com,104,35405,湖北， 武汉,碧生源减肥茶,明星店铺,4.87207分,2.15%,4.82093分,0%,4.8339分,2.34%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao麦柯家居旗舰店"，"点我对话"),麦柯家居旗舰店,麦柯家居旗舰店,,,,13710940829,https://shop114909639.taobao.com,166,114,广东省， 佛山市,碧生源减肥茶,100%,4.98195分,81.82%,4.98556分,88.78%,4.97473分,80.14%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao西安世图图书专营店"，"点我对话"),西安世图图书专营店,西安世图图书专营店,,,,18602958868,https://shop65797449.taobao.com,383,964,陕西， 西安,碧生源减肥茶,100%,4.93552分,18.85%,4.9109分,31.14%,4.90504分,28.13%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao野之苹旗舰店"，"点我对话"),野之苹旗舰店,野之苹旗舰店,,,,18758295046,https://shop100102911.taobao.com,13,2451,吉林， 长春,碧生源减肥茶,行业优质,4.89616分,39.51%,4.8547分,26.54%,4.84473分,19.60%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao研美旗舰店"，"点我对话"),研美旗舰店,研美旗舰店,,,,18559527480,https://shop108229217.taobao.com,65,1268,福建， 泉州,碧生源减肥茶,现代简约,4.97381分,73.62%,4.96918分,76.05%,4.96999分,76.41%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绿坝旗舰店"，"点我对话"),绿坝旗舰店,绿坝旗舰店,,,,18072731825,https://shop106564873.taobao.com,369,4364,浙江， 杭州,碧生源减肥茶,免烫款,4.83197分,0.84%,4.8139分,0%,4.82304分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我布旗舰店"，"点我对话"),我布旗舰店,我布旗舰店,,,,18612240155,https://shop407983651.taobao.com,209,35,北京市,碧生源减肥茶,100%,4.9726分,78.44%,4.9863分,91.88%,4.9589分,74.30%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosunny运动"，"点我对话"),sunny运动,sunny运动旗舰店,,,,15377793713,https://shop120983478.taobao.com,32,49,福建省， 厦门市,碧生源减肥茶,做工精良,4.9204分,33.58%,4.89055分,30.07%,4.90547分,37.29%,,,,,,,,,,
