编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,雅高家居专营店,雅高家居专营店,0579-85618524,,,,https://shop62910716.taobao.com,,,浙江金华,厨房清洁,,4.85,-0.58%,4.76,-1.51%,4.76,-1.49%,,,,,,,,,,
2,,天猫,点我对话,fakeface旗舰店,fakeface旗舰店,18900807108,,,,https://shop105390167.taobao.com,,,浙江省金华市,厨房清洁,100.00%,4.88,7.56%,4.86,20.46%,4.85,18.66%,,,,,,,,,,
3,,天猫,点我对话,唯优母婴专营店,唯优母婴专营店,13308468460,13308468460,,,https://shop104261978.taobao.com/,,,湖南省长沙市,厨房清洁,100.00%,4.84,-0.93%,4.78,-1.26%,4.81,-0.65%,,,,,,,,,,
4,,天猫,点我对话,葛菲娜汇美优品专卖店,葛菲娜汇美优品专卖店,15142239143,15142239143,,,https://shop72405752.taobao.com/,,,辽宁鞍山,厨房清洁,,4.92,36.06%,4.88,30.49%,4.85,19.29%,,,,,,,,,,
5,,天猫,点我对话,唐韵乐器专营店,唐韵乐器专营店,13382679507,13382679507,,,https://shop116927547.taobao.com/,,,辽宁省沈阳市,厨房清洁,100.00%,4.9,0.00%,4.83,-0.93%,4.84,-0.61%,,,,,,,,,,
6,,天猫,点我对话,江帆泽化妆品专营店,江帆泽化妆品专营店,18003839985,18003839985,,,https://shop106357917.taobao.com/,,,北京,厨房清洁,,4.87,0.00%,4.8,-0.54%,4.8,0.00%,,,,,,,,,,
7,,天猫,点我对话,嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,,,北京,厨房清洁,100.00%,4.89,11.71%,4.82,1.39%,4.82,0.00%,,,,,,,,,,
8,,天猫,点我对话,帅康热水器旗舰店,帅康热水器旗舰店,4007001111,4007001111,,,https://shop70733667.taobao.com/,,,北京,厨房清洁,,4.94,36.93%,4.91,33.70%,4.92,40.21%,,,,,,,,,,
9,,天猫,点我对话,supor苏泊尔金樽专卖店,supor苏泊尔金樽专卖店,18202799665,18202799665,,,https://shop144158447.taobao.com/,,,湖北武汉,厨房清洁,100.00%,4.87,0.00%,4.85,10.12%,4.86,15.63%,,,,,,,,,,
10,,天猫,点我对话,施华蔻邕兴专卖店,施华蔻邕兴专卖店,021-62599058,021-62599058,,,https://shop106375212.taobao.com/,,,上海,厨房清洁,100.00%,4.86,0.00%,4.85,13.29%,4.86,21.51%,,,,,,,,,,
