编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩熙贞旗舰店"，"点我对话"),韩熙贞旗舰店,韩熙贞旗舰店,,,,020-28176113,https://shop104179016.taobao.com,53,226023,广东， 广州,口红,100%,4.86985分,0%,4.79047分,0%,4.79412分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao进鑫铭帮化妆品专营店"，"点我对话"),进鑫铭帮化妆品专营店,进鑫铭帮化妆品专营店,,,,4009280187,https://shop106194490.taobao.com,66,17210,江苏省， 常州市,口红,100%,4.86399分,0%,4.8204分,0%,4.84548分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芙琳皙旗舰店"，"点我对话"),芙琳皙旗舰店,芙琳皙旗舰店,,,,400-9689958,https://shop150723165.taobao.com,12,248,广东， 广州,口红,100%,4.73797分,0%,4.70253分,0%,4.71266分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao窈瞬母婴专营店"，"点我对话"),窈瞬母婴专营店,窈瞬母婴专营店,,,null,,https://shop117286552.taobao.com,128,1387,上海,口红,,4.85003分,0%,4.79044分,0%,4.78593分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofakeface旗舰店"，"点我对话"),fakeface旗舰店,fakeface旗舰店,18900807108,,,,https://shop105390167.taobao.com,37,135083,浙江省金华市,口红,100.00%,4.89428分,0%,4.85142分,0%,4.85086分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沐鱼旗舰店"，"点我对话"),沐鱼旗舰店,沐鱼旗舰店,4006528598,,,,https://shop57301813.taobao.com,298,7758,浙江杭州,口红,,4.85411分,0%,4.84453分,0%,4.85106分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao点点集旗舰店"，"点我对话"),点点集旗舰店,点点集旗舰店,18114035470,,,,https://shop116347224.taobao.com,123,11331,江苏省南京市,口红,,4.87215分,0%,4.83611分,0%,4.84042分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosedell旗舰店"，"点我对话"),sedell旗舰店,sedell旗舰店,020-86555278,020-86555278,,,https://shop100123065.taobao.com/,33,3073,广东广州,口红,100.00%,4.87466分,0%,4.82966分,0%,4.84748分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao江帆泽化妆品专营店"，"点我对话"),江帆泽化妆品专营店,江帆泽化妆品专营店,18003839985,18003839985,,,https://shop106357917.taobao.com/,8,75,北京,口红,,4.86918分,0%,4.79895分,0%,4.80639分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao隆图旗舰店"，"点我对话"),隆图旗舰店,隆图旗舰店,020-29037531,020-29037531,,,https://shop150893199.taobao.com/,11,6501,广东深圳,口红,100.00%,4.84733分,0%,4.74962分,0%,4.75186分,0%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丽妍堂家居专营店"，"点我对话"),丽妍堂家居专营店,丽妍堂家居专营店,0579-87368586,0579-87368586,,,https://shop61969412.taobao.com/,20,1274,浙江金华,口红,100.00%,4.87338分,0%,4.82666分,0%,4.83632分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绿之爱旗舰店"，"点我对话"),绿之爱旗舰店,绿之爱旗舰店,13391399585,13391399585,,,https://shop117261520.taobao.com/,81,5711,上海,口红,,4.87594分,0%,4.84387分,0%,4.84301分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocnw家居旗舰店"，"点我对话"),cnw家居旗舰店,cnw家居旗舰店,,13928453339,,,https://shop71941096.taobao.com/,29,2655,广东深圳,口红,100.00%,4.92537分,0%,4.87987分,0%,4.87787分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao1905化妆品旗舰店"，"点我对话"),1905化妆品旗舰店,1905化妆品旗舰店,0592-5937658,0592-5937658,,,https://shop116271197.taobao.com/,59,134553,福建省厦门市,口红,100.00%,4.8775分,0%,4.81954分,0%,4.82141分,0%,,,,,,,,,,
