编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao先马旗舰店"，"点我对话"),先马旗舰店,先马旗舰店,,,,13288676799,https://shop68994708.taobao.com,112,923,广东， 广州,防尘口罩,100%,4.83014分,1.14%,4.8344分,0%,4.83333分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯希尔服饰旗舰店"，"点我对话"),凯希尔服饰旗舰店,凯希尔服饰旗舰店,,,,13911022329,https://shop73423926.taobao.com,315,41,北京， 北京市,防尘口罩,100%,4.81538分,1.19%,4.8分,0.65%,4.81538分,0.51%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao富邸马卓旗舰店"，"点我对话"),富邸马卓旗舰店,富邸马卓旗舰店,,,,17724983914,https://shop334194339.taobao.com,3659,872,河南省漯河市,防尘口罩,100%,4.80422分,1.42%,4.72943分,2.11%,4.74626分,1.94%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotteoobl狂野周末专卖店"，"点我对话"),tteoobl狂野周末专卖店,tteoobl狂野周末专卖店,,,,13423140884,https://shop107166248.taobao.com,40,2976,广东， 深圳,防尘口罩,100%,4.88693分,5.17%,4.85502分,7.19%,4.8663分,11.33%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodoggyman多格漫旗舰店"，"点我对话"),doggyman多格漫旗舰店,doggyman多格漫旗舰店,,,,18918977723,https://shop121118516.taobao.com,362,15877,上海， 上海市,防尘口罩,100%,4.95219分,59.06%,4.94497分,55.77%,4.94354分,52.74%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao浩设计旗舰店"，"点我对话"),浩设计旗舰店,浩设计旗舰店,,,,18033084409,https://shop116908956.taobao.com,22,23678,广东省， 深圳市,防尘口罩,100%,4.92437分,33.66%,4.89082分,30.39%,4.88911分,27.39%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao意姗菲旗舰店"，"点我对话"),意姗菲旗舰店,意姗菲旗舰店,,,,15839596880,https://shop483396360.taobao.com,6518,471,河南省漯河市,防尘口罩,100%,4.81197分,1.26%,4.78632分,0.94%,4.78846分,1.06%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天朗家居专营店"，"点我对话"),天朗家居专营店,天朗家居专营店,13951779160,,,,https://shop111910616.taobao.com,274,1775,安徽省， 芜湖市,防尘口罩,100%,4.91968分,31.46%,4.88921分,28.16%,4.88579分,23.56%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao适美佳旗舰店"，"点我对话"),适美佳旗舰店,适美佳旗舰店,13693014364,,,,https://shop65130936.taobao.com,50,958,北京,防尘口罩,100%,4.89414分,9.67%,4.85241分,4.30%,4.85362分,2.03%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思众汽车用品专营店"，"点我对话"),思众汽车用品专营店,思众汽车用品专营店,18588817372,,,,https://shop106340306.taobao.com,194,1416,广东省， 广州市,防尘口罩,100%,4.87915分,0%,4.85724分,5.05%,4.8545分,0.52%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao程宏数码配件专营店"，"点我对话"),程宏数码配件专营店,程宏数码配件专营店,,,,15821583072,https://shop107093885.taobao.com,471,2956,上海， 上海市,防尘口罩,100%,4.88116分,0%,4.83191分,0%,4.84481分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鼎发旗舰店"，"点我对话"),鼎发旗舰店,鼎发旗舰店,,,,13362378787,https://shop60822186.taobao.com,11,746,浙江省， 嘉兴市,防尘口罩,100%,4.82928分,1.10%,4.83536分,0%,4.83115分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黎创居家日用专营店"，"点我对话"),黎创居家日用专营店,黎创居家日用专营店,,,,13522498117,https://shop111602590.taobao.com,99,6960,北京， 北京市,防尘口罩,100%,4.90996分,23.17%,4.9065分,39.37%,4.91154分,40.79%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恒亿翔旗舰店"，"点我对话"),恒亿翔旗舰店,恒亿翔旗舰店,,,,15131382433,https://shop67933125.taobao.com,526,11476,河北， 邢台,防尘口罩,100%,4.88667分,3.62%,4.81412分,0.73%,4.81142分,0.87%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧苏缦旗舰店"，"点我对话"),欧苏缦旗舰店,欧苏缦旗舰店,,,,13861956610,https://shop110997231.taobao.com,88,7808,江苏省， 南通市,防尘口罩,100%,4.92914分,39.53%,4.88038分,22.44%,4.87994分,19.64%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosamedream家具旗舰店"，"点我对话"),samedream家具旗舰店,samedream家具旗舰店,,,,15618555179,https://shop111694267.taobao.com,32,27609,山东， 临沂,防尘口罩,100%,4.78469分,2.37%,4.7656分,2.16%,4.76065分,2.27%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao萌小奇宠物用品专营店"，"点我对话"),萌小奇宠物用品专营店,萌小奇宠物用品专营店,,,,18688925923,https://shop544656306.taobao.com,137,494,广东省深圳市,防尘口罩,100%,4.94421分,52.15%,4.91703分,33.27%,4.91485分,28.74%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao圣曼妮旗舰店"，"点我对话"),圣曼妮旗舰店,圣曼妮旗舰店,,,,18942655516,https://shop105397652.taobao.com,56,685,河北省， 石家庄市,防尘口罩,100%,4.95951分,65.43%,4.92883分,53.85%,4.93129分,54.04%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao格林特卫旗舰店"，"点我对话"),格林特卫旗舰店,格林特卫旗舰店,,,,18965112063,https://shop165873771.taobao.com,23,831,福建， 厦门,防尘口罩,100%,4.87391分,0%,4.83903分,0%,4.84579分,0%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao双箭龙旗舰店"，"点我对话"),双箭龙旗舰店,双箭龙旗舰店,,,,13111513659,https://shop539629899.taobao.com,56,207,河北省石家庄市,防尘口罩,100%,4.87164分,0%,4.79917分,0.96%,4.81988分,0.63%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安枫旗舰店"，"点我对话"),安枫旗舰店,安枫旗舰店,,,,15356950084,https://shop115192127.taobao.com,126,42696,浙江省， 金华市,防尘口罩,100%,4.89998分,14.65%,4.86113分,9.95%,4.8607分,6.77%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao平湖易淘箱包专营店"，"点我对话"),平湖易淘箱包专营店,平湖易淘箱包专营店,,,,18058600231,https://shop108143393.taobao.com,13,1439,浙江省， 嘉兴市,防尘口罩,100%,4.87924分,4.45%,4.84317分,6.91%,4.84836分,5.24%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星优旗舰店"，"点我对话"),星优旗舰店,星优旗舰店,,,,13357618123,https://shop152438116.taobao.com,194,214864,浙江， 台州,防尘口罩,100%,4.8966分,11.77%,4.85962分,8.97%,4.85708分,4.34%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丰润兴家居专营店"，"点我对话"),丰润兴家居专营店,丰润兴家居专营店,,,,13806032954,https://shop103712466.taobao.com,82,56,福建， 厦门,防尘口罩,100%,4.80292分,1.64%,4.75912分,1.79%,4.81752分,0.68%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao薇秋旗舰店"，"点我对话"),薇秋旗舰店,薇秋旗舰店,18017371867,,,18017371867,https://shop102851484.taobao.com,150,371,上海， 上海市,防尘口罩,100%,4.95044分,60.79%,4.90694分,44.76%,4.91134分,44.59%,,,,,,,,,,
26,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡琳夫人旗舰店"，"点我对话"),卡琳夫人旗舰店,卡琳夫人旗舰店,17756005327,,,17756005327,https://shop105106926.taobao.com,72,319,安徽省， 合肥市,防尘口罩,100%,4.92206分,33.49%,4.91281分,43.46%,4.93791分,58.44%,,,,,,,,,,
27,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao全美居家日用专营店"，"点我对话"),全美居家日用专营店,全美居家日用专营店,,,,13692230128,https://shop107514001.taobao.com,390,3599,广东， 深圳,防尘口罩,100%,4.89878分,13.63%,4.86354分,11.52%,4.86389分,8.90%,,,,,,,,,,
28,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao布莱梦家居专营店"，"点我对话"),布莱梦家居专营店,布莱梦家居专营店,,,,15190690190,https://shop114844020.taobao.com,134,4355,江苏省， 徐州市,防尘口罩,100%,4.91296分,25.70%,4.83733分,0%,4.84981分,0%,,,,,,,,,,
29,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao巴洛客家具旗舰店"，"点我对话"),巴洛客家具旗舰店,巴洛客家具旗舰店,,,,17761235873,https://shop114919967.taobao.com,62,847,四川， 成都,防尘口罩,100%,4.8947分,0%,4.85725分,0%,4.86271分,0%,,,,,,,,,,
30,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唯米家居旗舰店"，"点我对话"),唯米家居旗舰店,唯米家居旗舰店,18957132325,,,18957132325,https://shop73155564.taobao.com,203,2816,浙江， 杭州,防尘口罩,100%,4.94036分,49.11%,4.91024分,41.80%,4.91183分,40.99%,,,,,,,,,,
31,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao名达运动户外专营店"，"点我对话"),名达运动户外专营店,名达运动户外专营店,,,,18612081588,https://shop66814519.taobao.com,370,834,北京,防尘口罩,100%,4.94551分,54.26%,4.91083分,42.89%,4.91932分,46.50%,,,,,,,,,,
32,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾德加电器旗舰店"，"点我对话"),艾德加电器旗舰店,艾德加电器旗舰店,,,,18951119699,https://shop119079495.taobao.com,159,130,江苏， 苏州,防尘口罩,100%,4.91016分,21.19%,4.95313分,70.12%,4.92969分,53.96%,,,,,,,,,,
