编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao心之源旗舰店"，"点我对话"),心之源旗舰店,心之源旗舰店,,,,13655028277,https://shop70846177.taobao.com,24,891,福建， 福州,床上四件套,100%,4.92538分,56.42%,4.92841分,63.74%,4.92889分,63.13%,,,,,,,,,,
2,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyuanguanyang"，"点我对话"),yuanguanyang,一达家具,,,,18928525220,https://shop.taobao.com,63,41,广东省佛山市,床上四件套,99.7%,4.88387,0.10%,4.84516,-1.10%,4.76774分,-2.63%,,,,,,,,,,
3,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星期天带你去看夜景好不好"，"点我对话"),星期天带你去看夜景好不好,香杰尔家纺品牌店,,18662826333,,18662826333,https://shop128936896.taobao.com,31,991,江苏省南通市,床上四件套,99.6%,4.83994分,14.70%,4.87758分,21.76%,4.87956分,20.70%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopriori派欧力旗舰店"，"点我对话"),priori派欧力旗舰店,priori派欧力旗舰店,,,,400-88888888,https://shop151656793.taobao.com,18,248,福建省， 厦门市,床上四件套,100%,4.83661分,1.10%,4.8189分,0.81%,4.82874分,0.76%,,,,,,,,,,
5,,零心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao有乐吗"，"点我对话"),有乐吗,juanzidedian,,,,13713379013,https://shop428557837.taobao.com,9,1,广东省东莞市,床上四件套,100%,,,,,,,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宇宙熊旗舰店"，"点我对话"),宇宙熊旗舰店,宇宙熊旗舰店,18128594916,0757-89919903,,,https://shop101533464.taobao.com/,66,124,广东， 东莞,床上四件套,100%,4.9823分,83.84%,4.96814分,77.56%,4.96814分,76.29%,,,,,,,,,,
7,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅洁精品坊"，"点我对话"),雅洁精品坊,雅洁精品坊,,,18681451707,,https://shop103681019.taobao.com,90,77,广东省深圳市,床上四件套,98%,4.6422分,-3.95%,4.73089分,-2.62%,4.70948分,-3.13%,,,,,,,,,,
8,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao国际阳光网购中心"，"点我对话"),国际阳光网购中心,中大面具网购中心,,,13967919322,,https://shop127762349.taobao.com,175,835,浙江省金华市,床上四件套,98.7%,4.68928分,-3.48%,4.78503分,-2.01%,4.79328分,-1.82%,,,,,,,,,,
9,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao苹果猫vivianjo"，"点我对话"),苹果猫vivianjo,三联动漫社,,,,13951635977,https://shop33865572.taobao.com,469,41,江苏省南京市,床上四件套,99.7%,4.83648分,0.45%,4.87421分,0.18%,4.85535分,-0.55%,,,,,,,,,,
10,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晨晨名品服饰"，"点我对话"),晨晨名品服饰,萱萱名品羽绒服饰,15180698228,15270278018,15270278018,15270278018,https://shop108775679.taobao.com,33,19,江西省九江市,床上四件套,98.7%,4.76243分,-1.03%,4.77901分,-1.34%,4.83425分,0.37%,,,,,,,,,,
11,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocandicyu"，"点我对话"),candicyu,佳缘世纪珠宝,,,13828448373,,https://shop103460065.taobao.com,102,7,广东省广州市,床上四件套,99.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
12,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao魅力办公"，"点我对话"),魅力办公,博众办公文具用品,,15914328934,13726731048,13726731048,https://shop.taobao.com,842,925,广东省广州市,床上四件套,99.5%,4.80243,-0.63%,4.82675,-0.65%,4.82219分,-0.81%,,,,,,,,,,
13,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoliuluan_beckham"，"点我对话"),liuluan_beckham,博纳屋果冻卡贴馆,,,,15978673920,https://shop63492179.taobao.com,918,287,河南省洛阳市,床上四件套,99.4%,4.89423分,34.99%,4.91346分,35.86%,4.90385分,27.60%,,,,,,,,,,
14,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoa592224654"，"点我对话"),a592224654,亮驰紧固件,,051988197655,18661107202,18661107202,https://shop105460178.taobao.com,79,1634,江苏省常州市,床上四件套,99.9%,4.93599分,44.59%,4.93468分,35.45%,4.92413分,26.74%,,,,,,,,,,
15,,四金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美懒懒234"，"点我对话"),美懒懒234,转角1号精品女装店,,18954120187,,2028130304,https://shop107656986.taobao.com,1236,96146,山东省济南市,床上四件套,98.7%,4.72278分,-1.49%,4.77873分,-1.16%,4.77949分,-1.27%,,,,,,,,,,
16,,零心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb299712664"，"点我对话"),tb299712664,馨之家杂货铺,,,,13788223811,https://shop304441795.taobao.com,57,0,广西省柳州市,床上四件套,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
17,,二心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb1665838"，"点我对话"),tb1665838,优资莱楠楠化妆品店,,,,13271665838,https://shop576706347.taobao.com,32,6,河南省周口市,床上四件套,100%,4.65分,-3.43%,4.75分,-2.02%,4.7分,-3.14%,,,,,,,,,,
18,,一心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao竹林家具厂"，"点我对话"),竹林家具厂,竹林家具工厂店,,,,17799299588,https://shop315679757.taobao.com,16,1,新疆省乌鲁木齐市,床上四件套,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
19,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao轻量code"，"点我对话"),轻量code,轻量CODE,,,,13781957638,https://shop321576704.taobao.com,549,4,河南省新乡市,床上四件套,100%,4.73494分,-1.91%,4.75904分,-1.96%,4.75904分,-1.98%,,,,,,,,,,
20,,零心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao深枭枭枭枭"，"点我对话"),深枭枭枭枭,SSWGH,,,,13760799315,https://shop224059173.taobao.com,5,0,广东省广州市,床上四件套,100%,,,,,,,,,,,,,,,,
21,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao7阿弥陀佛7"，"点我对话"),7阿弥陀佛7,经轮宝藏,,,13051713671,,https://shop107860075.taobao.com/,69,244,北京市,床上四件套,99.7%,4.90085分,30.09%,4.90085分,15.27%,4.89518分,11.01%,,,,,,,,,,
22,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao母婴用品63"，"点我对话"),母婴用品63,两宝他妈的小店,15081904934,,,,https://shop105984600.taobao.com,2636,73,河北省唐山市,床上四件套,98.4%,4.4152分,-7.91%,4.52047分,-6.50%,4.55556分,-5.89%,,,,,,,,,,
23,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao大鱼文学"，"点我对话"),大鱼文学,大鱼文化官方店,,0731-85071418,,0731-85071418,https://shop107671273.taobao.com,435,185,,床上四件套,99%,4.90281,36.76%,4.90929,32.20%,4.90929分,32.85%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美婴美旗舰店"，"点我对话"),美婴美旗舰店,心婴美旗舰店,,,,15373997793,https://shop116333455.taobao.com,9,266,河北省石家庄市,床上四件套,100%,4.92791分,34.19%,4.91628分,41.04%,4.92791分,46.35%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao抹茶生活旗舰店"，"点我对话"),抹茶生活旗舰店,抹茶生活旗舰店,,,,4008000808-891937,https://shop64077628.taobao.com,143,369,浙江， 杭州,床上四件套,100%,4.9617分,69.81%,4.95248分,71.84%,4.96879分,80.49%,,,,,,,,,,
26,,零心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb571248_00"，"点我对话"),tb571248_00,瑞立泰碧玺珠宝,,,,13560571248,https://shop276319877.taobao.com,2,0,广东省汕尾市,床上四件套,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
27,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美好的眷恋"，"点我对话"),美好的眷恋,罗莉莎时装,,,13076549522,13076549522,https://shop110562993.taobao.com,155,341,广东省揭阳市,床上四件套,96.8%,4.94118分,71.38%,4.95752分,74.28%,4.96405分,77.41%,,,,,,,,,,
28,,一心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao吴小吴32"，"点我对话"),吴小吴32,吴小吴吖,,,,13695596489,https://shop549380569.taobao.com,1,0,安徽省黄山市,床上四件套,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
29,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohettichxing"，"点我对话"),hettichxing,佛山禾灿家居,,,13829610260,,https://shop34053280.taobao.com/,12,73,广东省汕头市,床上四件套,99.2%,4.95455分,60.66%,4.95455分,55.08%,4.97727分,78.05%,,,,,,,,,,
30,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojj宝石8888"，"点我对话"),jj宝石8888,潍坊蓝宝石加工厂,,13465364619,,,https://shop34062147.taobao.com,473,31,山东省潍坊市,床上四件套,99.6%,4.94872分,72.29%,4.99145分,94.28%,4.99145分,94.02%,,,,,,,,,,
31,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我的公主王子love"，"点我对话"),我的公主王子love,快乐成长儿童家居,,,13387330028,,https://shop110950084.taobao.com,85,441,湖南省株洲市,床上四件套,99.4%,4.86756分,0.35%,4.89827分,0.10%,4.89251分,0.10%,,,,,,,,,,
32,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoathone"，"点我对话"),athone,优衣top潮品,,,,18939516897,https://shop65714074.taobao.com,465,30,河南省郑州市,床上四件套,95.2%,4.73043分,-1.34%,4.8087分,-0.54%,4.83478分,0.13%,,,,,,,,,,
33,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao志远车饰8"，"点我对话"),志远车饰8,志远车饰,,,13738644227,13738644227,https://shop101839722.taobao.com,1,0,浙江省台州市,床上四件套,96.8%,,,,,,,,,,,,,,,,
34,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao零零20140526"，"点我对话"),零零20140526,君姐内衣,,,13417064039,13417064039,https://shop112493779.taobao.com,213,23,广东省汕头市,床上四件套,98.3%,4.56522分,-4.78%,4.67391分,-3.33%,4.67391分,-3.45%,,,,,,,,,,
35,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosillyme亮"，"点我对话"),sillyme亮,TASTESQUAREOFFICIAL,,13929031862,,13929031862,https://shop35115483.taobao.com,12,0,广东省江门市,床上四件套,99.5%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
36,,一心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新手的春天o"，"点我对话"),新手的春天o,广正电气工厂店,,,,15905153325,https://shop183080262.taobao.com,25,5,江苏省南京市,床上四件套,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
37,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosummer645680101"，"点我对话"),summer645680101,御风行潮鞋,,,,18258137014,https://shop224938236.taobao.com,11,0,浙江省杭州市,床上四件套,100%,5.0分,100.00%,5.0分,100.00%,4.97101分,81.78%,,,,,,,,,,
38,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosystone"，"点我对话"),systone,华庭美派 美式标杆,,02885610228,18328688836,18328688836,https://shop109027166.taobao.com,95,676,四川省成都市,床上四件套,99.9%,4.96322分,68.16%,4.96792分,68.30%,4.97418分,75.07%,,,,,,,,,,
39,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao_风林火山_"，"点我对话"),_风林火山_,电信风林火山通信专卖店,,,,13065875980,https://shop568345862.taobao.com,8,222,河南， 郑州,床上四件套,100%,4.92291分,0.92%,4.89868分,7.50%,4.9141分,20.57%,,,,,,,,,,
40,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao强迪家居专营店"，"点我对话"),强迪家居专营店,强迪家居专营店,,,,18939793492,https://shop60351195.taobao.com,29,580,上海， 上海市,床上四件套,100%,4.86831分,0%,4.83473分,0%,4.84155分,0%,,,,,,,,,,
41,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojym402848214"，"点我对话"),jym402848214,暖暖皮草服饰,,,18251699397,18251699397,https://shop35937430.taobao.com,19,14,江苏省徐州市,床上四件套,97.9%,4.68852分,-2.21%,4.7377分,-2.01%,4.80328分,-0.78%,,,,,,,,,,
42,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦梦111"，"点我对话"),梦梦111,千语依尚女装阁,,,,13838237999,https://shop141752893.taobao.com,14,0,河南省郑州市,床上四件套,99.1%,,,,,,,,,,,,,,,,
