编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅高家居专营店"，"点我对话"),雅高家居专营店,雅高家居专营店,0579-85618524,,,,https://shop62910716.taobao.com,67,46428,浙江金华,垃圾袋,,4.88098分,0%,4.80762分,0%,4.80623分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉客旗舰店"，"点我对话"),汉客旗舰店,汉客旗舰店,020-36276236,,,,https://shop61672715.taobao.com,47,16637,广东广州,垃圾袋,,4.8924分,0%,4.87851分,0%,4.87241分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomusbeme旗舰店"，"点我对话"),musbeme旗舰店,musbeme旗舰店,020-32208058,,,,https://shop68599978.taobao.com,82,12558,广东广州,垃圾袋,,4.92047分,0%,4.89953分,0%,4.90375分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao松桂坊舌尖旅行专卖店"，"点我对话"),松桂坊舌尖旅行专卖店,松桂坊舌尖旅行专卖店,15388984901,15388984901,,,https://shop114141120.taobao.com/,63,1550,湖南省长沙市,垃圾袋,,4.90564分,0%,4.86867分,0%,4.87275分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomybocc旗舰店"，"点我对话"),mybocc旗舰店,mybocc旗舰店,13202544115,13202544115,,,https://shop110295233.taobao.com/,48,1268,广东省广州市,垃圾袋,,4.95965分,0%,4.93456分,0%,4.93393分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao施华蔻邕兴专卖店"，"点我对话"),施华蔻邕兴专卖店,施华蔻邕兴专卖店,021-62599058,021-62599058,,,https://shop106375212.taobao.com/,160,7434,上海,垃圾袋,100.00%,4.87205分,0%,4.84988分,0%,4.86745分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogoldenkey金钥匙旗舰店"，"点我对话"),goldenkey金钥匙旗舰店,goldenkey金钥匙旗舰店,,4001131415,,,https://shop101978509.taobao.com/,66,3308,广东潮州,垃圾袋,100.00%,4.8639分,0%,4.80405分,0%,4.82328分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沃迅家居专营店"，"点我对话"),沃迅家居专营店,沃迅家居专营店,0571-28982938,0571-28982938,,,https://shop63362254.taobao.com/,80,37790,浙江杭州,垃圾袋,,4.92088分,0%,4.87421分,0%,4.86186分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao福容旗舰店"，"点我对话"),福容旗舰店,福容旗舰店,0592-5616099,0592-5616099,,,https://shop103569156.taobao.com/,79,3890,广东广州,垃圾袋,,4.90025分,0%,4.85076分,0%,4.8443分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao知心缘家居专营店"，"点我对话"),知心缘家居专营店,知心缘家居专营店,18896961797,18896961797,,,https://shop111310697.taobao.com/,18,15938,江苏苏州,垃圾袋,100.00%,4.9567分,0%,4.91656分,0%,4.91327分,0%,,,,,,,,,,
