编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1070,,天猫,点我对话,宝洁官方旗舰店,宝洁官方旗舰店,010-53528533,010-53528533,,,https://shop57895461.taobao.com/,826,2689938,北京,女士t恤,,4.90256分,0%,4.86398分,0%,4.87972分,0%,,,,,,,,,,
785,,天猫,点我对话,adidas官方旗舰店,adidas官方旗舰店,4009995999,4009995999,,,https://shop62147762.taobao.com/,7771,1215559,上海,女士t恤,,4.82582分,0%,4.80086分,0%,4.86363分,0%,,,,,,,,,,
346,,天猫,点我对话,韩都衣舍旗舰店,韩都衣舍旗舰店,,,,400-806-7777,https://shop58501945.taobao.com,3811,675372,山东， 济南,女士t恤,100%,4.8632分,0%,4.85分,0%,4.86031分,0%,,,,,,,,,,
102,,天猫,点我对话,浪莎官方旗舰店,浪莎官方旗舰店,0579-85537188,0579-85537188,0579-85537188,,https://shop58692369.taobao.com/,880,665179,浙江金华,女士t恤,100.00%,4.83032分,0%,4.80932分,0%,4.83428分,0%,,,,,,,,,,
849,,天猫,点我对话,唐狮官方旗舰店,唐狮官方旗舰店,4008266616,4008266616,,,https://shop57302891.taobao.com/,2642,594954,浙江宁波,女士t恤,,4.83378分,0%,4.8131分,0%,4.81467分,0%,,,,,,,,,,
654,,天猫,点我对话,6ixty8ight官方旗舰店,6IXTY8IGHT官方旗舰店,,,,4009216680,https://shop151448797.taobao.com,476,486936,广东， 深圳,女士t恤,100%,4.89258分,0%,4.87355分,0%,4.87908分,0%,,,,,,,,,,
761,,天猫,点我对话,only官方旗舰店,ONLY官方旗舰店,,,,4008628888,https://shop60129786.taobao.com,3374,459707,天津,女士t恤,100%,4.86533分,0%,4.85571分,0%,4.87999分,0%,,,,,,,,,,
1085,,天猫,点我对话,御泥坊旗舰店,御泥坊旗舰店,4008315500,4008315500,,,https://shop57299948.taobao.com/,129,384218,湖南长沙,女士t恤,100.00%,4.88768分,0%,4.83798分,0%,4.84228分,0%,,,,,,,,,,
1170,,天猫,点我对话,无印良品muji官方旗舰店,无印良品MUJI官方旗舰店,,,,400-920-9699,https://shop109718704.taobao.com,2187,352311,上海,女士t恤,100%,4.9171分,0%,4.88056分,0%,4.88179分,0%,,,,,,,,,,
622,,天猫,点我对话,海澜之家官方旗舰店,海澜之家官方旗舰店,,,,400-892-2001,https://shop66153795.taobao.com,2375,309184,江苏， 无锡,女士t恤,100%,4.87973分,0%,4.84402分,0%,4.85051分,0%,,,,,,,,,,
834,,天猫,点我对话,云南白药牙膏官方旗舰店,云南白药牙膏官方旗舰店,021-60286218,021-60286218,,,https://shop229005812.taobao.com/,97,297649,云南昆明,女士t恤,100.00%,4.91726分,0%,4.8716分,0%,4.86537分,0%,,,,,,,,,,
641,,天猫,点我对话,魔香旗舰店,魔香旗舰店,18906587212,,,,https://shop116584650.taobao.com,81,282209,浙江省台州市,女士t恤,,4.86937分,0%,4.81179分,0%,4.81481分,0%,,,,,,,,,,
