编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,安之星湖畔专卖店,安之星湖畔专卖店,18938071692,,,,https://shop73448126.taobao.com,,,广东省深圳市,小家电,,4.92,32.37%,4.89,34.22%,4.88,29.09%,,,,,,,,,,
2,,天猫,点我对话,兴源顺电器专营店,兴源顺电器专营店,0755-23907272,,,,https://shop110893126.taobao.com,,,广东省深圳市,小家电,,4.89,0.00%,4.78,-1.62%,4.81,-1.25%,,,,,,,,,,
3,,天猫,点我对话,tcl商营达专卖店,tcl商营达专卖店,18933965006,,,,https://shop70296443.taobao.com,,,广东广州,小家电,,4.94,35.12%,4.9,28.75%,4.91,28.87%,,,,,,,,,,
4,,天猫,点我对话,博升玩具专营店,博升玩具专营店,4008000808,,,,https://shop65623262.taobao.com,,,广东汕头,小家电,,4.88,0.00%,4.86,12.07%,4.88,23.61%,,,,,,,,,,
5,,天猫,点我对话,海尔龙顺达专卖店,海尔龙顺达专卖店,18639405052,,,,https://shop484851806.taobao.com,,,河南周口,小家电,,4.98,80.10%,4.93,49.62%,4.9,23.43%,,,,,,,,,,
6,,天猫,点我对话,hisense海信网盈专卖店,hisense海信网盈专卖店,13325388490,13325388490,,,https://shop106264117.taobao.com/,,,陕西省西安市,小家电,100.00%,4.94,30.54%,4.88,15.30%,4.88,8.75%,,,,,,,,,,
7,,天猫,点我对话,长虹网盈专卖店,长虹网盈专卖店,18191261772,18191261772,,,https://shop103407534.taobao.com/,,,陕西省西安市,小家电,100.00%,4.93,26.18%,4.88,9.13%,4.89,16.30%,,,,,,,,,,
8,,天猫,点我对话,北欧欧慕上琨专卖店,北欧欧慕上琨专卖店,,13368299367,,,https://shop110844322.taobao.com/,,,重庆,小家电,100.00%,4.95,54.33%,4.94,63.22%,4.94,62.89%,,,,,,,,,,
9,,天猫,点我对话,defudaer玩具旗舰店,defudaer玩具旗舰店,4001648828,4001648828,4001648828,,https://shop115251100.taobao.com/,,,广东省汕头市,小家电,100.00%,4.89,8.11%,4.91,39.56%,4.92,45.74%,,,,,,,,,,
10,,天猫,点我对话,gaoyoubing,全屋智能家居定制,,15360825586,,,https://shop104643481.taobao.com/,,,广东省深圳市,小家电,100.00%,4.93,31.74%,4.92,44.56%,4.92,44.12%,,,,,,,,,,
11,,天猫,点我对话,美的龙骑侠专卖店,美的龙骑侠专卖店,,400-8308289,,,https://shop102241893.taobao.com/,,,江苏南京,小家电,100.00%,4.94,47.90%,4.92,50.76%,4.92,53.77%,,,,,,,,,,
12,,天猫,点我对话,商营达电器专营店,商营达电器专营店,18933965006,18933965006,,,https://shop63702303.taobao.com/,,,广东广州,小家电,100.00%,4.9,0.00%,4.83,-0.79%,4.85,0.00%,,,,,,,,,,
13,,天猫,点我对话,凯元电器专营店,凯元电器专营店,18951827167,18951827167,,,https://shop107659983.taobao.com/,,,江苏省南京市,小家电,100.00%,4.91,21.87%,4.87,18.21%,4.86,16.90%,,,,,,,,,,
14,,天猫,点我对话,新科皇冠专卖店,新科皇冠专卖店,020-29185651,020-29185651,,,https://shop71048241.taobao.com/,,,广东广州,小家电,,4.95,52.77%,4.93,53.81%,4.91,47.58%,,,,,,,,,,
15,,天猫,点我对话,宏威科锐数码专营店,宏威科锐数码专营店,18810326768,18810326768,,,https://shop71182329.taobao.com/,,,北京,小家电,100.00%,4.92,29.39%,4.88,23.96%,4.88,25.83%,,,,,,,,,,
16,,天猫,点我对话,西门子家电官方旗舰店,西门子家电官方旗舰店,4008899999,4008899999,,,https://shop71236848.taobao.com/,,,江苏南京,小家电,,4.92,13.06%,4.87,5.66%,4.87,0.00%,,,,,,,,,,
17,,天猫,点我对话,海尔生活家电旗舰店,海尔生活家电旗舰店,4006999999,4006999999,,,https://shop104197163.taobao.com/,,,江苏苏州,小家电,,4.9,11.69%,4.86,14.93%,4.86,16.42%,,,,,,,,,,
18,,天猫,点我对话,格力悦联专卖店,格力悦联专卖店,0756-8607058,0756-8607058,0756-8607058,,https://shop67986193.taobao.com/,,,广东珠海,小家电,100.00%,4.86,-0.54%,4.81,-0.53%,4.79,-0.92%,,,,,,,,,,
19,,天猫,点我对话,童梦年华母婴专营店,童梦年华母婴专营店,0553-2696198,0553-2696198,0553-2696198,,https://shop65634340.taobao.com/,,,安徽芜湖,小家电,100.00%,4.88,1.36%,4.87,14.83%,4.86,10.99%,,,,,,,,,,
20,,天猫,点我对话,zhongcanpai055,工具包厂电工工具包工具包帆布腰包胸包背包,0755-26624908,13924615019,,,https://shop117228669.taobao.com,,,浙江宁波,小家电,100.00%,4.92,25.72%,4.88,16.71%,4.87,12.30%,,,,,,,,,,
21,,天猫,点我对话,圆资道数码专营店,圆资道数码专营店,13651470490,,,,https://shop104639525.taobao.com,,,江苏省苏州市,小家电,,4.85,-0.67%,4.82,0.00%,4.8,-0.78%,,,,,,,,,,
22,,天猫,点我对话,奥克斯乐客专卖店,奥克斯乐客专卖店,13730626970,13730626970,,,https://shop446213976.taobao.com/,,,四川成都,小家电,100.00%,4.98,78.88%,4.96,71.88%,4.95,60.82%,,,,,,,,,,
23,,天猫,点我对话,海信冰洗官方旗舰店,海信冰洗官方旗舰店,4006111111,4006111111,,,https://shop100436547.taobao.com/,,,山东青岛,小家电,,4.92,10.85%,4.88,10.93%,4.88,10.76%,,,,,,,,,,
24,,天猫,点我对话,万和万和行专卖店,万和万和行专卖店,,0755-89980065,,,https://shop110758741.taobao.com/,,,广东深圳,小家电,100.00%,4.95,44.39%,4.9,29.90%,4.91,30.41%,,,,,,,,,,
25,,天猫,点我对话,海天地摩尔立专卖店,海天地摩尔立专卖店,,18576692909,,,https://shop109682264.taobao.com/,,,广东深圳,小家电,100.00%,4.97,73.13%,4.93,58.07%,4.93,55.82%,,,,,,,,,,
26,,天猫,点我对话,飞利浦上游专卖店,飞利浦上游专卖店,4008577088,4008577088,,,https://shop68082293.taobao.com/,,,上海,小家电,100.00%,4.94,48.66%,4.93,55.57%,4.92,50.67%,,,,,,,,,,
27,,天猫,点我对话,荣事达远宏专卖店,荣事达远宏专卖店,010-65346666,010-65346666,,,https://shop71393644.taobao.com/,,,北京,小家电,,4.95,53.41%,4.92,48.66%,4.91,47.36%,,,,,,,,,,
28,,天猫,点我对话,美辰迪赞母婴专营店,美辰迪赞母婴专营店,020-84837631,020-84837631,,,https://shop109943525.taobao.com/,,,广东广州,小家电,,4.9,15.91%,4.9,34.22%,4.89,26.17%,,,,,,,,,,
29,,天猫,点我对话,深圳安之星专卖店,深圳安之星专卖店,0755-84583906,0755-84583906,,,https://shop114220481.taobao.com/,,,深圳市,小家电,,4.9,8.95%,4.87,19.65%,4.87,21.29%,,,,,,,,,,
30,,天猫,点我对话,优航旗舰店,优航旗舰店,18675535716,18675535716,,,https://shop109589569.taobao.com/,,,广东省深圳市,小家电,100.00%,4.91,22.06%,4.89,34.03%,4.9,41.44%,,,,,,,,,,
31,,天猫,点我对话,e磊旗舰店,e磊旗舰店,15255555139,15255555139,,,https://shop62696725.taobao.com/,,,安徽合肥,小家电,100.00%,4.87,0.00%,4.87,20.69%,4.87,23.51%,,,,,,,,,,
32,,天猫,点我对话,九邑旗舰店,九邑旗舰店,15038575011,15038575011,,,https://shop108490208.taobao.com/,,,河南省洛阳市,小家电,,4.8,-1.54%,4.78,-1.24%,4.76,-1.43%,,,,,,,,,,
