编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,西摩旗舰店,西摩旗舰店,4008888810,,,,https://shop70705743.taobao.com,,,浙江宁波,小电风扇,,4.9,15.09%,4.9,35.28%,4.9,37.92%,,,,,,,,,,
2,,天猫,点我对话,歌睿达数码旗舰店,歌睿达数码旗舰店,0755-28402365,,,,https://shop257171944.taobao.com,,,广东深圳,小电风扇,,4.83,-1.21%,4.77,-1.45%,4.76,-1.43%,,,,,,,,,,
3,,天猫,点我对话,法普拉旗舰店,法普拉旗舰店,13128971660,,,,https://shop111216725.taobao.com,,,广东深圳,小电风扇,,4.91,24.95%,4.89,31.39%,4.86,17.43%,,,,,,,,,,
4,,天猫,点我对话,宸名医疗器械专营店,宸名医疗器械专营店,18672633337,,,,https://shop150684109.taobao.com,,,湖北随州,小电风扇,,4.96,60.29%,4.95,59.10%,4.94,52.14%,,,,,,,,,,
5,,天猫,点我对话,华传乐器专营店,华传乐器专营店,18998452998,,,,https://shop127408807.taobao.com,,,广东广州,小电风扇,100.00%,4.88,-0.57%,4.85,-0.60%,4.82,-1.06%,,,,,,,,,,
6,,天猫,点我对话,贝得旗舰店,贝得旗舰店,,18267459399,,,https://shop148004583.taobao.com/,,,上海,小电风扇,100.00%,4.87,0.00%,4.84,0.00%,4.84,3.71%,,,,,,,,,,
7,,天猫,点我对话,希乐数码专营店,希乐数码专营店,15380994963,15380994963,,,https://shop66172729.taobao.com/,,,江苏南京,小电风扇,100.00%,4.92,31.96%,4.88,25.60%,4.87,21.60%,,,,,,,,,,
8,,天猫,点我对话,博克朗旗舰店,博克朗旗舰店,0755-21034805,0755-21034805,,,https://shop114074910.taobao.com/,,,广东深圳,小电风扇,,4.9,5.46%,4.83,-0.59%,4.81,-0.72%,,,,,,,,,,
9,,天猫,点我对话,祥聚宝图书专营店,祥聚宝图书专营店,13316661532,13316661532,,,https://shop136888982.taobao.com/,,,广东广州,小电风扇,,4.92,4.95%,4.88,12.68%,4.87,10.56%,,,,,,,,,,
10,,天猫,点我对话,帅康热水器旗舰店,帅康热水器旗舰店,4007001111,4007001111,,,https://shop70733667.taobao.com/,,,北京,小电风扇,,4.94,36.93%,4.91,33.70%,4.92,40.21%,,,,,,,,,,
11,,天猫,点我对话,snowkids数码旗舰店,snowkids数码旗舰店,4000612116,4000612116,,,https://shop113429869.taobao.com/,,,北京,小电风扇,100.00%,4.86,-0.53%,4.84,0.81%,4.84,4.14%,,,,,,,,,,
12,,天猫,点我对话,公牛宏名轩专卖店,公牛宏名轩专卖店,4008822477,4008822477,,,https://shop103517298.taobao.com/,,,广东省深圳市,小电风扇,100.00%,4.93,36.48%,4.87,10.73%,4.86,7.23%,,,,,,,,,,
13,,天猫,点我对话,angelpower旗舰店,angelpower旗舰店,400-8855015,400-8855015,,,https://shop117162753.taobao.com/,,,江西吉安,小电风扇,100.00%,4.95,53.90%,4.93,51.92%,4.92,49.55%,,,,,,,,,,
14,,天猫,点我对话,源鸿达电器专营店,源鸿达电器专营店,4008000808,4008000808,,,https://shop69257825.taobao.com/,,,广东深圳,小电风扇,,4.83,-1.15%,4.79,-1.06%,4.77,-1.32%,,,,,,,,,,
15,,天猫,点我对话,金光树旗舰店,金光树旗舰店,13586643383,13586643383,,,https://shop112603991.taobao.com/,,,浙江省宁波市,小电风扇,,4.91,12.99%,4.86,2.53%,4.85,2.75%,,,,,,,,,,
16,,天猫,点我对话,tb4169197,儿童数码产品店,,18929323711,,,https://shop104111552.taobao.com/,,,江苏南京,小电风扇,100.00%,4.91,18.61%,4.91,41.60%,4.91,43.89%,,,,,,,,,,
