编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,汉斯顿多伦斯专卖店,汉斯顿多伦斯专卖店,4000808046,,,,https://shop112807932.taobao.com,,,广东省深圳市,酱油瓶,,4.92,32.59%,4.88,27.92%,4.88,30.45%,,,,,,,,,,
2,,天猫,点我对话,宸名医疗器械专营店,宸名医疗器械专营店,18672633337,,,,https://shop150684109.taobao.com,,,湖北随州,酱油瓶,,4.96,60.29%,4.95,59.10%,4.94,52.14%,,,,,,,,,,
3,,天猫,点我对话,久捷旗舰店,久捷旗舰店,13607038444,,,,https://shop363817822.taobao.com,,,浙江金华,酱油瓶,,4.79,-1.74%,4.76,-1.43%,4.77,-1.18%,,,,,,,,,,
4,,天猫,点我对话,乔莎旗舰店,乔莎旗舰店,4006098889,,,,https://shop58464302.taobao.com,,,吉林长春,酱油瓶,100.00%,4.95,63.01%,4.92,52.78%,4.91,51.93%,,,,,,,,,,
5,,天猫,点我对话,丰寿旗舰店,丰寿旗舰店,13395331698,,,,https://shop117513324.taobao.com,,,山东省淄博市,酱油瓶,100.00%,4.9,14.50%,4.88,24.26%,4.87,21.46%,,,,,,,,,,
6,,天猫,点我对话,六二八保健品专营店,六二八保健品专营店,0731-89977678,0731-89977678,,,https://shop108877395.taobao.com/,,,湖南长沙,酱油瓶,,4.97,78.15%,4.95,70.29%,4.94,67.08%,,,,,,,,,,
7,,天猫,点我对话,松桂坊舌尖旅行专卖店,松桂坊舌尖旅行专卖店,15388984901,15388984901,,,https://shop114141120.taobao.com/,,,湖南省长沙市,酱油瓶,,4.9,31.48%,4.87,26.52%,4.87,30.19%,,,,,,,,,,
8,,天猫,点我对话,厨斯达旗舰店,厨斯达旗舰店,4008440791,4008440791,,,https://shop117351004.taobao.com/,,,江西景德镇,酱油瓶,,4.87,0.00%,4.8,-0.66%,4.78,-1.17%,,,,,,,,,,
9,,天猫,点我对话,omanxuan欧曼宣旗舰店,omanxuan欧曼宣旗舰店,13361788028,13361788028,,,https://shop114506608.taobao.com/,,,江西省景德镇市,酱油瓶,,4.93,40.24%,4.91,34.70%,4.91,39.67%,,,,,,,,,,
10,,天猫,点我对话,尚润旗舰店,尚润旗舰店,0351-5600883,0351-5600883,,,https://shop66728725.taobao.com/,,,山西太原,酱油瓶,,4.89,26.90%,4.86,23.53%,4.87,30.36%,,,,,,,,,,
11,,天猫,点我对话,樱舒旗舰店,樱舒旗舰店,0552-2051202,0552-2051202,,,https://shop106222214.taobao.com/,,,广东广州,酱油瓶,100.00%,4.91,23.62%,4.87,17.92%,4.87,15.39%,,,,,,,,,,
12,,天猫,点我对话,goldenkey金钥匙旗舰店,goldenkey金钥匙旗舰店,,4001131415,,,https://shop101978509.taobao.com/,,,广东潮州,酱油瓶,100.00%,4.84,-0.72%,4.79,-1.00%,4.8,-0.64%,,,,,,,,,,
13,,天猫,点我对话,goldeer金鹿旗舰店,goldeer金鹿旗舰店,0595-68978568,0595-68978568,,,https://shop108840615.taobao.com/,,,福建省泉州市,酱油瓶,,4.87,0.00%,4.85,7.51%,4.85,12.59%,,,,,,,,,,
14,,天猫,点我对话,济南惠好大药房旗舰店,济南惠好大药房旗舰店,0531-87203277,0531-87203277,,,https://shop570714392.taobao.com/,,,山东济南,酱油瓶,100.00%,4.79,-2.28%,4.74,-2.56%,4.76,-2.25%,,,,,,,,,,
15,,天猫,点我对话,曦途运动户外旗舰店,曦途运动户外旗舰店,13321129785,13321129785,13321129785,,https://shop574236692.taobao.com/,,,北京,酱油瓶,100.00%,4.93,46.42%,4.9,40.93%,4.89,36.23%,,,,,,,,,,
16,,天猫,点我对话,蓝色城堡旗舰店,蓝色城堡旗舰店,4008289985,4008289985,,,https://shop114636360.taobao.com/,,,江苏省扬州市,酱油瓶,,4.81,-1.44%,4.77,-1.59%,4.77,-1.63%,,,,,,,,,,
