编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohappywalk旗舰店"，"点我对话"),happywalk旗舰店,happywalk旗舰店,,,,17757901233,https://shop113122215.taobao.com,21,1181,上海,护手霜,100%,4.94286分,47.75%,4.9377分,56.15%,4.94456分,58.86%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蒙娜丝旗舰店"，"点我对话"),蒙娜丝旗舰店,蒙娜丝旗舰店,,,,15325977750,https://shop111205258.taobao.com,26,1957,浙江省， 金华市,护手霜,100%,4.95264分,59.57%,4.94444分,63.97%,4.94604分,63.91%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao若比邻服饰专营店"，"点我对话"),若比邻服饰专营店,若比邻服饰专营店,,,,15372061863,https://shop60430289.taobao.com,264,213,浙江省， 杭州市,护手霜,100%,4.90072分,21.39%,4.83971分,4.83%,4.85287分,8.06%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao八鹰旗舰店"，"点我对话"),八鹰旗舰店,八鹰旗舰店,,,,18014530008,https://shop113066012.taobao.com,60,1326,江苏省， 泰州市,护手霜,100%,4.92638分,38.26%,4.88815分,28.40%,4.87636分,18.01%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杏芝婷旗舰店"，"点我对话"),杏芝婷旗舰店,杏芝婷旗舰店,,,,13559255265,https://shop390348609.taobao.com,6962,477,福建省厦门市,护手霜,100%,4.88063分,5.49%,4.78378分,0.99%,4.79505分,0.93%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao萨尔茨曼旗舰店"，"点我对话"),萨尔茨曼旗舰店,萨尔茨曼旗舰店,13857409721,,,,https://shop65977958.taobao.com,51,184,浙江， 宁波,护手霜,100%,4.93598分,35.55%,4.92053分,38.59%,4.90949分,29.71%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao法意家居旗舰店"，"点我对话"),法意家居旗舰店,法意家居旗舰店,15157391481,,,,https://shop112911830.taobao.com,37,2598,北京,护手霜,100%,4.93385分,33.40%,4.90477分,26.45%,4.90986分,30.08%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉邦杰臣旗舰店"，"点我对话"),汉邦杰臣旗舰店,汉邦杰臣旗舰店,15372875656,,,,https://shop108770011.taobao.com,351,730,浙江省， 温州市,护手霜,100%,4.90745分,21.28%,4.89602分,30.88%,4.90007分,31.77%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao飞旺旗舰店"，"点我对话"),飞旺旗舰店,飞旺旗舰店,15197016788,,,,https://shop160092516.taobao.com,40,6521,湖南， 岳阳,护手霜,100%,4.86272分,19.34%,4.82802分,12.55%,4.82927分,11.32%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao领诺车品专营店"，"点我对话"),领诺车品专营店,领诺车品专营店,,,,15032701010,https://shop114705907.taobao.com,103,69,河北， 石家庄,护手霜,100%,4.96463分,69.92%,4.92605分,50.82%,4.91961分,45.04%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao浩诗居家日用专营店"，"点我对话"),浩诗居家日用专营店,浩诗居家日用专营店,,,,15397508181,https://shop108423316.taobao.com,703,53802,浙江省， 金华市,护手霜,100%,4.87303分,0%,4.79906分,0.96%,4.80233分,0.99%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogigi旗舰店"，"点我对话"),gigi旗舰店,gigi旗舰店,,,,18938025152,https://shop67364050.taobao.com,69,1404,广东， 深圳,护手霜,100%,4.90552分,19.65%,4.88885分,26.08%,4.88821分,23.57%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao榕树下家居旗舰店"，"点我对话"),榕树下家居旗舰店,榕树下家居旗舰店,,,,13417473112,https://shop108973691.taobao.com,10,1264,广东， 深圳,护手霜,100%,4.97693分,80.31%,4.96935分,80.13%,4.9644分,76.19%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao泊乐汽车用品专营店"，"点我对话"),泊乐汽车用品专营店,泊乐汽车用品专营店,,,,13600017915,https://shop112347433.taobao.com,190,10791,广东， 广州,护手霜,100%,4.9081分,21.85%,4.90603分,37.50%,4.91728分,43.44%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao日急数码专营店"，"点我对话"),日急数码专营店,日急数码专营店,,,,13660756940,https://shop62217804.taobao.com,118,2172,广东， 广州,护手霜,100%,4.91454分,25.01%,4.90356分,38.54%,4.90495分,37.86%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao全红车品专营店"，"点我对话"),全红车品专营店,全红车品专营店,,,,13632380358,https://shop111866958.taobao.com,680,4059,广东省， 广州市,护手霜,100%,4.82517分,1.17%,4.77855分,1.47%,4.80342分,1.04%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淇淇旗舰店"，"点我对话"),淇淇旗舰店,淇淇旗舰店,,,,13642775702,https://shop61092907.taobao.com,213,4498,广东省， 广州市,护手霜,100%,4.899分,14.09%,4.86731分,11.79%,4.86435分,7.38%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao适之宝旗舰店"，"点我对话"),适之宝旗舰店,适之宝旗舰店,,,,15165423292,https://shop60505722.taobao.com,65,729,山东， 青岛,护手霜,100%,4.91014分,23.32%,4.88192分,23.43%,4.87513分,16.42%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoonlyyou旗舰店"，"点我对话"),onlyyou旗舰店,onlyyou旗舰店,0571-87397792,,,15858294866,https://shop63540923.taobao.com,38,580,浙江， 杭州,护手霜,100%,4.81705分,1.09%,4.81473分,0%,4.80736分,0%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosyrinx希芸桓鸣专卖店"，"点我对话"),syrinx希芸桓鸣专卖店,syrinx希芸桓鸣专卖店,,,,18021243413,https://shop117101872.taobao.com,80,1286,江苏， 徐州,护手霜,100%,4.93073分,46.65%,4.82508分,0%,4.82546分,0%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao普翔户外专营店"，"点我对话"),普翔户外专营店,普翔户外专营店,15666112327,,,18906306569,https://shop71048833.taobao.com,69,135,山东， 威海,护手霜,100%,4.94482分,53.68%,4.93395分,57.70%,4.94565分,63.96%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoujewelry优集旗舰店"，"点我对话"),ujewelry优集旗舰店,U Jewelry优集旗舰店,,,,18301774752,https://shop349545229.taobao.com,130,208,上海,护手霜,100%,4.90274分,12.13%,4.90274分,35.76%,4.8997分,29.87%,,,,,,,,,,
