编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美仕龙家居旗舰店"，"点我对话"),美仕龙家居旗舰店,美仕龙家居旗舰店,,,,13383115886,https://shop113140852.taobao.com,9,109,河北省， 石家庄市,收纳盒,100%,4.97706分,76.90%,4.97706分,82.32%,4.97248分,78.77%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧斯迈旗舰店"，"点我对话"),欧斯迈旗舰店,欧斯迈旗舰店,,,,13736573902,https://shop110063408.taobao.com,336,4015,浙江省， 台州市,收纳盒,100%,4.87815分,0%,4.87021分,6.71%,4.86165分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao好来金家居专营店"，"点我对话"),好来金家居专营店,好来金家居专营店,,,,13801610520,https://shop68092344.taobao.com,115,1956,上海,收纳盒,100%,4.91807分,17.48%,4.88381分,10.47%,4.88496分,11.27%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao家泡泡旗舰店"，"点我对话"),家泡泡旗舰店,家泡泡旗舰店,,,,18138834150,https://shop114723797.taobao.com,54,151,广东省， 深圳市,收纳盒,100%,4.95547分,55.15%,4.94991分,61.40%,4.94805分,59.93%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao米奇龙旗舰店"，"点我对话"),米奇龙旗舰店,米奇龙旗舰店,,,,18576761039,https://shop112209409.taobao.com,37,20213,广东， 深圳,收纳盒,100%,4.91036分,23.27%,4.85602分,6.57%,4.85759分,4.88%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao早道甜数码专营店"，"点我对话"),早道甜数码专营店,早道甜数码专营店,,,,18938096848,https://shop110996948.taobao.com,163,1612,广东省， 深圳市,收纳盒,100%,4.81664分,1.42%,4.73299分,2.26%,4.76607分,1.65%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡姿汽车用品专营店"，"点我对话"),卡姿汽车用品专营店,卡姿汽车用品专营店,,,,18869901697,https://shop108648059.taobao.com,259,66121,浙江省， 金华市,收纳盒,100%,4.87723分,0%,4.82299分,0.54%,4.82529分,0.56%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao怡岚居家日用旗舰店"，"点我对话"),怡岚居家日用旗舰店,怡岚居家日用旗舰店,18655250001,,,,https://shop116752517.taobao.com,58,6481,安徽省， 蚌埠市,收纳盒,100%,4.89214分,7.68%,4.84774分,1.19%,4.85246分,1.45%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我形我塑旗舰店"，"点我对话"),我形我塑旗舰店,我形我塑旗舰店,13357816983,,,,https://shop105392796.taobao.com,38,3136,江苏， 南京,收纳盒,100%,4.83356分,0.98%,4.77535分,1.42%,4.78807分,1.26%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao扬伦家居专营店"，"点我对话"),扬伦家居专营店,扬伦家居专营店,,,,18602130974,https://shop159779071.taobao.com,63,11423,上海,收纳盒,100%,4.89254分,8.02%,4.86451分,12.08%,4.87189分,14.43%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阔动运动旗舰店"，"点我对话"),阔动运动旗舰店,阔动运动旗舰店,,,,13210613750,https://shop69223999.taobao.com,69,1421,山东， 泰安,收纳盒,100%,4.87559分,0%,4.84615分,1.35%,4.85059分,1.01%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao风骨家居旗舰店"，"点我对话"),风骨家居旗舰店,风骨家居旗舰店,,,,13810463337,https://shop68079103.taobao.com,19,6097,北京,收纳盒,中式风,4.69549分,4.19%,4.71289分,3.23%,4.72994分,2.88%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淇淇旗舰店"，"点我对话"),淇淇旗舰店,淇淇旗舰店,,,,13642775702,https://shop61092907.taobao.com,211,4302,广东省， 广州市,收纳盒,100%,4.90219分,16.71%,4.87129分,14.63%,4.86633分,9.26%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao讯齐汽车用品专营店"，"点我对话"),讯齐汽车用品专营店,讯齐汽车用品专营店,,,,15708312870,https://shop61478246.taobao.com,68,317,上海,收纳盒,100%,4.83219分,1.03%,4.79588分,1.10%,4.82041分,0.67%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雍徽家居专营店"，"点我对话"),雍徽家居专营店,雍徽家居专营店,17765178435,,,15901884515,https://shop112468488.taobao.com,64,186,上海,收纳盒,100%,4.93228分,42.04%,4.86457分,12.12%,4.88504分,23.21%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao缇薇娅旗舰店"，"点我对话"),缇薇娅旗舰店,缇薇娅旗舰店,,,,17086897227,https://shop116835493.taobao.com,274,7644,广东省， 梅州市,收纳盒,100%,4.87521分,3.43%,4.81011分,0%,4.82079分,0%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao家竹旗舰店"，"点我对话"),家竹旗舰店,家竹旗舰店,,,,18063732809,https://shop112977499.taobao.com,95,612,福建省， 南平市,收纳盒,100%,4.90837分,7.71%,4.91313分,33.06%,4.90383分,25.82%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao戴尔商红专卖店"，"点我对话"),戴尔商红专卖店,戴尔商红专卖店,,,,18666608156,https://shop129583826.taobao.com,92,239,广东， 惠州,收纳盒,100%,4.98588分,87.59%,4.97175分,82.05%,4.96893分,79.85%,,,,,,,,,,
