编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金麒麟汽车用品专营店"，"点我对话"),金麒麟汽车用品专营店,金麒麟汽车用品专营店,,,,13165136786,https://shop116627276.taobao.com,595,1028,山东， 德州,暖宝宝,汉子偏爱,4.8865分,3.32%,4.8595分,5.88%,4.85675分,0.71%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao咪多奇玩具专营店"，"点我对话"),咪多奇玩具专营店,咪多奇玩具专营店,,,,13868877927,https://shop116247387.taobao.com,82,7380,浙江省， 温州市,暖宝宝,小宝宝,4.8762分,0%,4.88183分,16.68%,4.8858分,14.83%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaltus旗舰店"，"点我对话"),altus旗舰店,altus旗舰店,,,,13621729714,https://shop110902553.taobao.com,75,10714,上海， 上海市,暖宝宝,100%,4.90942分,24.53%,4.89126分,30.55%,4.89881分,32.86%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao南极人爱罗专卖店"，"点我对话"),南极人爱罗专卖店,南极人爱罗专卖店,,,,13178755555,https://shop111439618.taobao.com,71,119459,浙江， 金华,暖宝宝,惰性少女,4.84026分,0.67%,4.80376分,0.57%,4.81615分,0.50%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贝尼母婴专营店"，"点我对话"),贝尼母婴专营店,贝尼母婴专营店,,,,13599507302,https://shop62427693.taobao.com,51,26815,福建， 厦门,暖宝宝,100%,4.8874分,0%,4.83698分,0%,4.84169分,0.50%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao兴隆康纳办公用品专营店"，"点我对话"),兴隆康纳办公用品专营店,兴隆康纳办公用品专营店,,,,13611316880,https://shop189320953.taobao.com,852,105,北京市,暖宝宝,100%,4.91915分,29.14%,4.90638分,39.93%,4.91915分,46.35%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao烤乐仕旗舰店"，"点我对话"),烤乐仕旗舰店,烤乐仕旗舰店,,,,13524802855,https://shop111080521.taobao.com,156,120516,上海， 上海市,暖宝宝,烘焙用具,4.92972分,40.21%,4.88629分,26.18%,4.8831分,21.27%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杰维数码专营店"，"点我对话"),杰维数码专营店,杰维数码专营店,,,,15057575019,https://shop67628090.taobao.com,63,264,浙江， 温州,暖宝宝,100%,4.90964分,20.81%,4.88554分,26.56%,4.88404分,23.05%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小时代我"，"点我对话"),小时代我,我是小时代旗舰店,,,,13068752258,https://shop340088114.taobao.com,24,7619,河北省石家庄市,暖宝宝,100%,4.81877分,1.39%,4.79538分,1.24%,4.81538分,1.02%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoroommates旗舰店"，"点我对话"),roommates旗舰店,roommates旗舰店,,,,18049913879,https://shop152300302.taobao.com,97,100,上海,暖宝宝,100%,4.94118分,40.73%,4.97059分,77.12%,4.95098分,61.41%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao征征数码专营店"，"点我对话"),征征数码专营店,征征数码专营店,,,,18932910197,https://shop113447513.taobao.com,44,1642,北京,暖宝宝,100%,4.91401分,24.64%,4.90691分,40.23%,4.90869分,39.35%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao智酷家居专营店"，"点我对话"),智酷家居专营店,智酷家居专营店,,,,18924886766,https://shop60987965.taobao.com,15,39,广东， 佛山,暖宝宝,100%,4.63492分,5.07%,4.63492分,4.35%,4.69841分,3.15%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao英薇旗舰店"，"点我对话"),英薇旗舰店,英薇旗舰店,,,,13112747786,https://shop108310672.taobao.com,157,2446,广东省， 佛山市,暖宝宝,亲子款,4.85578分,0.71%,4.83158分,0.55%,4.84487分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao波步旗舰店"，"点我对话"),波步旗舰店,波步旗舰店,,,,18979504392,https://shop117348109.taobao.com,237,3184,江苏， 苏州,暖宝宝,小宝宝,4.87921分,0%,4.84646分,0%,4.85765分,0%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao当当响图书"，"点我对话"),当当响图书,当当响图书专营店,,,,13951693713,https://shop60472860.taobao.com,3501,4580,江苏， 南京,暖宝宝,100%,4.93186分,14.17%,4.86991分,0%,4.86083分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohappywalk旗舰店"，"点我对话"),happywalk旗舰店,happywalk旗舰店,,,,17757901233,https://shop113122215.taobao.com,21,1169,上海,暖宝宝,小朋友,4.94261分,47.61%,4.93746分,55.89%,4.94488分,58.87%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蜗壳数码专营店"，"点我对话"),蜗壳数码专营店,蜗壳数码专营店,,,,15345602243,https://shop116699764.taobao.com,23,45,安徽， 合肥,暖宝宝,100%,4.94348分,50.46%,4.94348分,63.73%,4.94783分,65.38%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao纯色之恋官方旗舰店"，"点我对话"),纯色之恋官方旗舰店,纯色之恋官方旗舰店,,,,18681377770,https://shop110635058.taobao.com,7,193,成都市,暖宝宝,广东人偏爱,4.9745分,78.18%,4.96063分,68.23%,4.95391分,61.10%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoconnche利派专卖店"，"点我对话"),connche利派专卖店,connche利派专卖店,,,,13606675621,https://shop111593894.taobao.com,89,3903,浙江， 杭州,暖宝宝,小朋友,4.88707分,0%,4.80797分,1.03%,4.81654分,1.01%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡炫母婴专营店"，"点我对话"),卡炫母婴专营店,卡炫母婴专营店,,,,15725770345,https://shop107380042.taobao.com,48,12996,山东， 青岛,暖宝宝,100%,4.8582分,0.66%,4.85644分,0%,4.86887分,2.14%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优奇旗舰店"，"点我对话"),优奇旗舰店,优奇旗舰店,,,,18126608163,https://shop67938853.taobao.com,112,26639,广东， 佛山,暖宝宝,性价比高,4.92395分,30.58%,4.89755分,27.74%,4.9008分,25.97%,,,,,,,,,,
