编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丽英办公用品专营店"，"点我对话"),丽英办公用品专营店,丽英办公用品专营店,4001803833,,,13587133505,https://shop113005815.taobao.com,88,1273,浙江， 丽水,拉比母婴旗舰店,100%,4.9555分,60.88%,4.93539分,59.04%,4.93489分,57.94%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宇汗旗舰店"，"点我对话"),宇汗旗舰店,宇汗旗舰店,,,,13754308075,https://shop289586594.taobao.com,4686,1414,浙江省衢州市,拉比母婴旗舰店,100%,4.8403分,0.69%,4.77761分,1.11%,4.79851分,0.85%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao靓洁家居专营店"，"点我对话"),靓洁家居专营店,靓洁家居专营店,,,,13382601829,https://shop62900021.taobao.com,337,394046,上海,拉比母婴旗舰店,100%,4.92542分,36.06%,4.87458分,18.63%,4.87274分,15.05%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao银宏旗舰店"，"点我对话"),银宏旗舰店,银宏旗舰店,,,,15097932111,https://shop106565261.taobao.com,671,4633,河北省， 邢台市,拉比母婴旗舰店,100%,4.93705分,46.45%,4.892分,28.63%,4.87218分,13.62%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao来圣运动专营店"，"点我对话"),来圣运动专营店,来圣运动专营店,,,,13901744941,https://shop72637353.taobao.com,437,6836,上海,拉比母婴旗舰店,100%,4.85946分,0%,4.83479分,0%,4.84058分,0%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosyrinx希芸桓鸣专卖店"，"点我对话"),syrinx希芸桓鸣专卖店,syrinx希芸桓鸣专卖店,,,,18021243413,https://shop117101872.taobao.com,79,1136,江苏， 徐州,拉比母婴旗舰店,100%,4.93238分,47.59%,4.82299分,0%,4.82339分,0%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凝时化妆品专营店"，"点我对话"),凝时化妆品专营店,凝时化妆品专营店,,,,18917365777,https://shop105013368.taobao.com,106,6650,上海,拉比母婴旗舰店,100%,4.91354分,32.98%,4.87106分,25.87%,4.87778分,28.36%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao依妹儿旗舰店"，"点我对话"),依妹儿旗舰店,依妹儿旗舰店,,,,13556331693,https://shop117349502.taobao.com,19,3432,广东省， 汕头市,拉比母婴旗舰店,100%,4.87343分,0%,4.85769分,0%,4.86548分,0.84%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao弛茂汽车用品专营店"，"点我对话"),弛茂汽车用品专营店,弛茂汽车用品专营店,,,,13760946842,https://shop108544454.taobao.com,133,3016,广东， 广州,拉比母婴旗舰店,100%,4.90176分,16.43%,4.89668分,31.73%,4.89899分,31.74%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao神秘岛玩具专营店"，"点我对话"),神秘岛玩具专营店,神秘岛玩具专营店,,,,15958255320,https://shop103004059.taobao.com,131,4763,浙江， 宁波,拉比母婴旗舰店,100%,4.88949分,0%,4.8533分,0%,4.85273分,0%,,,,,,,,,,
