编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅高家居专营店"，"点我对话"),雅高家居专营店,雅高家居专营店,0579-85618524,,,,https://shop62910716.taobao.com,,,浙江金华,水杯,,4.85,-0.58%,4.76,-1.51%,4.76,-1.49%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao景润赉旗舰店"，"点我对话"),景润赉旗舰店,景润赉旗舰店,020-86282519,,,,https://shop102919499.taobao.com,,,广东广州,水杯,100.00%,4.67,-4.25%,4.62,-5.29%,4.60,-5.49%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao仁尚鞋类专营店"，"点我对话"),仁尚鞋类专营店,仁尚鞋类专营店,13870071565,13870071565,,,https://shop68674340.taobao.com/,,,浙江杭州,水杯,100.00%,4.93,46.55%,4.89,35.74%,4.88,33.14%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao江帆泽化妆品专营店"，"点我对话"),江帆泽化妆品专营店,江帆泽化妆品专营店,18003839985,18003839985,,,https://shop106357917.taobao.com/,,,北京,水杯,,4.87,0.00%,4.80,-0.54%,4.80,0.00%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉博华化妆品专营店"，"点我对话"),嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,,,北京,水杯,100.00%,4.89,11.71%,4.82,1.39%,4.82,0.00%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao帅康热水器旗舰店"，"点我对话"),帅康热水器旗舰店,帅康热水器旗舰店,4007001111,4007001111,,,https://shop70733667.taobao.com/,,,北京,水杯,,4.94,36.93%,4.91,33.70%,4.92,40.21%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao施华蔻邕兴专卖店"，"点我对话"),施华蔻邕兴专卖店,施华蔻邕兴专卖店,021-62599058,021-62599058,,,https://shop106375212.taobao.com/,,,上海,水杯,100.00%,4.86,0.00%,4.85,13.29%,4.86,21.51%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogoldenkey金钥匙旗舰店"，"点我对话"),goldenkey金钥匙旗舰店,goldenkey金钥匙旗舰店,,4001131415,,,https://shop101978509.taobao.com/,,,广东潮州,水杯,100.00%,4.84,-0.72%,4.79,-1.00%,4.80,-0.64%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao英卓锐家居专营店"，"点我对话"),英卓锐家居专营店,英卓锐家居专营店,010-85376850,010-85376850,,,https://shop111854121.taobao.com/,,,北京,水杯,,4.91,29.40%,4.92,53.55%,4.92,51.33%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao启赋官方旗舰店"，"点我对话"),启赋官方旗舰店,启赋官方旗舰店,0571-88010710,0571-88010710,,,https://shop111021164.taobao.com/,,,上海,水杯,,4.74,-2.88%,4.67,-3.69%,4.72,-2.58%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao福容旗舰店"，"点我对话"),福容旗舰店,福容旗舰店,0592-5616099,0592-5616099,,,https://shop103569156.taobao.com/,,,广东广州,水杯,,4.89,7.33%,4.84,0.00%,4.82,0.00%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao火狐狸户外专营店"，"点我对话"),火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,,,浙江金华,水杯,,4.90,23.18%,4.87,21.46%,4.87,24.21%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao济南惠好大药房旗舰店"，"点我对话"),济南惠好大药房旗舰店,济南惠好大药房旗舰店,0531-87203277,0531-87203277,,,https://shop570714392.taobao.com/,,,山东济南,水杯,100.00%,4.79,-2.28%,4.74,-2.56%,4.76,-2.25%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao马培德旗舰店"，"点我对话"),马培德旗舰店,马培德旗舰店,0512-57371577,0512-57371577,,,https://shop118069229.taobao.com/,,,江苏省苏州市,水杯,,4.93,38.85%,4.91,46.85%,4.91,46.91%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao良品铺子旗舰店"，"点我对话"),良品铺子旗舰店,良品铺子旗舰店,4001177517,4001177517,,,https://shop63552270.taobao.com,,,湖北武汉,水杯,100.00%,4.87,14.16%,4.82,3.81%,4.82,6.81%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb83442204"，"点我对话"),tb83442204,蜀忆食品,,18681610608,,,https://shop110200316.taobao.com,,,上海,水杯,100.00%,4.83,-0.67%,4.75,-1.70%,4.73,-1.99%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾鑫小天使"，"点我对话"),艾鑫小天使,乐高正品玩具店,13352062828,13388061135,,,https://shop68142464.taobao.com,,,北京,水杯,100.00%,4.88,0.00%,4.88,19.57%,4.90,36.19%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyuanlid006"，"点我对话"),yuanlid006,原力达电子,0755-29806019,15875573933,,,https://shop72548280.taobao.com,,,,水杯,100.00%,4.90,19.49%,4.89,32.42%,4.87,22.09%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我的公主王子love"，"点我对话"),我的公主王子love,贝贝熊儿童家居,,13387330028,13387330028,,https://shop110950084.taobao.com,,,广东佛山,水杯,100.00%,4.87,0.00%,4.85,0.00%,4.85,0.00%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoacamc"，"点我对话"),acamc,豆豆魔方儿童教育,4000216321,,,,https://shop72614156.taobao.com,,,浙江金华,水杯,100.00%,4.88,0.78%,4.85,1.22%,4.85,0.00%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩方五谷旗舰店"，"点我对话"),韩方五谷旗舰店,韩方五谷旗舰店,0577-63015933,,,,https://shop141485737.taobao.com,,,浙江省温州市,水杯,,4.87,0.00%,4.79,-0.74%,4.79,-0.68%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao门徒旗舰店"，"点我对话"),门徒旗舰店,门徒旗舰店,13715195006,,13715195006,,https://shop101731722.taobao.com,,,广东深圳,水杯,,4.92,23.36%,4.87,11.96%,4.86,8.06%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoalocs爱路客旗舰店"，"点我对话"),alocs爱路客旗舰店,alocs爱路客旗舰店,18067374092,,,,https://shop67760526.taobao.com,,,浙江宁波,水杯,,4.93,44.61%,4.89,34.43%,4.86,23.14%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao穆秋服饰旗舰店"，"点我对话"),穆秋服饰旗舰店,穆秋服饰旗舰店,,,null,,https://shop65207368.taobao.com,,,北京,水杯,100.00%,4.85,0.00%,4.86,5.95%,4.84,2.80%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoomanxuan欧曼宣旗舰店"，"点我对话"),omanxuan欧曼宣旗舰店,omanxuan欧曼宣旗舰店,13361788028,13361788028,,,https://shop114506608.taobao.com/,,,江西省景德镇市,水杯,,4.93,40.24%,4.91,34.70%,4.91,39.67%,,,,,,,,,,
