编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
121,,天猫,点我对话,汉鼎户外旗舰店,汉鼎户外旗舰店,,,,15684581253,https://shop105594461.taobao.com,518,424610,山东， 威海,车载用品,100%,4.86969分,0%,4.81239分,0.65%,4.80768分,0.84%,,,,,,,,,,
524,,天猫,点我对话,etravel易旅旗舰店,etravel易旅旗舰店,,,,13818636038,https://shop145955658.taobao.com,298,239996,上海， 上海市,车载用品,100%,4.91039分,23.31%,4.87209分,17.41%,4.8718分,15.03%,,,,,,,,,,
23,,天猫,点我对话,数家珍家居用品旗舰店,数家珍家居用品旗舰店,,,,18679521889,https://shop100593717.taobao.com,868,206392,上海,车载用品,100%,4.82748分,1.14%,4.75367分,1.89%,4.75996分,1.84%,,,,,,,,,,
85,,天猫,点我对话,车舞飞扬车品专营店,车舞飞扬车品专营店,,,,13958420466,https://shop70275818.taobao.com,93,168918,浙江， 金华,车载用品,100%,4.87759分,0%,4.82657分,0%,4.82601分,0%,,,,,,,,,,
146,,天猫,点我对话,cafele旗舰店,cafele旗舰店,18123809505,,,,https://shop111005000.taobao.com,130,167632,广东省， 深圳市,车载用品,100%,4.84294分,0.89%,4.80368分,0.78%,4.81066分,0.69%,,,,,,,,,,
427,,天猫,点我对话,易购五金专营店,易购五金专营店,17554227118,,,18561529171,https://shop103304264.taobao.com,262,124542,山东， 青岛,车载用品,100%,4.89426分,0%,4.82899分,0.81%,4.82347分,0.91%,,,,,,,,,,
30,,天猫,点我对话,淘店◎,亿淘电器专营店,,,,15539523611,https://shop70205960.taobao.com,57,118907,浙江， 宁波,车载用品,100%,4.84334分,0.57%,4.7994分,0.54%,4.81232分,0%,,,,,,,,,,
290,,天猫,点我对话,鑫楚天数码专营店,鑫楚天数码专营店,,,,13922887898,https://shop59800934.taobao.com,91,106880,福建， 福州,车载用品,100%,4.89953分,11.59%,4.8403分,0%,4.83647分,0%,,,,,,,,,,
348,,天猫,点我对话,蓝品店,蓝轩车品旗舰店,,,,17191718027,https://shop67015874.taobao.com,119,105913,浙江， 台州,车载用品,100%,4.8237分,1.19%,4.77286分,1.53%,4.77591分,1.53%,,,,,,,,,,
360,,天猫,点我对话,蓝轩车品旗舰店,蓝轩车品旗舰店,,,,15888921756,https://shop67015874.taobao.com,119,105913,浙江， 台州,车载用品,100%,4.8237分,1.19%,4.77286分,1.53%,4.77591分,1.53%,,,,,,,,,,
