编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,summitdragon旗舰店,summitdragon旗舰店,0579-85253677,,0579-85253677,,https://shop111568207.taobao.com,,,浙江省金华市,爽肤水,,4.89,15.91%,4.87,23.61%,4.85,16.78%,,,,,,,,,,
2,,天猫,点我对话,景润赉旗舰店,景润赉旗舰店,020-86282519,,,,https://shop102919499.taobao.com,,,广东广州,爽肤水,100.00%,4.67,-4.25%,4.62,-5.29%,4.6,-5.49%,,,,,,,,,,
3,,天猫,点我对话,唯优母婴专营店,唯优母婴专营店,13308468460,13308468460,,,https://shop104261978.taobao.com/,,,湖南省长沙市,爽肤水,100.00%,4.84,-0.93%,4.78,-1.26%,4.81,-0.65%,,,,,,,,,,
4,,天猫,点我对话,乐泳运动户外专营店,乐泳运动户外专营店,13681844266,13681844266,,,https://shop106876964.taobao.com/,,,上海,爽肤水,,4.91,34.29%,4.88,29.44%,4.89,35.31%,,,,,,,,,,
5,,天猫,点我对话,嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,,,北京,爽肤水,100.00%,4.89,11.71%,4.82,1.39%,4.82,0.00%,,,,,,,,,,
6,,天猫,点我对话,帅康热水器旗舰店,帅康热水器旗舰店,4007001111,4007001111,,,https://shop70733667.taobao.com/,,,北京,爽肤水,,4.94,36.93%,4.91,33.70%,4.92,40.21%,,,,,,,,,,
7,,天猫,点我对话,施华蔻邕兴专卖店,施华蔻邕兴专卖店,021-62599058,021-62599058,,,https://shop106375212.taobao.com/,,,上海,爽肤水,100.00%,4.86,0.00%,4.85,13.29%,4.86,21.51%,,,,,,,,,,
8,,天猫,点我对话,goldenkey金钥匙旗舰店,goldenkey金钥匙旗舰店,,4001131415,,,https://shop101978509.taobao.com/,,,广东潮州,爽肤水,100.00%,4.84,-0.72%,4.79,-1.00%,4.8,-0.64%,,,,,,,,,,
9,,天猫,点我对话,josephlyddy广银专卖店,josephlyddy广银专卖店,4008220798,4008220798,,,https://shop118247838.taobao.com/,,,浙江省湖州市,爽肤水,100.00%,4.93,44.29%,4.9,38.12%,4.89,35.34%,,,,,,,,,,
10,,天猫,点我对话,巧智乐母婴专营店,巧智乐母婴专营店,19943805039,19943805039,,,https://shop115869431.taobao.com/,,,河南省许昌市,爽肤水,,4.9,17.03%,4.89,29.11%,4.9,34.63%,,,,,,,,,,
11,,天猫,点我对话,英卓锐家居专营店,英卓锐家居专营店,010-85376850,010-85376850,,,https://shop111854121.taobao.com/,,,北京,爽肤水,,4.91,29.40%,4.92,53.55%,4.92,51.33%,,,,,,,,,,
12,,天猫,点我对话,福容旗舰店,福容旗舰店,0592-5616099,0592-5616099,,,https://shop103569156.taobao.com/,,,广东广州,爽肤水,,4.89,7.33%,4.84,0.00%,4.82,0.00%,,,,,,,,,,
13,,天猫,点我对话,火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,,,浙江金华,爽肤水,,4.9,23.18%,4.87,21.46%,4.87,24.21%,,,,,,,,,,
14,,天猫,点我对话,济南惠好大药房旗舰店,济南惠好大药房旗舰店,0531-87203277,0531-87203277,,,https://shop570714392.taobao.com/,,,山东济南,爽肤水,100.00%,4.79,-2.28%,4.74,-2.56%,4.76,-2.25%,,,,,,,,,,
15,,天猫,点我对话,魅家旗舰店,魅家旗舰店,18065601929,18065601929,,,https://shop116102693.taobao.com/,,,福建省泉州市,爽肤水,100.00%,4.83,-1.16%,4.74,-2.39%,4.74,-2.09%,,,,,,,,,,
16,,天猫,点我对话,马培德旗舰店,马培德旗舰店,0512-57371577,0512-57371577,,,https://shop118069229.taobao.com/,,,江苏省苏州市,爽肤水,,4.93,38.85%,4.91,46.85%,4.91,46.91%,,,,,,,,,,
17,,天猫,点我对话,亲佳贝母婴专营店,亲佳贝母婴专营店,13950165514,13950165514,,,https://shop72576544.taobao.com/,,,福建厦门,爽肤水,100.00%,4.91,24.83%,4.87,19.01%,4.88,20.26%,,,,,,,,,,
18,,天猫,点我对话,tb83442204,蜀忆食品,,18681610608,,,https://shop110200316.taobao.com,,,上海,爽肤水,100.00%,4.83,-0.67%,4.75,-1.70%,4.73,-1.99%,,,,,,,,,,
19,,天猫,点我对话,艾鑫小天使,乐高正品玩具店,13352062828,13388061135,,,https://shop68142464.taobao.com,,,北京,爽肤水,100.00%,4.88,0.00%,4.88,19.57%,4.9,36.19%,,,,,,,,,,
20,,天猫,点我对话,我的公主王子love,贝贝熊儿童家居,,13387330028,13387330028,,https://shop110950084.taobao.com,,,广东佛山,爽肤水,100.00%,4.87,0.00%,4.85,0.00%,4.85,0.00%,,,,,,,,,,
21,,天猫,点我对话,韩方五谷旗舰店,韩方五谷旗舰店,0577-63015933,,,,https://shop141485737.taobao.com,,,浙江省温州市,爽肤水,,4.87,0.00%,4.79,-0.74%,4.79,-0.68%,,,,,,,,,,
22,,天猫,点我对话,alocs爱路客旗舰店,alocs爱路客旗舰店,18067374092,,,,https://shop67760526.taobao.com,,,浙江宁波,爽肤水,,4.93,44.61%,4.89,34.43%,4.86,23.14%,,,,,,,,,,
23,,天猫,点我对话,穆秋服饰旗舰店,穆秋服饰旗舰店,,,null,,https://shop65207368.taobao.com,,,北京,爽肤水,100.00%,4.85,0.00%,4.86,5.95%,4.84,2.80%,,,,,,,,,,
24,,天猫,点我对话,omanxuan欧曼宣旗舰店,omanxuan欧曼宣旗舰店,13361788028,13361788028,,,https://shop114506608.taobao.com/,,,江西省景德镇市,爽肤水,,4.93,40.24%,4.91,34.70%,4.91,39.67%,,,,,,,,,,
25,,天猫,点我对话,伊沫箱包旗舰店,伊沫箱包旗舰店,0798-8583002,0798-8583002,,,https://shop114802849.taobao.com/,,,江西省景德镇市,爽肤水,,4.95,61.59%,4.93,58.92%,4.93,57.65%,,,,,,,,,,
26,,天猫,点我对话,仁尚鞋类专营店,仁尚鞋类专营店,13870071565,13870071565,,,https://shop68674340.taobao.com/,,,浙江杭州,爽肤水,100.00%,4.93,46.55%,4.89,35.74%,4.88,33.14%,,,,,,,,,,
27,,天猫,点我对话,thefirstoutdoor旗舰,thefirstoutdoor旗舰,4000981698,4000981698,,,https://shop70198810.taobao.com/,,,浙江杭州,爽肤水,100.00%,4.9,23.03%,4.89,33.20%,4.86,20.31%,,,,,,,,,,
28,,天猫,点我对话,葛菲娜汇美优品专卖店,葛菲娜汇美优品专卖店,15142239143,15142239143,,,https://shop72405752.taobao.com/,,,辽宁鞍山,爽肤水,,4.92,36.06%,4.88,30.49%,4.85,19.29%,,,,,,,,,,
29,,天猫,点我对话,f5s旗舰店,f5s旗舰店,020-87339493,020-87339493,,,https://shop140861406.taobao.com/,,,广东省广州市,爽肤水,100.00%,4.87,0.00%,4.87,26.72%,4.86,21.84%,,,,,,,,,,
30,,天猫,点我对话,芊姿彩诚翔专卖店,芊姿彩诚翔专卖店,15371372888,15371372888,,,https://shop163275454.taobao.com/,,,浙江杭州,爽肤水,,4.85,-0.60%,4.8,-1.62%,4.77,-2.11%,,,,,,,,,,
31,,天猫,点我对话,爱因宝母婴专营店,爱因宝母婴专营店,0578-5520781,0578-5520781,,,https://shop109206957.taobao.com/,,,北京,爽肤水,,4.89,5.49%,4.85,6.19%,4.85,1.57%,,,,,,,,,,
32,,天猫,点我对话,启赋官方旗舰店,启赋官方旗舰店,0571-88010710,0571-88010710,,,https://shop111021164.taobao.com/,,,上海,爽肤水,,4.74,-2.88%,4.67,-3.69%,4.72,-2.58%,,,,,,,,,,
33,,天猫,点我对话,百德恒世五金专营店,百德恒世五金专营店,4008656592,4008656592,,,https://shop112635212.taobao.com/,,,北京,爽肤水,100.00%,4.97,76.75%,4.96,73.62%,4.96,71.41%,,,,,,,,,,
34,,天猫,点我对话,知心缘家居专营店,知心缘家居专营店,18896961797,18896961797,,,https://shop111310697.taobao.com/,,,江苏苏州,爽肤水,100.00%,4.92,32.69%,4.87,20.42%,4.87,22.92%,,,,,,,,,,
35,,天猫,点我对话,迈点汽车用品专营店,迈点汽车用品专营店,18320414250,18320414250,,,https://shop110838681.taobao.com/,,,广东广州,爽肤水,100.00%,4.84,-0.66%,4.79,-0.99%,4.79,-0.90%,,,,,,,,,,
36,,天猫,点我对话,tb4169197,儿童数码产品店,,18929323711,,,https://shop104111552.taobao.com/,,,江苏南京,爽肤水,100.00%,4.91,18.61%,4.91,41.60%,4.91,43.89%,,,,,,,,,,
37,,天猫,点我对话,菲力康旗舰店,菲力康旗舰店,18613319319,18613319319,,,https://shop149736161.taobao.com/,,,广东深圳,爽肤水,,4.85,-0.82%,4.82,-0.63%,4.82,-0.55%,,,,,,,,,,
38,,天猫,点我对话,星恒运动户外专营店,星恒运动户外专营店,0755-33144555,0755-33144555,,,https://shop106344153.taobao.com/,,,广东省深圳市,爽肤水,,4.9,19.73%,4.91,44.63%,4.9,42.55%,,,,,,,,,,
39,,天猫,点我对话,良品铺子旗舰店,良品铺子旗舰店,4001177517,4001177517,,,https://shop63552270.taobao.com,,,湖北武汉,爽肤水,100.00%,4.87,14.16%,4.82,3.81%,4.82,6.81%,,,,,,,,,,
40,,天猫,点我对话,韩流熟淑女,韩淑女显瘦服饰,0752-7833015,15089265353,15089265353,,https://shop101575386.taobao.com,,,湖北武汉,爽肤水,100.00%,4.83,-0.70%,4.8,0.00%,4.8,0.00%,,,,,,,,,,
41,,天猫,点我对话,博领旗舰店,博领旗舰店,15214343068,,,,https://shop101355075.taobao.com,,,上海,爽肤水,,4.93,45.94%,4.92,54.27%,4.91,48.03%,,,,,,,,,,
