编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao子初众恒专卖店"，"点我对话"),子初众恒专卖店,子初众恒专卖店,020-87374803,,,,https://shop144153362.taobao.com,288,19715,广东， 广州,男内裤,100%,4.90238分,13.02%,4.8442分,0%,4.8546分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao誊威母婴专营店"，"点我对话"),誊威母婴专营店,誊威母婴专营店,18759412126,,,,https://shop113175979.taobao.com,221,1409,福建， 泉州,男内裤,100%,4.87428分,0%,4.84626分,0%,4.87113分,7.98%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩乂旗舰店"，"点我对话"),韩乂旗舰店,韩乂旗舰店,null,,,,https://shop109051328.taobao.com,108,1698,福建省， 泉州市,男内裤,100%,4.85373分,0%,4.83713分,4.87%,4.8327分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao奇遇母婴专营店"，"点我对话"),奇遇母婴专营店,奇遇母婴专营店,13755672698,,,,https://shop100326463.taobao.com,53,2791,江西省， 南昌市,男内裤,100%,4.96954分,72.86%,4.96618分,76.92%,4.96816分,77.28%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoleonbinno雷尔宾诺旗舰店"，"点我对话"),leonbinno雷尔宾诺旗舰店,leonbinno雷尔宾诺旗舰店,0571-87041539,,,,https://shop111003836.taobao.com,316,7376,浙江省， 杭州市,男内裤,100%,4.90376分,24.87%,4.88068分,30.31%,4.88602分,30.36%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宾尼名饰专卖店"，"点我对话"),宾尼名饰专卖店,宾尼名饰专卖店,,,,15161060066,https://shop103327174.taobao.com,35,2108,江苏， 苏州,男内裤,100%,4.92028分,33.58%,4.92322分,50.77%,4.92121分,48.94%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阔动运动旗舰店"，"点我对话"),阔动运动旗舰店,阔动运动旗舰店,,,,13210613750,https://shop69223999.taobao.com,70,1193,山东， 泰安,男内裤,100%,4.85657分,0.52%,4.83145分,0%,4.83473分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao秀亚母婴专营店"，"点我对话"),秀亚母婴专营店,秀亚母婴专营店,,,,13360015218,https://shop102504701.taobao.com,99,8001,广东省， 广州市,男内裤,100%,4.88006分,0%,4.85142分,0%,4.85854分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao来圣运动专营店"，"点我对话"),来圣运动专营店,来圣运动专营店,,,,13901744941,https://shop72637353.taobao.com,429,9806,上海,男内裤,100%,4.86096分,0%,4.83749分,0%,4.84415分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomofi莫凡旗舰店"，"点我对话"),mofi莫凡旗舰店,mofi莫凡旗舰店,,,,13905005195,https://shop106878526.taobao.com,70,1609,福建省， 福州市,男内裤,100%,4.9021分,14.16%,4.86529分,15.33%,4.84211分,0%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao钦润家居专营店"，"点我对话"),钦润家居专营店,钦润家居专营店,,,,18352667975,https://shop63747980.taobao.com,31,8262,上海,男内裤,100%,4.87846分,0%,4.82876分,0%,4.83781分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao捷佳旗舰店"，"点我对话"),捷佳旗舰店,捷佳旗舰店,027-67801535,,,15361007718,https://shop101584092.taobao.com,116,11804,广东， 深圳,男内裤,100%,4.89316分,9.65%,4.88199分,24.62%,4.88575分,25.08%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao狼语内衣旗舰店"，"点我对话"),狼语内衣旗舰店,狼语内衣旗舰店,,,,0577-64372280,https://shop113299349.taobao.com,49,5277,浙江， 温州,男内裤,100%,4.77946分,1.90%,4.73056分,2.04%,4.74627分,1.86%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao零时差居家日用专卖店"，"点我对话"),零时差居家日用专卖店,零时差居家日用专卖店,,,,15919845334,https://shop108465469.taobao.com,11,1081,广东省， 深圳市,男内裤,100%,4.91052分,23.65%,4.91221分,43.64%,4.91306分,42.98%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao探路者冠瑞专卖店"，"点我对话"),探路者冠瑞专卖店,探路者冠瑞专卖店,,,,18080828048,https://shop104997893.taobao.com,398,14519,四川， 成都,男内裤,100%,4.90913分,23.15%,4.87401分,19.52%,4.88453分,24.28%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博牌旗舰店"，"点我对话"),博牌旗舰店,博牌旗舰店,,,,020-22171381,https://shop70600044.taobao.com,81,4406,广东， 广州,男内裤,100%,4.9386分,52.07%,4.91508分,50.40%,4.9002分,39.02%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao担诚箱包专营店"，"点我对话"),担诚箱包专营店,担诚箱包专营店,,,,027-59228910,https://shop68740011.taobao.com,71,2148,湖北， 武汉,男内裤,100%,4.95905分,68.02%,4.92385分,55.50%,4.92612分,54.83%,,,,,,,,,,
26,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优乐酷旗舰店"，"点我对话"),优乐酷旗舰店,优乐酷旗舰店,0663-3566000,,,0663-3566000,https://shop62541650.taobao.com,269,21582,广东， 揭阳,男内裤,100%,4.92834分,36.15%,4.87549分,15.03%,4.88171分,15.60%,,,,,,,,,,
27,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星优旗舰店"，"点我对话"),星优旗舰店,星优旗舰店,,,,13357618123,https://shop152438116.taobao.com,183,267681,浙江， 台州,男内裤,100%,4.89527分,10.63%,4.8571分,8.26%,4.85256分,3.30%,,,,,,,,,,
28,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao俊皓服饰专营店"，"点我对话"),俊皓服饰专营店,俊皓服饰专营店,,,,1379418231,https://shop112140688.taobao.com,38,1083,江苏， 苏州,男内裤,100%,4.8395分,0.67%,4.8027分,0.54%,4.81689分,0%,,,,,,,,,,
29,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯伊秀靓珏专卖店"，"点我对话"),凯伊秀靓珏专卖店,凯伊秀靓珏专卖店,0539-8614006,,,15562183184,https://shop69289199.taobao.com,97,2290,上海,男内裤,100%,4.93048分,45.84%,4.85712分,18.17%,4.86366分,20.66%,,,,,,,,,,
32,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爽然旗舰店"，"点我对话"),爽然旗舰店,爽然旗舰店,,,,0731-82220285,https://shop72173799.taobao.com,118,62921,北京,男内裤,100%,4.86923分,0%,4.8403分,0%,4.84577分,0%,,,,,,,,,,
36,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao依尔婴母婴专营店"，"点我对话"),依尔婴母婴专营店,依尔婴母婴专营店,,,,15159990600,https://shop110683091.taobao.com,102,1616,福建省， 南平市,男内裤,100%,4.85902分,0.59%,4.79113分,1.28%,4.80214分,1.19%,,,,,,,,,,
