编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,达派箱包旗舰店,达派箱包旗舰店,0595-36729872,,,,https://shop57505380.taobao.com,,,福建泉州,男士护肤,,4.94,58.93%,4.9,44.11%,4.89,33.91%,,,,,,,,,,
2,,天猫,点我对话,汉客旗舰店,汉客旗舰店,020-36276236,,,,https://shop61672715.taobao.com,,,广东广州,男士护肤,,4.88,13.23%,4.87,28.19%,4.86,21.50%,,,,,,,,,,
3,,天猫,点我对话,尊象旗舰店,尊象旗舰店,13868966208,,,,https://shop106083832.taobao.com,,,浙江省温州市,男士护肤,100.00%,4.76,-2.25%,4.72,-2.15%,4.76,-1.40%,,,,,,,,,,
4,,天猫,点我对话,forsislleos花斯豹旗舰店,forsislleos花斯豹旗舰店,13506648018,,,,https://shop109122421.taobao.com,,,广东广州,男士护肤,100.00%,4.93,50.08%,4.91,46.34%,4.9,45.06%,,,,,,,,,,
5,,天猫,点我对话,卓唯手表专营店,卓唯手表专营店,18301638119,18301638119,,,https://shop113261980.taobao.com/,,,北京,男士护肤,100.00%,4.88,0.00%,4.85,0.00%,4.84,0.00%,,,,,,,,,,
6,,天猫,点我对话,隐形盾旗舰店,隐形盾旗舰店,18350718608,18350718608,,,https://shop475560228.taobao.com/,,,福建莆田,男士护肤,100.00%,4.95,63.95%,4.94,68.47%,4.95,70.07%,,,,,,,,,,
7,,天猫,点我对话,thefirstoutdoor旗舰,thefirstoutdoor旗舰,4000981698,4000981698,,,https://shop70198810.taobao.com/,,,浙江杭州,男士护肤,100.00%,4.9,23.03%,4.89,33.20%,4.86,20.31%,,,,,,,,,,
8,,天猫,点我对话,奥莎运动户外专营店,奥莎运动户外专营店,021-69168551,021-69168551,,,https://shop67838388.taobao.com/,,,上海,男士护肤,,4.88,5.49%,4.83,2.17%,4.82,0.00%,,,,,,,,,,
9,,天猫,点我对话,嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,,,北京,男士护肤,100.00%,4.89,11.71%,4.82,1.39%,4.82,0.00%,,,,,,,,,,
10,,天猫,点我对话,施华蔻邕兴专卖店,施华蔻邕兴专卖店,021-62599058,021-62599058,,,https://shop106375212.taobao.com/,,,上海,男士护肤,100.00%,4.86,0.00%,4.85,13.29%,4.86,21.51%,,,,,,,,,,
