编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,韩衣朵朵旗舰店,韩衣朵朵旗舰店,18065361913,18065361913,,,https://shop68880641.taobao.com/,,,福建泉州,男装裤子,100.00%,4.93,44.68%,4.91,47.99%,4.9,44.61%,,,,,,,,,,
2,,天猫,点我对话,英佳旗舰店,英佳旗舰店,0571-89878997,0571-89878997,,,https://shop73232776.taobao.com/,,,浙江杭州,男装裤子,,4.71,-3.26%,4.6,-4.61%,4.6,-4.65%,,,,,,,,,,
3,,天猫,点我对话,真情告白旗舰店,真情告白旗舰店,0571-85093046,0571-85093046,,,https://shop67841843.taobao.com/,,,浙江杭州,男装裤子,100.00%,4.88,12.13%,4.85,11.87%,4.85,11.18%,,,,,,,,,,
4,,天猫,点我对话,乔菲服饰专营店,乔菲服饰专营店,17394623837,17394623837,17394623837,,https://shop113647414.taobao.com/,,,上海,男装裤子,100.00%,4.81,-1.06%,4.79,-0.68%,4.8,-0.50%,,,,,,,,,,
5,,天猫,点我对话,嘉茱莉旗舰店,嘉茱莉旗舰店,4008000808,4008000808,,,https://shop68057743.taobao.com/,,,上海,男装裤子,,4.85,0.00%,4.86,18.78%,4.86,17.58%,,,,,,,,,,
6,,天猫,点我对话,衣芮旗舰店,衣芮旗舰店,15669860510,15669860510,,,https://shop110917891.taobao.com/,,,浙江杭州,男装裤子,,4.83,-0.67%,4.83,4.32%,4.8,-0.53%,,,,,,,,,,
7,,天猫,点我对话,艾米达旗舰店,艾米达旗舰店,020-66348862,020-66348862,,,https://shop63716578.taobao.com/,,,广东广州,男装裤子,,4.93,45.59%,4.9,39.79%,4.89,38.54%,,,,,,,,,,
8,,天猫,点我对话,和家缘旗舰店,和家缘旗舰店,0571-22855933,0571-22855933,,,https://shop68880091.taobao.com/,,,浙江杭州,男装裤子,100.00%,4.94,59.04%,4.92,52.75%,4.92,52.93%,,,,,,,,,,
9,,天猫,点我对话,花花公子韩风专卖店,花花公子韩风专卖店,18088845666,18088845666,,,https://shop108541654.taobao.com/,,,安徽合肥,男装裤子,100.00%,4.95,61.74%,4.93,62.27%,4.94,62.97%,,,,,,,,,,
10,,天猫,点我对话,亲佳贝母婴专营店,亲佳贝母婴专营店,13950165514,13950165514,,,https://shop72576544.taobao.com/,,,福建厦门,男装裤子,100.00%,4.91,24.83%,4.87,19.01%,4.88,20.26%,,,,,,,,,,
