编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao高姿仙柏专卖店"，"点我对话"),高姿仙柏专卖店,高姿仙柏专卖店,0571-81909164,,,,https://shop69931651.taobao.com,91,4975,浙江杭州,祛痘,,4.89593分,0%,4.8121分,0%,4.81084分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomiacare美若康旗舰店"，"点我对话"),miacare美若康旗舰店,miacare美若康旗舰店,0512-62748800,,,,https://shop107102560.taobao.com,33,12875,江苏苏州,祛痘,,4.89816分,0%,4.89408分,0%,4.89303分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宸名医疗器械专营店"，"点我对话"),宸名医疗器械专营店,宸名医疗器械专营店,18672633337,,,,https://shop150684109.taobao.com,26,1298,湖北随州,祛痘,,4.96688分,0%,4.949分,0%,4.94578分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao希妃施旗舰店"，"点我对话"),希妃施旗舰店,希妃施旗舰店,4000581598,,4000581598,,https://shop105919419.taobao.com,13,1119,广东省广州市,祛痘,100.00%,4.84118分,0%,4.75414分,0%,4.77314分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao水木花草旗舰店"，"点我对话"),水木花草旗舰店,水木花草旗舰店,0731-85598681,,,,https://shop111022114.taobao.com,17,7513,上海,祛痘,,4.8966分,0%,4.821分,0%,4.82205分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金泰康旗舰店"，"点我对话"),金泰康旗舰店,金泰康旗舰店,4000808398,,,,https://shop105412024.taobao.com,42,59733,广东广州,祛痘,100.00%,4.91334分,0%,4.86726分,0%,4.8675分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao西润旗舰店"，"点我对话"),西润旗舰店,西润旗舰店,,020-89292500,,,https://shop70537742.taobao.com/,13,17353,广东广州,祛痘,100.00%,4.94889分,0%,4.93553分,0%,4.93888分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芙优植旗舰店"，"点我对话"),芙优植旗舰店,芙优植旗舰店,400-8062928,400-8062928,,,https://shop62072387.taobao.com/,22,6743,广东广州,祛痘,100.00%,4.88316分,0%,4.83619分,0%,4.83667分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao六二八保健品专营店"，"点我对话"),六二八保健品专营店,六二八保健品专营店,0731-89977678,0731-89977678,,,https://shop108877395.taobao.com/,63,6124,湖南长沙,祛痘,,4.97548分,0%,4.95752分,0%,4.95002分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝印化妆品专营店"，"点我对话"),蓝印化妆品专营店,蓝印化妆品专营店,027-84696209,027-84696209,,,https://shop106739458.taobao.com/,52,2623,湖北省宜昌市,祛痘,100.00%,4.83547分,0%,4.80769分,0%,4.81677分,0%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao方敏旗舰店"，"点我对话"),方敏旗舰店,方敏旗舰店,0558-5895895,0558-5895895,,,https://shop69322117.taobao.com/,49,374,安徽亳州,祛痘,100.00%,4.8271分,0%,4.80409分,0%,4.81617分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鈞成化妆品专营店"，"点我对话"),鈞成化妆品专营店,鈞成化妆品专营店,0551-64250045,0551-64250045,,,https://shop60149822.taobao.com/,91,1036,安徽合肥,祛痘,100.00%,4.9193分,0%,4.85025分,0%,4.85885分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozeze旗舰店"，"点我对话"),zeze旗舰店,zeze旗舰店,0576-86974094,0576-86974094,,,https://shop100328666.taobao.com/,109,15936,浙江省台州市,祛痘,100.00%,4.88263分,0%,4.88821分,0%,4.87602分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao网客食品专营店"，"点我对话"),网客食品专营店,网客食品专营店,0571-88325575,0571-88325575,,,https://shop67911153.taobao.com/,16,3813,北京,祛痘,,4.95506分,0%,4.93812分,0%,4.94174分,0%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉博华化妆品专营店"，"点我对话"),嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,160,1072,北京,祛痘,100.00%,4.88585分,0%,4.8154分,0%,4.8124分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中盐旗舰店"，"点我对话"),中盐旗舰店,中盐旗舰店,18620364455,18620364455,,,https://shop116606810.taobao.com/,33,20604,黑龙江哈尔滨,祛痘,,4.94546分,0%,4.90586分,0%,4.89424分,0%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao泊舒旗舰店"，"点我对话"),泊舒旗舰店,泊舒旗舰店,020-81215373,020-81215373,,,https://shop102181247.taobao.com/,68,36757,广东广州,祛痘,,4.87291分,0%,4.81824分,0%,4.82209分,0%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao威伦格调旗舰店"，"点我对话"),威伦格调旗舰店,威伦格调旗舰店,0595-85967703,0595-85967703,,,https://shop111155204.taobao.com/,1724,464,福建省泉州市,祛痘,100.00%,4.81199分,0%,4.6776分,0%,4.6877分,0%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao迷奇官方旗舰店"，"点我对话"),迷奇官方旗舰店,迷奇官方旗舰店,53014104,53014104,,,https://shop70240445.taobao.com/,81,10192,北京,祛痘,,4.92745分,0%,4.9074分,0%,4.91173分,0%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贝维诗旗舰店"，"点我对话"),贝维诗旗舰店,贝维诗旗舰店,400-6541118,,,,https://shop104159322.taobao.com,31,22478,广东广州,祛痘,,4.88573分,0%,4.83757分,0%,4.8464分,0%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao御信堂母婴旗舰店"，"点我对话"),御信堂母婴旗舰店,御信堂母婴旗舰店,4006903001,,,,https://shop70287504.taobao.com,45,5456,江苏常州,祛痘,,4.89856分,0%,4.8659分,0%,4.87152分,0%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天曦化妆品专营店"，"点我对话"),天曦化妆品专营店,天曦化妆品专营店,020-62359019,,,,https://shop110887245.taobao.com,14,466,广东省广州市,祛痘,,4.92077分,0%,4.86431分,0%,4.86586分,0%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokotte高倩宝庚专卖店"，"点我对话"),kotte高倩宝庚专卖店,kotte高倩宝庚专卖店,18721002004,,,,https://shop108391733.taobao.com,67,849,上海,祛痘,,4.91702分,0%,4.78156分,0%,4.78652分,0%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao法意兰旗舰店"，"点我对话"),法意兰旗舰店,法意兰旗舰店,4008765320,4008765320,,,https://shop116398026.taobao.com/,50,10200,广东省深圳市,祛痘,100.00%,4.89395分,0%,4.80036分,0%,4.80813分,0%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美人符旗舰店"，"点我对话"),美人符旗舰店,美人符旗舰店,4006636598,4006636598,,,https://shop71718665.taobao.com/,52,52584,广东佛山,祛痘,100.00%,4.9144分,0%,4.85303分,0%,4.85279分,0%,,,,,,,,,,
