编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,丽莎余服饰（北京）有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolisayu旗舰店"，"点我对话"),lisayu旗舰店,lisayu旗舰店,,,,,https://shop145499364.taobao.com,,,2436444.00,北京,秋冬女装,,4.88296分,7.98%,4.83749分,3.59%,4.862分,13.51%,,,,,,,,,,
2,清河县慧泽羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羊葱服饰旗舰店"，"点我对话"),羊葱服饰旗舰店,羊葱服饰旗舰店,,,,,https://shop165810627.taobao.com,,,16174542.00,北京,秋冬女装,,4.92221分,38.84%,4.90927分,46.18%,4.91592分,47.31%,,,,,,,,,,
3,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb547281"，"点我对话"),tb547281,随芯思雅女装妈妈店,,,,,https://shop63063706.taobao.com,,,121200.00,北京,秋冬女装,,4.82411,14.20%,4.88703,31.33%,4.88133分,24.94%,,,,,,,,,,
4,北京卓文时尚纺织股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思诺芙德旗舰店"，"点我对话"),思诺芙德旗舰店,思诺芙德旗舰店,,,,,https://shop59522703.taobao.com,,,0,北京,秋冬女装,,4.92071分,37.65%,4.90783分,45.33%,4.9336分,58.40%,,,,,,,,,,
5,北京萱草花科贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodonpye旗舰店"，"点我对话"),donpye旗舰店,donpye旗舰店,,,,,https://shop109890736.taobao.com,,,2120667.00,北京,秋冬女装,,4.96513分,72.58%,4.92734分,56.90%,4.9373分,60.70%,,,,,,,,,,
6,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧尊之朵1988"，"点我对话"),欧尊之朵1988,美衣欧韩店,,,,,https://shop137642375.taobao.com,,,194189.00,北京,秋冬女装,,4.71211分,-1.73%,4.76691分,-1.42%,4.78892分,-1.10%,,,,,,,,,,
7,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao谷穗甜甜"，"点我对话"),谷穗甜甜,谷穗甜甜,,,,,https://shop67020174.taobao.com,,,144798.00,北京,秋冬女装,,4.74144分,-1.12%,4.78517分,-1.04%,4.81559分,-0.55%,,,,,,,,,,
8,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao樱花电器总经销"，"点我对话"),樱花电器总经销,樱花厂家直销精品服饰,,,,,https://shop107317464.taobao.com,,,178916.00,北京,秋冬女装,,4.71771分,-1.61%,4.78036分,-1.14%,4.79321分,-1.01%,,,,,,,,,,
9,北京萱草花科贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao萱草影枝旗舰店"，"点我对话"),萱草影枝旗舰店,萱草影枝旗舰店,,,,,https://shop105847299.taobao.com,,,4321672.00,北京,秋冬女装,,4.96007分,68.60%,4.92742分,56.95%,4.92968分,55.94%,,,,,,,,,,
10,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaobainishang0117"，"点我对话"),bainishang0117,如梦霓裳汉服 传承民,,,18008051936,,https://shop34665843.taobao.com,,,213020.00,北京,秋冬女装,,4.86885分,35.99%,4.89899分,38.55%,4.89635分,34.38%,,,,,,,,,,
