编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芭伦斯旗舰店"，"点我对话"),芭伦斯旗舰店,芭伦斯旗舰店,,,,13153132630,https://shop351570274.taobao.com,54,1715,山东省济南市,秋季外套女,高腰款,4.99109分,92.99%,4.98278分,89.80%,4.98495分,90.59%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新主流旗舰店"，"点我对话"),新主流旗舰店,新主流旗舰店,,,,13325766168,https://shop102367008.taobao.com,1131,45671,浙江省， 嘉兴市,秋季外套女,韩版百搭,4.8043分,1.41%,4.76088分,1.46%,4.7709分,1.43%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蛮酷旗舰店"，"点我对话"),蛮酷旗舰店,蛮酷旗舰店,,,,18859796099,https://shop377184982.taobao.com,424,68,福建省泉州市,秋季外套女,100%,4.81295分,1.23%,4.67626分,3.21%,4.67986分,3.31%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尊笛旗舰店"，"点我对话"),尊笛旗舰店,尊笛旗舰店,,,,15171758770,https://shop390463215.taobao.com,1910,340,湖北省宜昌市,秋季外套女,100%,4.79833分,1.53%,4.75604分,1.56%,4.7658分,1.53%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中山博美电器专营店"，"点我对话"),中山博美电器专营店,中山博美电器专营店,19951833544,,,13005517922,https://shop109757760.taobao.com,7,208,广东， 中山,秋季外套女,100%,4.88585分,12.69%,4.87781分,29.88%,4.88103分,30.05%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阿布狗旗舰店"，"点我对话"),阿布狗旗舰店,阿布狗旗舰店,,,,18137113935,https://shop110525894.taobao.com,28,54,河南省， 郑州市,秋季外套女,100%,4.92717分,33.54%,4.88263分,17.28%,4.87969分,10.32%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao舒米优旗舰店"，"点我对话"),舒米优旗舰店,舒米优旗舰店,,,,18011602921,https://shop108491108.taobao.com,165,1096,北京， 北京市,秋季外套女,100%,4.86326分,0%,4.83809分,4.07%,4.8406分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金稻卓康专卖店"，"点我对话"),金稻卓康专卖店,金稻卓康专卖店,,,,18056908270,https://shop135685396.taobao.com,49,3312,江苏， 南京,秋季外套女,杨幂代言,4.89843分,22.28%,4.89151分,37.74%,4.90486分,44.08%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao以婕旗舰店"，"点我对话"),以婕旗舰店,以婕旗舰店,,,,17857972097,https://shop582603829.taobao.com,19,2325,浙江， 金华,秋季外套女,高腰款,4.8299分,0.88%,4.80227分,0.60%,4.80918分,0.64%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杭范旗舰店"，"点我对话"),杭范旗舰店,杭范旗舰店,,,,13037268363,https://shop469375274.taobao.com,64,1100,浙江， 杭州,秋季外套女,连帽款,4.87714分,3.27%,4.83007分,0%,4.84658分,4.09%,,,,,,,,,,
