编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小熊楠楠旗舰店"，"点我对话"),小熊楠楠旗舰店,小熊楠楠旗舰店,,,,18957270536,https://shop64674983.taobao.com,36,14,上海,秋季女装,100%,4.92683分,33.07%,4.8676分,6.81%,4.88502分,14.73%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao皓婉旗舰店"，"点我对话"),皓婉旗舰店,皓婉旗舰店,,,,15250509899,https://shop114608308.taobao.com,942,4724,江苏， 苏州,秋季女装,100%,4.90498分,24.77%,4.83696分,3.20%,4.84939分,5.88%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaomisshi旗舰店"，"点我对话"),misshi旗舰店,misshi旗舰店,,,,15000119757,https://shop112582840.taobao.com,1569,1503,江苏省， 苏州市,秋季女装,100%,4.87963分,4.76%,4.83738分,3.48%,4.84374分,2.35%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡龙豹旗舰店"，"点我对话"),卡龙豹旗舰店,卡龙豹旗舰店,,,,13690951579,https://shop512861533.taobao.com,8638,225,广东省河源市,秋季女装,100%,4.83468分,0.80%,4.79194分,0.82%,4.82661分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao木木娜娜旗舰店"，"点我对话"),木木娜娜旗舰店,木木娜娜旗舰店,,,,18027165400,https://shop412933077.taobao.com,153,119,广东省广州市,秋季女装,100%,4.90583分,25.49%,4.81614分,0%,4.81166分,0.59%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妙娜旗舰店"，"点我对话"),妙娜旗舰店,妙娜旗舰店,,,,15819552248,https://shop351044938.taobao.com,198,267,广东省揭阳市,秋季女装,100%,4.79567分,1.60%,4.7232分,2.24%,4.7544分,1.77%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao果妃服饰旗舰店"，"点我对话"),果妃服饰旗舰店,果妃服饰旗舰店,,,,13486101420,https://shop111000317.taobao.com,255,25,浙江省， 杭州市,秋季女装,100%,4.95731分,66.20%,4.94089分,64.91%,4.93432分,58.96%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红刺猬旗舰店"，"点我对话"),红刺猬旗舰店,红刺猬旗舰店,,,,13527893488,https://shop117439375.taobao.com,158,1471,广东省， 深圳市,秋季女装,100%,4.87704分,2.71%,4.85419分,13.46%,4.87152分,19.71%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao以婵旗舰店"，"点我对话"),以婵旗舰店,以婵旗舰店,,,,18679530853,https://shop254977247.taobao.com,1150,5356,广东， 广州,秋季女装,100%,4.92511分,40.75%,4.90144分,41.50%,4.90971分,43.58%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao逸彩服饰专营店"，"点我对话"),逸彩服饰专营店,逸彩服饰专营店,,,,18264211158,https://shop110107121.taobao.com,1091,206,山东省， 枣庄市,秋季女装,100%,4.868分,0%,4.82682分,0%,4.8754分,22.13%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao青语女装旗舰店"，"点我对话"),青语女装旗舰店,青语女装旗舰店,,,,13348630039,https://shop570815008.taobao.com,3896,314,湖南省株洲市,秋季女装,100%,4.81806分,1.14%,4.74008分,1.89%,4.78386分,1.16%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao湘珂旗舰店"，"点我对话"),湘珂旗舰店,湘珂旗舰店,,,,15773378619,https://shop213854687.taobao.com,1124,4745,湖南省株洲市,秋季女装,100%,4.95339分,63.12%,4.916分,50.14%,4.91944分,49.66%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao真皓玛服饰专营店"，"点我对话"),真皓玛服饰专营店,真皓玛服饰专营店,,,,13928786760,https://shop71810650.taobao.com,225,176,广东， 广州,秋季女装,100%,4.98214分,85.87%,4.96071分,76.68%,4.95714分,73.22%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺贝因旗舰店"，"点我对话"),诺贝因旗舰店,诺贝因旗舰店,,,,15397091502,https://shop72960557.taobao.com,261,2692,浙江， 杭州,秋季女装,100%,4.92476分,40.47%,4.899分,40.05%,4.90229分,38.94%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冷山熊旗舰店"，"点我对话"),冷山熊旗舰店,冷山熊旗舰店,,,,13857697501,https://shop112124083.taobao.com,288,477,浙江， 嘉兴,秋季女装,100%,4.95381分,63.43%,4.9329分,60.16%,4.93316分,58.23%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosunview尚约旗舰店"，"点我对话"),sunview尚约旗舰店,sunview尚约旗舰店,,,,15152880558,https://shop100179731.taobao.com,1440,570,上海,秋季女装,100%,4.96139分,69.45%,4.95309分,72.16%,4.95309分,70.68%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宏威女装旗舰店"，"点我对话"),宏威女装旗舰店,宏威女装旗舰店,,,,18938747154,https://shop114241855.taobao.com,78,36,广东省， 中山市,秋季女装,100%,4.87809分,3.54%,4.83605分,2.69%,4.866分,16.26%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅莉薇旗舰店"，"点我对话"),雅莉薇旗舰店,雅莉薇旗舰店,,,,15118901782,https://shop275903788.taobao.com,73,195,广东省揭阳市,秋季女装,100%,4.83604分,0.77%,4.74332分,1.83%,4.75851分,1.68%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao纽芳雅旗舰店"，"点我对话"),纽芳雅旗舰店,纽芳雅旗舰店,,,,13829176261,https://shop506699860.taobao.com,356,761,广东省东莞市,秋季女装,100%,4.88146分,6.21%,4.86836分,21.87%,4.87289分,20.57%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao上美嘉服饰专营店"，"点我对话"),上美嘉服饰专营店,上美嘉服饰专营店,,,,15107905890,https://shop110752897.taobao.com,3070,816,浙江， 杭州,秋季女装,100%,4.90756分,26.81%,4.88558分,32.07%,4.89503分,34.40%,,,,,,,,,,
