编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao夷陵小闫"，"点我对话"),夷陵小闫,美怡妈咪购 六年老店,,,15997553198,15997553198,https://shop62979080.taobao.com,86,199,湖北省宜昌市,秋裤男,99%,4.8018分,0.21%,4.86937分,16.32%,4.86937分,11.53%,,,,,,,,,,
2,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaob家鞋柜"，"点我对话"),b家鞋柜,B家鞋柜,,,,13162147517,https://shop114572084.taobao.com,280,11,上海市,秋裤男,98.2%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾赛莱尔旗舰店"，"点我对话"),艾赛莱尔旗舰店,艾赛莱尔旗舰店,,,,18925362885,https://shop112770854.taobao.com,117,1192,广东， 中山,秋裤男,100%,4.96226分,70.26%,4.96065分,76.68%,4.96375分,77.35%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotdch服饰旗舰店"，"点我对话"),tdch服饰旗舰店,tdch服饰旗舰店,,,,15068791833,https://shop112963158.taobao.com,421,2239,浙江省， 杭州市,秋裤男,100%,4.89248分,15.26%,4.84094分,5.74%,4.85037分,6.49%,,,,,,,,,,
5,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotony_lon"，"点我对话"),tony_lon,TONY家TONYSHOP,,0571-86909790,,,https://shop22138.taobao.com,258,2845,,秋裤男,99.7%,4.91059分,56.50%,4.93249分,59.12%,4.9326分,57.64%,,,,,,,,,,
6,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaow513334016"，"点我对话"),w513334016,鼎真配饰精品店,,,13318785821,,https://shop62950469.taobao.com,110,71,广东省广州市,秋裤男,99.2%,4.76471,-0.62%,4.80392,-0.64%,4.82353分,0.36%,,,,,,,,,,
7,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao型男家族0208"，"点我对话"),型男家族0208,品味阁精品男装,,,15955136816,15955136816,https://shop110529677.taobao.com,44,329,安徽省合肥市,秋裤男,98.8%,4.85338分,28.67%,4.88438分,30.00%,4.87643分,22.34%,,,,,,,,,,
8,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小哥天下第一"，"点我对话"),小哥天下第一,腾翔真皮男装,1689353095,,,,https://shop113498877.taobao.com,1,0,,秋裤男,100%,,,,,,,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乐泳运动户外专营店"，"点我对话"),乐泳运动户外专营店,乐泳运动户外专营店,13681844266,13681844266,,,https://shop106876964.taobao.com/,220,929,上海， 上海市,秋裤男,100%,4.92927分,40.92%,4.90868分,41.63%,4.9239分,49.52%,,,,,,,,,,
10,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唯鹏童鞋"，"点我对话"),唯鹏童鞋,唯鹏童鞋,13859913357,13696965972,,,https://shop72461110.taobao.com,513,108,福建省厦门市,秋裤男,99.6%,4.89667分,45.01%,4.92111分,49.46%,4.93111分,53.34%,,,,,,,,,,
11,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoruixing8886"，"点我对话"),ruixing8886,巨美豪客城,,18966016929,,,https://shop73307974.taobao.com,168,670,浙江省金华市,秋裤男,99.5%,4.7831分,0.24%,4.82432分,0.22%,4.82432分,0.34%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卓丽舒旗舰店"，"点我对话"),卓丽舒旗舰店,卓丽舒旗舰店,,,,15220208781,https://shop272117427.taobao.com,64,2238,广东省深圳市,秋裤男,100%,4.84911分,0%,4.79933分,0.66%,4.80965分,0.63%,,,,,,,,,,
13,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晨晨名品服饰"，"点我对话"),晨晨名品服饰,萱萱名品羽绒服饰,15180698228,15270278018,15270278018,15270278018,https://shop108775679.taobao.com,33,19,江西省九江市,秋裤男,98.7%,4.76243分,-1.03%,4.77901分,-1.34%,4.83425分,0.37%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao泽毅母婴专营店"，"点我对话"),泽毅母婴专营店,泽毅母婴专营店,,,,4007676500,https://shop70132391.taobao.com,104,239,上海,秋裤男,100%,4.87773分,0%,4.869分,7.74%,4.86463分,0%,,,,,,,,,,
15,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofwd13570429986"，"点我对话"),fwd13570429986,AIXEN埃克斯 潮牌男装,,18925037325,,,https://shop34655683.taobao.com,56,1,广东省广州市,秋裤男,99.1%,4.64516分,-3.11%,4.62903分,-4.26%,4.6129分,-4.71%,,,,,,,,,,
