编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao亲萌熊旗舰店"，"点我对话"),亲萌熊旗舰店,亲萌熊旗舰店,,,,13737746720,https://shop251590312.taobao.com,19,16,广西， 南宁,童装,100%,4.96474分,67.73%,4.94207分,59.27%,4.95214分,64.61%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妙瑞卡旗舰店"，"点我对话"),妙瑞卡旗舰店,妙瑞卡旗舰店,,,,13910223809,https://shop104978460.taobao.com,85,62,北京,童装,100%,4.89035分,0%,4.88596分,19.83%,4.87719分,9.19%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩潮童舎旗舰店"，"点我对话"),韩潮童舎旗舰店,韩潮童舎旗舰店,,,,17357285026,https://shop104356141.taobao.com,347,39298,浙江省， 湖州市,童装,100%,4.87812分,0%,4.7807分,1.59%,4.79075分,1.52%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao图图画画旗舰店"，"点我对话"),图图画画旗舰店,图图画画旗舰店,,,,13335823688,https://shop107543884.taobao.com,185,7558,浙江省， 湖州市,童装,100%,4.84551分,0.93%,4.77843分,1.63%,4.80021分,1.33%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao广东婴姿坊旗舰店"，"点我对话"),广东婴姿坊旗舰店,广东婴姿坊旗舰店,,,,18024563470,https://shop102726840.taobao.com,422,448,广东， 佛山,童装,100%,4.89915分,7.69%,4.87682分,13.40%,4.87169分,5.12%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao象老大旗舰店"，"点我对话"),象老大旗舰店,象老大旗舰店,,,,18686840800,https://shop111135915.taobao.com,130,149,四川， 成都,童装,100%,4.93478分,40.30%,4.90545分,33.53%,4.90545分,30.09%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao七范旗舰店"，"点我对话"),七范旗舰店,七范旗舰店,,,,13054011872,https://shop110418304.taobao.com,127,84,浙江， 湖州,童装,100%,4.95899分,62.46%,4.94034分,58.06%,4.94556分,59.75%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao富邦童装专营店"，"点我对话"),富邦童装专营店,富邦童装专营店,,,,13185278386,https://shop105011322.taobao.com,43,4549,上海,童装,100%,4.91336分,20.70%,4.8681分,7.27%,4.87247分,5.70%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao倍呵宝旗舰店"，"点我对话"),倍呵宝旗舰店,倍呵宝旗舰店,,,,13535318492,https://shop111593364.taobao.com,57,2226,浙江， 湖州,童装,100%,4.90618分,14.12%,4.85421分,0%,4.87107分,4.64%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao贝贝摩登濯清专卖店"，"点我对话"),贝贝摩登濯清专卖店,贝贝摩登濯清专卖店,,,,15821727859,https://shop63219753.taobao.com,599,46,上海,童装,100%,5.0分,100%,5.0分,100%,5.0分,100%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡咪蛙童装旗舰店"，"点我对话"),卡咪蛙童装旗舰店,卡咪蛙童装旗舰店,4000912857,,,18998319933,https://shop111674503.taobao.com,170,182,广东省， 广州市,童装,100%,4.92058分,27.30%,4.86892分,7.85%,4.87916分,10.65%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧沃森旗舰店"，"点我对话"),欧沃森旗舰店,欧沃森旗舰店,,,,18608671700,https://shop400392302.taobao.com,2968,2240,湖北省襄阳市,童装,100%,4.82985分,1.25%,4.75972分,2.02%,4.78038分,1.74%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao布丁哈鲁旗舰店"，"点我对话"),布丁哈鲁旗舰店,布丁哈鲁旗舰店,,,,17154915685,https://shop183633787.taobao.com,484,419,安徽省合肥市,童装,100%,4.90757分,15.40%,4.88856分,21.65%,4.90298分,28.26%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妙妙咪咪旗舰店"，"点我对话"),妙妙咪咪旗舰店,妙妙咪咪旗舰店,,,,15375282683,https://shop117056100.taobao.com,99,402,安徽省， 合肥市,童装,100%,4.91339分,20.72%,4.83198分,0.53%,4.83704分,0.57%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao草莓南瓜旗舰店"，"点我对话"),草莓南瓜旗舰店,草莓南瓜旗舰店,,,,18615710622,https://shop107234745.taobao.com,169,2060,四川省， 成都市,童装,100%,4.85759分,0.68%,4.83627分,0%,4.83978分,0.51%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao童话羊童装旗舰店"，"点我对话"),童话羊童装旗舰店,童话羊童装旗舰店,15968284636,,,,https://shop110824756.taobao.com,89,1213,浙江省， 湖州市,童装,100%,4.94374分,48.50%,4.88616分,19.94%,4.89273分,20.66%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乐臣童装专营店"，"点我对话"),乐臣童装专营店,乐臣童装专营店,18964942801,,,,https://shop70203119.taobao.com,300,1380,上海,童装,100%,4.9358分,41.24%,4.89154分,23.73%,4.89591分,23.01%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao孩想买旗舰店"，"点我对话"),孩想买旗舰店,孩想买旗舰店,17729937812,,,,https://shop103361942.taobao.com,99,465,安徽， 宣城,童装,100%,4.931分,36.84%,4.90142分,30.69%,4.90252分,27.92%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao拾贝壳旗舰店"，"点我对话"),拾贝壳旗舰店,拾贝壳旗舰店,,,,13396526795,https://shop127032031.taobao.com,428,7121,浙江省， 杭州市,童装,100%,4.90018分,8.63%,4.88207分,17.07%,4.88809分,17.23%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao铭思恩母婴专营店"，"点我对话"),铭思恩母婴专营店,铭思恩母婴专营店,,,,15088232193,https://shop114509655.taobao.com,275,14653,浙江省， 金华市,童装,100%,4.79596分,1.94%,4.73163分,2.60%,4.7544分,2.27%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao元首赫娅专卖店"，"点我对话"),元首赫娅专卖店,元首赫娅专卖店,,,,15666015141,https://shop109495593.taobao.com,90,291,山东省， 济南市,童装,100%,4.94135分,46.32%,4.92518分,47.38%,4.91001分,33.44%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao邻家小禾旗舰店"，"点我对话"),邻家小禾旗舰店,邻家小禾旗舰店,,,,18123685646,https://shop111528045.taobao.com,12,0,广东， 深圳,童装,100%,4.88034分,0%,4.82906分,0.59%,4.82906分,0.73%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao色彩贝贝旗舰店"，"点我对话"),色彩贝贝旗舰店,色彩贝贝旗舰店,,,,15959998906,https://shop113317243.taobao.com,106,752,福建， 泉州,童装,100%,4.86881分,0%,4.77731分,1.66%,4.79251分,1.49%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博士牛旗舰店"，"点我对话"),博士牛旗舰店,博士牛旗舰店,,,,18906876892,https://shop71599003.taobao.com,284,205,浙江， 温州,童装,100%,4.90772分,15.53%,4.8465分,0%,4.86158分,0%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao优贝宜旗舰店"，"点我对话"),优贝宜旗舰店,优贝宜旗舰店,,,,18959628809,https://shop72103545.taobao.com,1294,114570,福建， 漳州,童装,100%,4.91159分,19.08%,4.87705分,13.54%,4.88365分,13.94%,,,,,,,,,,
26,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao朵拉米拉旗舰店"，"点我对话"),朵拉米拉旗舰店,朵拉米拉旗舰店,,,,13307199776,https://shop68275839.taobao.com,146,62,湖北， 武汉,童装,100%,4.73643分,3.16%,4.62016分,4.89%,4.68734分,3.65%,,,,,,,,,,
27,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojpland童装旗舰店"，"点我对话"),jpland童装旗舰店,jpland童装旗舰店,,,,13770996886,https://shop70526952.taobao.com,66,10694,江苏， 南京,童装,100%,4.90485分,12.91%,4.86543分,5.37%,4.87259分,5.76%,,,,,,,,,,
28,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocamkids垦牧专卖店"，"点我对话"),camkids垦牧专卖店,camkids垦牧专卖店,,,,13074890091,https://shop403124900.taobao.com,146,293,福建省厦门市,童装,100%,4.97363分,75.86%,4.9677分,77.29%,4.96968分,77.58%,,,,,,,,,,
29,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao箱箱子"，"点我对话"),箱箱子,亨利的魔法箱子旗舰店,,,,18929978807,https://shop33921937.taobao.com,48,329,浙江， 湖州,童装,100%,4.87014分,0%,4.82832分,0.61%,4.83199分,0.67%,,,,,,,,,,
30,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妞妞家族旗舰店"，"点我对话"),妞妞家族旗舰店,妞妞家族旗舰店,15857271235,,,15857271235,https://shop106005240.taobao.com,361,22700,浙江省， 湖州市,童装,100%,4.86667分,0%,4.78053分,1.59%,4.79503分,1.43%,,,,,,,,,,
31,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao曼绿朵旗舰店"，"点我对话"),曼绿朵旗舰店,曼绿朵旗舰店,,,,18071738746,https://shop112504624.taobao.com,162,179,湖北， 武汉,童装,100%,4.88128分,0%,4.734分,2.55%,4.7457分,2.45%,,,,,,,,,,
32,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao圣婴房母婴专营店"，"点我对话"),圣婴房母婴专营店,圣婴房母婴专营店,,,,18921385783,https://shop105724129.taobao.com,0,11,江苏， 无锡,童装,100%,4.89758分,6.25%,4.85846分,0%,4.87909分,10.57%,,,,,,,,,,
33,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晶彩衣舍旗舰店"，"点我对话"),晶彩衣舍旗舰店,晶彩衣舍旗舰店,,,,18012736171,https://shop108506026.taobao.com,246,710,江苏， 苏州,童装,100%,4.89371分,2.71%,4.84782分,0%,4.86064分,0%,,,,,,,,,,
