编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao车舞飞扬车品专营店"，"点我对话"),车舞飞扬车品专营店,车舞飞扬车品专营店,,,,13958420466,https://shop70275818.taobao.com,94,167635,浙江， 金华,精华液面部精华,100%,4.87692分,0%,4.82571分,0%,4.82558分,0.51%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao标婷旗舰店"，"点我对话"),标婷旗舰店,标婷旗舰店,62276642,,,13601127070,https://shop101489213.taobao.com,35,71268,北京， 北京市,精华液面部精华,100%,4.9107分,30.76%,4.87342分,27.47%,4.87379分,26.21%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopoko母婴旗舰店"，"点我对话"),poko母婴旗舰店,poko母婴旗舰店,,,,15712944753,https://shop72431644.taobao.com,95,538,北京,精华液面部精华,100%,4.90513分,13.75%,4.87092分,9.99%,4.86936分,4.37%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潮妆旗舰店"，"点我对话"),潮妆旗舰店,潮妆旗舰店,13903046963,,,13903046963,https://shop106356974.taobao.com,15,247,广东， 汕头,精华液面部精华,100%,4.7709分,2.06%,4.75027分,1.56%,4.7633分,1.36%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诚言信车品专营店"，"点我对话"),诚言信车品专营店,诚言信车品专营店,,,,15875507717,https://shop182940353.taobao.com,75,2691,广东省深圳市,精华液面部精华,100%,4.91656分,29.28%,4.86971分,14.47%,4.86231分,7.75%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao北京康馨儿母婴专营店"，"点我对话"),北京康馨儿母婴专营店,北京康馨儿母婴专营店,,,,18500093316,https://shop116988737.taobao.com,121,2193,北京,精华液面部精华,100%,4.91582分,23.47%,4.88816分,22.01%,4.89709分,24.67%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao彩虹盈瑞专卖店"，"点我对话"),彩虹盈瑞专卖店,彩虹盈瑞专卖店,15365904998,,,,https://shop105661243.taobao.com,59,2097,江苏， 南京,精华液面部精华,100%,4.94619分,53.90%,4.90787分,40.39%,4.90485分,36.75%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博尼达化妆品专营店"，"点我对话"),博尼达化妆品专营店,博尼达化妆品专营店,18500285247,,,,https://shop104977507.taobao.com,276,12335,北京， 北京市,精华液面部精华,100%,4.86553分,0%,4.80561分,0%,4.81163分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao珍丽莱旗舰店"，"点我对话"),珍丽莱旗舰店,珍丽莱旗舰店,18573105261,,,,https://shop106104948.taobao.com,31,2320,湖南， 长沙,精华液面部精华,100%,4.91474分,33.89%,4.84311分,10.10%,4.84787分,11.05%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冰芝兰旗舰店"，"点我对话"),冰芝兰旗舰店,冰芝兰旗舰店,13560193982,,,,https://shop72406301.taobao.com,10,1044,四川， 成都,精华液面部精华,100%,4.94432分,56.82%,4.90714分,46.79%,4.91442分,49.97%,,,,,,,,,,
