编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao或或或或或或"，"点我对话"),或或或或或或,古或旗舰店,,,,15106337883,https://shop349199040.taobao.com,583,1701,山东省日照市,纸尿裤,100%,4.81699分,1.15%,4.74426分,1.80%,4.75037分,1.85%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芭伦斯旗舰店"，"点我对话"),芭伦斯旗舰店,芭伦斯旗舰店,,,,13153132630,https://shop351570274.taobao.com,54,1715,山东省济南市,纸尿裤,高腰款,4.99109分,92.99%,4.98278分,89.80%,4.98495分,90.59%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丈歌旗舰店"，"点我对话"),丈歌旗舰店,丈歌旗舰店,,,,15057756737,https://shop110274989.taobao.com,16,1147,福建省， 泉州市,纸尿裤,韩版,4.91502分,33.09%,4.86547分,20.29%,4.8629分,14.30%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔚派旗舰店"，"点我对话"),蔚派旗舰店,蔚派旗舰店,,,,18160993267,https://shop369724789.taobao.com,2923,154,福建省泉州市,纸尿裤,100%,4.78849分,1.73%,4.65755分,3.59%,4.70647分,2.76%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尊笛旗舰店"，"点我对话"),尊笛旗舰店,尊笛旗舰店,,,,15171758770,https://shop390463215.taobao.com,1910,340,湖北省宜昌市,纸尿裤,100%,4.79785分,1.54%,4.75526分,1.57%,4.76556分,1.54%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao阿布狗旗舰店"，"点我对话"),阿布狗旗舰店,阿布狗旗舰店,,,,18137113935,https://shop110525894.taobao.com,28,54,河南省， 郑州市,纸尿裤,100%,4.92717分,33.54%,4.88263分,17.28%,4.87969分,10.32%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao舒米优旗舰店"，"点我对话"),舒米优旗舰店,舒米优旗舰店,,,,18011602921,https://shop108491108.taobao.com,165,1096,北京， 北京市,纸尿裤,100%,4.86326分,0%,4.83809分,4.07%,4.8406分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao弋诗索曼旗舰店"，"点我对话"),弋诗索曼旗舰店,弋诗索曼旗舰店,,,,18757584444,https://shop62624584.taobao.com,34,3918,浙江， 杭州,纸尿裤,100%,4.83944分,0.69%,4.79538分,0.74%,4.82613分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao烤乐仕旗舰店"，"点我对话"),烤乐仕旗舰店,烤乐仕旗舰店,,,,13524802855,https://shop111080521.taobao.com,156,120516,上海， 上海市,纸尿裤,烘焙用具,4.92962分,40.10%,4.88624分,26.17%,4.88318分,21.41%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao以婕旗舰店"，"点我对话"),以婕旗舰店,以婕旗舰店,,,,17857972097,https://shop582603829.taobao.com,19,2325,浙江， 金华,纸尿裤,高腰款,4.8299分,0.88%,4.80227分,0.60%,4.80918分,0.64%,,,,,,,,,,
