编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao周小沫happy"，"点我对话"),周小沫happy,FACE 2 FACE原创潮品,,,,17356342535,https://shop105593176.taobao.com,55,505,安徽省宣城市,线衣男,我的衣橱,4.9526分,76.94%,4.95351分,71.84%,4.9371分,60.45%,,,,,,,,,,
2,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao许辅科"，"点我对话"),许辅科,精品外贸原单鞋店,,,,13686123993,https://shop222075335.taobao.com,43,616,广东省东莞市,线衣男,头层牛皮鞋,4.79732分,1.39%,4.83592分,0.62%,4.84084分,0.10%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao零时差居家日用专卖店"，"点我对话"),零时差居家日用专卖店,零时差居家日用专卖店,,,,15919845334,https://shop108465469.taobao.com,11,435,广东省， 深圳市,线衣男,大号雨伞,4.91334分,26.21%,4.91408分,44.25%,4.91483分,42.76%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao技普旗舰店"，"点我对话"),技普旗舰店,技普旗舰店,13760476154,,,15219485573,https://shop117728862.taobao.com,12,1,广东， 深圳,线衣男,100%,4.99589分,96.40%,4.99178分,94.74%,4.99087分,93.96%,,,,,,,,,,
5,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华中体育器材商城"，"点我对话"),华中体育器材商城,华中体育器材商城,,,13006163265,,https://shop59834458.taobao.com,8,0,湖北省武汉市,线衣男,99.1%,,,,,,,,,,,,,,,,
6,,三金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao旋律风车"，"点我对话"),旋律风车,旋律风车潮流男装,15167168916,18969120363,15167168916,,https://shop58858617.taobao.com,655,38307,浙江省杭州市,线衣男,简约风,4.75049分,-0.92%,4.79346分,-0.86%,4.77919分,-1.28%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao竹丽雅旗舰店"，"点我对话"),竹丽雅旗舰店,竹丽雅旗舰店,,,,15589309720,https://shop106864227.taobao.com,9,30,山东， 淄博,线衣男,100%,4.9527分,62.74%,4.87838分,27.93%,4.88514分,28.21%,,,,,,,,,,
8,,三心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb274956112"，"点我对话"),tb274956112,雪莉衣橱,,,,13257312975,https://shop340565330.taobao.com,57,1,湖南省长沙市,线衣男,100%,4.95455分,77.89%,4.95455分,72.47%,4.90909分,42.83%,,,,,,,,,,
9,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao难忘的杰"，"点我对话"),难忘的杰,瑞杰布鞋店,13935975437,0359-8678248,,0359-8678248,https://shop36510847.taobao.com,76,8,山西省运城市,线衣男,99.1%,4.74359分,-1.06%,4.71795分,-2.42%,4.79487分,-0.95%,,,,,,,,,,
10,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao白杨美术设计"，"点我对话"),白杨美术设计,白杨摄影 有我更精彩 商品拍摄 美食拍摄 服装静物拍摄,,,18701565971,18701565971,https://shop36657997.taobao.com,12,14,北京市,线衣男,99.9%,4.5,-6.97%,4.5,-7.50%,4.5分,-7.54%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao文翔户外专营店"，"点我对话"),文翔户外专营店,文翔户外专营店,,,,400-6237600,https://shop60174190.taobao.com,343,400,浙江省， 金华市,线衣男,简约风,4.93091分,36.96%,4.87分,6.65%,4.86909分,3.74%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao康盾男鞋旗舰店"，"点我对话"),康盾男鞋旗舰店,康盾男鞋旗舰店,,,,18058373295,https://shop101371415.taobao.com,32,80,浙江省， 温州市,线衣男,小众品牌,4.93346分,47.58%,4.91867分,51.81%,4.92791分,54.94%,,,,,,,,,,
13,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohuiwang007"，"点我对话"),huiwang007,鞍卓宜苏众家居馆,,025-66652665,18761820600,18761820600,https://shop62408789.taobao.com,85,59,江苏省南京市,线衣男,99.1%,4.71429分,-2.04%,4.78571分,-1.20%,4.82143分,-0.55%,,,,,,,,,,
14,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天外飞鞋1983"，"点我对话"),天外飞鞋1983,◆新潮八街◆,,,,15800961835,https://shop35691380.taobao.com,255,0,上海市,线衣男,98.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoaumu鞋类旗舰店"，"点我对话"),aumu鞋类旗舰店,aumu鞋类旗舰店,4001506668,,,400-1506-668,https://shop102841352.taobao.com,316,799,福建， 莆田,线衣男,都市轻运动,4.89919分,20.58%,4.88629分,32.62%,4.90088分,38.05%,,,,,,,,,,
16,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao毛丫头小铺"，"点我对话"),毛丫头小铺,何金昌增高鞋直销专店,,15200697646,,15200697646,https://shop102377641.taobao.com,3,0,湖南省常德市,线衣男,100%,,,,,,,,,,,,,,,,
17,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菁婴汇"，"点我对话"),菁婴汇,菁婴汇,,,18851517576,18851517576,https://shop.taobao.com,27,66,江苏省无锡市,线衣男,99%,4.40741,-8.41%,4.44444,-8.25%,4.7037分,-3.06%,,,,,,,,,,
18,,四心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb027249008"，"点我对话"),tb027249008,ATOZZY,,,,13034212767,https://shop433982707.taobao.com,20,3,浙江省杭州市,线衣男,我的衣橱,4.98551分,92.95%,4.98551分,91.22%,4.98551分,90.89%,,,,,,,,,,
19,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogdcr情趣商城"，"点我对话"),gdcr情趣商城,器具大师正品店      15年实体批发诚信经营,,020-23357432,18026245389,18026245389,https://shop.taobao.com,122,190,广东省广州市,线衣男,98.4%,4.54406,-6.06%,4.6954,-3.49%,4.62261分,-5.03%,,,,,,,,,,
20,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao四叶草、水"，"点我对话"),四叶草、水,南杉服饰,,,,15532238760,https://shop140215351.taobao.com,11,98,河北省保定市,线衣男,97.6%,4.61039分,-3.84%,4.58442分,-5.18%,4.68831分,-3.15%,,,,,,,,,,
21,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaorosecosplay888"，"点我对话"),rosecosplay888,Rose动漫阁,,,15527618663,15527618663,https://shop63663697.taobao.com,30,10,湖北省武汉市,线衣男,99.8%,4.93333分,52.98%,4.96667分,71.51%,5.0分,100.00%,,,,,,,,,,
