编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao素奴旗舰店"，"点我对话"),素奴旗舰店,素奴旗舰店,,,,13852147545,https://shop283299447.taobao.com,5474,5368,,隐形船袜,100%,4.81211分,1.23%,4.7335分,1.97%,4.74868分,1.81%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao婧麒旗舰店"，"点我对话"),婧麒旗舰店,婧麒旗舰店,,,,13870084130,https://shop69011572.taobao.com,309,161928,江西， 南昌,隐形船袜,100%,4.94548分,51.40%,4.94121分,59.86%,4.94417分,60.14%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao基地家居旗舰店"，"点我对话"),基地家居旗舰店,基地家居旗舰店,020-89308968,,,,https://shop115465136.taobao.com,325,42612,广东省， 广州市,隐形船袜,100%,4.91349分,26.18%,4.86797分,15.24%,4.86894分,14.04%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao魔浪数码旗舰店"，"点我对话"),魔浪数码旗舰店,魔浪数码旗舰店,null,,,,https://shop110047041.taobao.com,7,7577,广东省， 深圳市,隐形船袜,100%,4.96455分,68.92%,4.96355分,77.09%,4.95989分,74.55%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao奇遇母婴专营店"，"点我对话"),奇遇母婴专营店,奇遇母婴专营店,13755672698,,,,https://shop100326463.taobao.com,53,2791,江西省， 南昌市,隐形船袜,100%,4.96954分,72.86%,4.96618分,76.92%,4.96816分,77.28%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao极盛数码专营店"，"点我对话"),极盛数码专营店,极盛数码专营店,,,,13866767446,https://shop118340264.taobao.com,58,2259,安徽省， 合肥市,隐形船袜,100%,4.88362分,0%,4.83601分,0%,4.83882分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoepf旗舰店"，"点我对话"),epf旗舰店,epf旗舰店,,,,18662772266,https://shop112169145.taobao.com,15,2278,浙江省， 杭州市,隐形船袜,100%,4.81495分,1.17%,4.82039分,0%,4.8448分,5.11%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao全红车品专营店"，"点我对话"),全红车品专营店,全红车品专营店,,,,13632380358,https://shop111866958.taobao.com,706,6512,广东省， 广州市,隐形船袜,100%,4.82193分,1.19%,4.76956分,1.54%,4.79264分,1.09%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao慧诚雅吉服饰专营店"，"点我对话"),慧诚雅吉服饰专营店,慧诚雅吉服饰专营店,,,,13681380430,https://shop108637170.taobao.com,111,12159,北京， 北京市,隐形船袜,100%,4.92291分,39.79%,4.85876分,17.47%,4.86088分,14.94%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冠汝电器专营店"，"点我对话"),冠汝电器专营店,冠汝电器专营店,,,,13332855995,https://shop110574486.taobao.com,13,1405,广东省， 佛山市,隐形船袜,100%,4.95818分,63.33%,4.94389分,64.73%,4.94996分,68.25%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱帕雅旗舰店"，"点我对话"),爱帕雅旗舰店,爱帕雅旗舰店,,,,15858708655,https://shop127255013.taobao.com,155,4256,浙江省， 杭州市,隐形船袜,100%,4.80354分,1.40%,4.71353分,2.39%,4.7435分,1.92%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安妮黛儿旗舰店"，"点我对话"),安妮黛儿旗舰店,安妮黛儿旗舰店,,,,020-36713838,https://shop57579451.taobao.com,40,2485,广东， 广州,隐形船袜,100%,4.88675分,11.59%,4.87973分,29.75%,4.89169分,33.82%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao莱美运动专营店"，"点我对话"),莱美运动专营店,莱美运动专营店,,,,18030659363,https://shop62563004.taobao.com,125,1313,四川， 成都,隐形船袜,100%,4.91127分,24.96%,4.881分,23.99%,4.875分,18.03%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佳运来旗舰店"，"点我对话"),佳运来旗舰店,佳运来旗舰店,15363431336,,,0757-85608979,https://shop111046919.taobao.com,86,14318,广东省， 佛山市,隐形船袜,100%,4.94373分,51.98%,4.91247分,43.81%,4.90894分,40.28%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao竹鼎馨家居专营店"，"点我对话"),竹鼎馨家居专营店,竹鼎馨家居专营店,,,,13685061500,https://shop67169688.taobao.com,60,3952,福建， 宁德,隐形船袜,100%,4.91581分,28.16%,4.86692分,14.57%,4.87222分,16.19%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofabitoo旗舰店"，"点我对话"),fabitoo旗舰店,fabitoo旗舰店,,,,13798816568,https://shop100763328.taobao.com,84,4910,广东， 东莞,隐形船袜,100%,4.98157分,83.84%,4.96437分,77.61%,4.96669分,78.86%,,,,,,,,,,
27,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao南极人易淘专卖店"，"点我对话"),南极人易淘专卖店,南极人易淘专卖店,,,,18252330650,https://shop71248231.taobao.com,451,78986,江苏， 淮安,隐形船袜,100%,4.85555分,0%,4.81812分,0%,4.83652分,0%,,,,,,,,,,
28,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赛诺斯旗舰店"，"点我对话"),赛诺斯旗舰店,赛诺斯旗舰店,4006016848,,,,https://shop100532487.taobao.com,45,1330,上海,隐形船袜,,4.94383分,44.69%,4.89691分,23.23%,4.90432分,29.65%,,,,,,,,,,
29,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao迪尔乐斯旗舰店"，"点我对话"),迪尔乐斯旗舰店,迪尔乐斯旗舰店,17327688639,,,,https://shop112039592.taobao.com,31,24458,浙江温州,隐形船袜,,4.89219分,3.94%,4.85842分,3.38%,4.85703分,0%,,,,,,,,,,
30,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofme旗舰店"，"点我对话"),fme旗舰店,fme旗舰店,4009671005,,,,https://shop114828269.taobao.com,120,1891,江苏省南京市,隐形船袜,,4.90707分,27.46%,4.88967分,35.56%,4.88967分,32.59%,,,,,,,,,,
32,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofakeface旗舰店"，"点我对话"),fakeface旗舰店,fakeface旗舰店,18900807108,,,,https://shop105390167.taobao.com,37,110048,浙江省金华市,隐形船袜,100.00%,4.89406分,17.47%,4.85136分,14.87%,4.85066分,13.10%,,,,,,,,,,
33,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金泰康旗舰店"，"点我对话"),金泰康旗舰店,金泰康旗舰店,4000808398,,,,https://shop105412024.taobao.com,41,87894,广东广州,隐形船袜,100.00%,4.91268分,25.49%,4.86518分,13.45%,4.86539分,11.75%,,,,,,,,,,
35,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝印化妆品专营店"，"点我对话"),蓝印化妆品专营店,蓝印化妆品专营店,027-84696209,027-84696209,,,https://shop106739458.taobao.com/,53,2626,湖北省宜昌市,隐形船袜,100.00%,4.83959分,0.66%,4.81142分,0%,4.82175分,0%,,,,,,,,,,
36,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyouhoo旗舰店"，"点我对话"),youhoo旗舰店,youhoo旗舰店,13386395805,13386395805,,,https://shop163565762.taobao.com/,54,11110,山东青岛,隐形船袜,100.00%,4.89465分,0%,4.89868分,21.80%,4.91053分,29.07%,,,,,,,,,,
38,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaothefirstoutdoor旗舰"，"点我对话"),thefirstoutdoor旗舰,thefirstoutdoor旗舰,4000981698,4000981698,,,https://shop70198810.taobao.com/,330,2950,浙江杭州,隐形船袜,100.00%,4.90564分,20.18%,4.89288分,31.57%,4.89918分,33.87%,,,,,,,,,,
43,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao沃迅家居专营店"，"点我对话"),沃迅家居专营店,沃迅家居专营店,0571-28982938,0571-28982938,,,https://shop63362254.taobao.com/,81,48396,浙江杭州,隐形船袜,,4.92322分,34.48%,4.87868分,22.12%,4.86845分,13.72%,,,,,,,,,,
44,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao潜水艇贵康专卖店"，"点我对话"),潜水艇贵康专卖店,潜水艇贵康专卖店,15811815805,15811815805,,,https://shop105432714.taobao.com/,208,1792,广东深圳,隐形船袜,,4.89431分,0%,4.85753分,0%,4.85617分,0%,,,,,,,,,,
45,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojpai旗舰店"，"点我对话"),jpai旗舰店,jpai旗舰店,4000882553,4000882553,4000882553,,https://shop103501682.taobao.com/,237,3727,浙江温州,隐形船袜,,4.89051分,14.53%,4.87683分,28.06%,4.88987分,32.71%,,,,,,,,,,
46,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoeuisvi旗舰店"，"点我对话"),euisvi旗舰店,euisvi旗舰店,0575-87079760,0575-87079760,,,https://shop111346273.taobao.com/,160,22703,浙江绍兴,隐形船袜,,4.81789分,1.11%,4.75121分,1.61%,4.76279分,1.52%,,,,,,,,,,
51,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao火狐狸户外专营店"，"点我对话"),火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,576,3877,浙江金华,隐形船袜,,4.91734分,30.10%,4.88314分,25.35%,4.8879分,26.49%,,,,,,,,,,
55,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淘韵母婴专营店"，"点我对话"),淘韵母婴专营店,淘韵母婴专营店,18900000000,18900000000,18900000000,,https://shop108134320.taobao.com/,51,16880,广东广州,隐形船袜,,4.90659分,16.77%,4.89175分,26.13%,4.89105分,22.26%,,,,,,,,,,
56,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao样样q旗舰店"，"点我对话"),样样q旗舰店,样样q旗舰店,0550-3060601,0550-3060601,,,https://shop112186844.taobao.com/,127,23831,滁州市,隐形船袜,,4.88389分,0.92%,4.82153分,0%,4.81996分,0.57%,,,,,,,,,,
58,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星际佳宸母婴专营店"，"点我对话"),星际佳宸母婴专营店,星际佳宸母婴专营店,0769-23033996,0769-23033996,,,https://shop72467039.taobao.com/,152,3013,北京,隐形船袜,100.00%,4.90408分,14.53%,4.86996分,11.26%,4.86974分,7.06%,,,,,,,,,,
61,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乔菲服饰专营店"，"点我对话"),乔菲服饰专营店,乔菲服饰专营店,17394623837,17394623837,17394623837,,https://shop113647414.taobao.com/,81,3136,上海,隐形船袜,100.00%,4.86797分,0%,4.83545分,3.89%,4.85029分,8.52%,,,,,,,,,,
62,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao都市飞狐户外旗舰店"，"点我对话"),都市飞狐户外旗舰店,都市飞狐户外旗舰店,4006188638,4006188638,,,https://shop72879526.taobao.com/,187,95596,江苏南京,隐形船袜,,4.90999分,23.86%,4.85802分,9.30%,4.85725分,6.36%,,,,,,,,,,
63,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokissbobo旗舰店"，"点我对话"),kissbobo旗舰店,kissbobo旗舰店,020-32382312,020-32382312,,,https://shop105666127.taobao.com/,70,4776,广东省广州市,隐形船袜,,4.84918分,0%,4.87434分,26.57%,4.89411分,35.26%,,,,,,,,,,
64,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao菲己旗舰店"，"点我对话"),菲己旗舰店,菲己旗舰店,13860487530,13860487530,,,https://shop101990483.taobao.com/,64,8748,湖州市,隐形船袜,100.00%,4.93482分,44.86%,4.91486分,45.61%,4.9089分,40.24%,,,,,,,,,,
66,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾米达旗舰店"，"点我对话"),艾米达旗舰店,艾米达旗舰店,020-66348862,020-66348862,,,https://shop63716578.taobao.com/,34,10096,广东广州,隐形船袜,,4.92503分,36.60%,4.90394分,38.64%,4.9079分,39.60%,,,,,,,,,,
68,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao奢慕保健品专营店"，"点我对话"),奢慕保健品专营店,奢慕保健品专营店,0573-82788016,0573-82788016,,,https://shop151736144.taobao.com/,354,16278,浙江嘉兴,隐形船袜,,4.90256分,17.33%,4.83098分,0.87%,4.83215分,0.92%,,,,,,,,,,
69,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao洲克运动专营店"，"点我对话"),洲克运动专营店,洲克运动专营店,22619169,22619169,,,https://shop63526548.taobao.com/,228,4564,福建泉州,隐形船袜,,4.95935分,65.61%,4.93279分,57.06%,4.93611分,58.09%,,,,,,,,,,
70,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卓希运动专营店"，"点我对话"),卓希运动专营店,卓希运动专营店,025-85565137,025-85565137,025-85565137,,https://shop59983045.taobao.com/,839,51407,江苏南京,隐形船袜,,4.87523分,0%,4.84834分,3.11%,4.85086分,2.17%,,,,,,,,,,
