编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱购"，"点我对话"),爱购,爱购食品专营店,,,,18659808200,https://shop114142160.taobao.com,12,1795,福建省， 泉州市,袋装咖啡,100%,4.84289分,8.52%,4.814分,5.98%,4.82393分,8.84%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao森瑞食品专营店"，"点我对话"),森瑞食品专营店,森瑞食品专营店,,,,13798935434,https://shop116796319.taobao.com,50,6959,广东， 东莞,袋装咖啡,中老年奶粉,4.91263分,49.13%,4.8588分,28.63%,4.85321分,24.00%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao晓飞歌旗舰店"，"点我对话"),晓飞歌旗舰店,晓飞歌旗舰店,,,,13477536755,https://shop577116547.taobao.com,18,3072,湖北省江汉市,袋装咖啡,100%,4.8672分,22.67%,4.84475分,21.52%,4.8474分,20.99%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao山茶说旗舰店"，"点我对话"),山茶说旗舰店,山茶说旗舰店,,,,15859990733,https://shop390345343.taobao.com,41,84,福建省南平市,袋装咖啡,100%,4.96759分,81.13%,4.98611分,92.98%,4.98148分,90.41%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao好欢螺旗舰店"，"点我对话"),好欢螺旗舰店,好欢螺旗舰店,,,,18867008722,https://shop185329282.taobao.com,28,195070,广西， 柳州,袋装咖啡,行业优质,4.91966分,53.22%,4.89996分,49.43%,4.88623分,41.09%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao品魁食品专营店"，"点我对话"),品魁食品专营店,品魁食品专营店,,,,15915829987,https://shop157050904.taobao.com,431,25429,广东省广州市,袋装咖啡,日本零食,4.85776分,17.22%,4.82438分,11.25%,4.81912分,6.36%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao江南艺苑旗舰店"，"点我对话"),江南艺苑旗舰店,江南艺苑旗舰店,,,,13916460088,https://shop59566123.taobao.com,129,413,上海,袋装咖啡,100%,4.73765分,3.33%,4.6644分,4.25%,4.69676分,3.62%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杰夫驰服饰旗舰店"，"点我对话"),杰夫驰服饰旗舰店,杰夫驰服饰旗舰店,,,,18672846586,https://shop231352866.taobao.com,161,26,湖北省江汉市,袋装咖啡,100%,4.98133分,85.31%,4.96265分,77.87%,4.97012分,81.31%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao麦柯家居旗舰店"，"点我对话"),麦柯家居旗舰店,麦柯家居旗舰店,,,,13710940829,https://shop114909639.taobao.com,166,114,广东省， 佛山市,袋装咖啡,100%,4.98195分,81.81%,4.98556分,88.77%,4.97473分,80.11%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦比园食品专营店"，"点我对话"),梦比园食品专营店,梦比园食品专营店,,,,13916616809,https://shop106263801.taobao.com,28,84,上海， 上海市,袋装咖啡,小众品牌,4.87222分,25.60%,4.87222分,35.41%,4.88889分,42.47%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao巨龙食品专营店"，"点我对话"),巨龙食品专营店,巨龙食品专营店,4009999780,,,18384170652,https://shop110105681.taobao.com,41,12321,四川省， 成都市,袋装咖啡,100%,4.89042分,0%,4.86328分,3.60%,4.86069分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao剑林灏峰专卖店"，"点我对话"),剑林灏峰专卖店,剑林灏峰专卖店,,,,18607412578,https://shop156531559.taobao.com,247,902,湖南省株洲市,袋装咖啡,收纳美学馆,4.94539分,53.53%,4.94013分,61.13%,4.94079分,60.14%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao懒咖旗舰店"，"点我对话"),懒咖旗舰店,懒咖旗舰店,,,,18666195266,https://shop240365221.taobao.com,40,1054,广东省中山市,袋装咖啡,咖啡黑科技,4.94402分,50.94%,4.93695分,59.54%,4.94991分,66.76%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao君山茶叶旗舰店"，"点我对话"),君山茶叶旗舰店,君山茶叶旗舰店,,,,13873086008,https://shop105645281.taobao.com,31,262,湖南， 长沙,袋装咖啡,小众品牌,4.84181分,7.89%,4.87147分,35.03%,4.87571分,35.65%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红火枫户外专营店"，"点我对话"),红火枫户外专营店,红火枫户外专营店,18968060056,,,18968060056,https://shop63226286.taobao.com,474,1998,浙江， 金华,袋装咖啡,旅行,4.91027分,25.19%,4.8824分,24.87%,4.87152分,14.74%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao慈蜂堂官方旗舰店"，"点我对话"),慈蜂堂官方旗舰店,慈蜂堂官方旗舰店,,,,18245336900,https://shop63082412.taobao.com,55,2225,黑龙江， 牡丹江,袋装咖啡,经典老店,4.9477分,69.56%,4.92042分,59.79%,4.90631分,51.50%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧德尼旗舰店"，"点我对话"),欧德尼旗舰店,欧德尼旗舰店,,,,18810566266,https://shop389401021.taobao.com,196,107,北京市,袋装咖啡,100%,4.85806分,0%,4.79355分,0.78%,4.8371分,0%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博姿恋旗舰店"，"点我对话"),博姿恋旗舰店,博姿恋旗舰店,,,,18627939976,https://shop333849313.taobao.com,88,274,湖北省武汉市,袋装咖啡,100%,4.99297分,94.47%,4.97703分,86.39%,4.98078分,87.98%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao永信食品旗舰店"，"点我对话"),永信食品旗舰店,永信食品旗舰店,,,,15060003022,https://shop145509974.taobao.com,10,409,湖北省， 黄冈市,袋装咖啡,100%,4.93374分,61.42%,4.90139分,50.15%,4.89214分,44.15%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao拓马印象旗舰店"，"点我对话"),拓马印象旗舰店,拓马印象旗舰店,,,,15902140214,https://shop105899978.taobao.com,53,329,上海， 上海市,袋装咖啡,100%,4.94622分,45.81%,4.92878分,44.60%,4.90698分,26.78%,,,,,,,,,,
