编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,达派箱包旗舰店,达派箱包旗舰店,0595-36729872,,,,https://shop57505380.taobao.com,,,福建泉州,运动裤 女,,4.94,58.93%,4.9,44.11%,4.89,33.91%,,,,,,,,,,
2,,天猫,点我对话,汉客旗舰店,汉客旗舰店,020-36276236,,,,https://shop61672715.taobao.com,,,广东广州,运动裤 女,,4.88,13.23%,4.87,28.19%,4.86,21.50%,,,,,,,,,,
3,,天猫,点我对话,尊象旗舰店,尊象旗舰店,13868966208,,,,https://shop106083832.taobao.com,,,浙江省温州市,运动裤 女,100.00%,4.76,-2.25%,4.72,-2.15%,4.76,-1.40%,,,,,,,,,,
4,,天猫,点我对话,韩衣朵朵旗舰店,韩衣朵朵旗舰店,18065361913,18065361913,,,https://shop68880641.taobao.com/,,,福建泉州,运动裤 女,100.00%,4.93,44.68%,4.91,47.99%,4.9,44.61%,,,,,,,,,,
5,,天猫,点我对话,艾思黛梦旗舰店,艾思黛梦旗舰店,,13116812212,,,https://shop110733960.taobao.com/,,,浙江省 嘉兴市,运动裤 女,,4.9,78.22%,4.9,86.35%,4.9,82.77%,,,,,,,,,,
6,,天猫,点我对话,乐泳运动户外专营店,乐泳运动户外专营店,13681844266,13681844266,,,https://shop106876964.taobao.com/,,,上海,运动裤 女,,4.91,34.29%,4.88,29.44%,4.89,35.31%,,,,,,,,,,
7,,天猫,点我对话,希乐数码专营店,希乐数码专营店,15380994963,15380994963,,,https://shop66172729.taobao.com/,,,江苏南京,运动裤 女,100.00%,4.92,31.96%,4.88,25.60%,4.87,21.60%,,,,,,,,,,
8,,天猫,点我对话,木木网游数字点卡,木木网游数字点卡,0551-65583732,0551-65583732,,,https://shop112162758.taobao.com/,,,安徽合肥,运动裤 女,,4.95,0.00%,4.91,11.21%,4.91,7.89%,,,,,,,,,,
9,,天猫,点我对话,嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,,,北京,运动裤 女,100.00%,4.89,11.71%,4.82,1.39%,4.82,0.00%,,,,,,,,,,
10,,天猫,点我对话,火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,,,浙江金华,运动裤 女,,4.9,23.18%,4.87,21.46%,4.87,24.21%,,,,,,,,,,
11,,天猫,点我对话,济南惠好大药房旗舰店,济南惠好大药房旗舰店,0531-87203277,0531-87203277,,,https://shop570714392.taobao.com/,,,山东济南,运动裤 女,100.00%,4.79,-2.28%,4.74,-2.56%,4.76,-2.25%,,,,,,,,,,
12,,天猫,点我对话,乔菲服饰专营店,乔菲服饰专营店,17394623837,17394623837,17394623837,,https://shop113647414.taobao.com/,,,上海,运动裤 女,100.00%,4.81,-1.06%,4.79,-0.68%,4.8,-0.50%,,,,,,,,,,
