编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao法普拉旗舰店"，"点我对话"),法普拉旗舰店,法普拉旗舰店,13128971660,,,,https://shop111216725.taobao.com,53,10790,广东深圳,避孕套,,4.93326分,0%,4.91822分,0%,4.89945分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉客旗舰店"，"点我对话"),汉客旗舰店,汉客旗舰店,020-36276236,,,,https://shop61672715.taobao.com,47,16637,广东广州,避孕套,,4.8924分,0%,4.87851分,0%,4.87241分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尊象旗舰店"，"点我对话"),尊象旗舰店,尊象旗舰店,13868966208,,,,https://shop106083832.taobao.com,72,216,浙江省温州市,避孕套,100.00%,4.752分,0%,4.704分,0%,4.72914分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娅色旗舰店"，"点我对话"),娅色旗舰店,娅色旗舰店,18932444896,18932444896,,,https://shop103390678.taobao.com/,114,346,广东省广州市,避孕套,100.00%,4.92427分,0%,4.86075分,0%,4.87684分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天一图书专营店"，"点我对话"),天一图书专营店,天一图书专营店,0371-66683897,0371-66683897,,,https://shop60378475.taobao.com/,529,23226,河南郑州,避孕套,100.00%,4.89028分,0%,4.84833分,0%,4.84676分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩衣朵朵旗舰店"，"点我对话"),韩衣朵朵旗舰店,韩衣朵朵旗舰店,18065361913,18065361913,,,https://shop68880641.taobao.com/,334,2275,福建泉州,避孕套,100.00%,4.92243分,0%,4.899分,0%,4.8933分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉博华化妆品专营店"，"点我对话"),嘉博华化妆品专营店,嘉博华化妆品专营店,18652210207,18652210207,,,https://shop62000278.taobao.com/,160,1072,北京,避孕套,100.00%,4.88585分,0%,4.8154分,0%,4.8124分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao郡尔汽车用品专营店"，"点我对话"),郡尔汽车用品专营店,郡尔汽车用品专营店,,13764434022,,,https://shop110281173.taobao.com/,95,1083,上海,避孕套,,4.89721分,0%,4.87669分,0%,4.87011分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao福容旗舰店"，"点我对话"),福容旗舰店,福容旗舰店,0592-5616099,0592-5616099,,,https://shop103569156.taobao.com/,79,3890,广东广州,避孕套,,4.90025分,0%,4.85076分,0%,4.8443分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao火狐狸户外专营店"，"点我对话"),火狐狸户外专营店,火狐狸户外专营店,13777912499,13777912499,,,https://shop65509306.taobao.com/,578,3734,浙江金华,避孕套,,4.91389分,0%,4.87885分,0%,4.88197分,0%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao济南惠好大药房旗舰店"，"点我对话"),济南惠好大药房旗舰店,济南惠好大药房旗舰店,0531-87203277,0531-87203277,,,https://shop570714392.taobao.com/,669,886,山东济南,避孕套,100.00%,4.78574分,0%,4.73551分,0%,4.7617分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao南开五金专营店"，"点我对话"),南开五金专营店,南开五金专营店,,024-23324994,,,https://shop103568609.taobao.com/,447,4978,辽宁沈阳,避孕套,100.00%,4.8547分,0%,4.81068分,0%,4.81784分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqpc旗舰店"，"点我对话"),qpc旗舰店,qpc旗舰店,15559194813,15559194813,,,https://shop114275082.taobao.com/,128,878,福建泉州,避孕套,,4.95712分,0%,4.93027分,0%,4.92541分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao牛言非羽旗舰店"，"点我对话"),牛言非羽旗舰店,牛言非羽旗舰店,020-32891899,020-32891899,,,https://shop110993852.taobao.com/,459,427,广东省广州市,避孕套,100.00%,4.93643分,0%,4.90402分,0%,4.90598分,0%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao小排靓旗舰店"，"点我对话"),小排靓旗舰店,小排靓旗舰店,15268426258,15268426258,,,https://shop105948372.taobao.com/,494,22616,浙江省嘉兴市,避孕套,100.00%,4.92236分,0%,4.90192分,0%,4.90778分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao时点伴旗舰店"，"点我对话"),时点伴旗舰店,时点伴旗舰店,0595-82888080,0595-82888080,,,https://shop189897152.taobao.com/,56,329,福建泉州,避孕套,,4.95757分,0%,4.93105分,0%,4.93202分,0%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao古驭旗舰店"，"点我对话"),古驭旗舰店,古驭旗舰店,020-34724239,020-34724239,,,https://shop114270984.taobao.com/,395,2777,广东广州,避孕套,,4.94086分,0%,4.92608分,0%,4.93347分,0%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao千山岗旗舰店"，"点我对话"),千山岗旗舰店,千山岗旗舰店,18607137963,18607137963,,,https://shop114598991.taobao.com/,359,377,广东广州,避孕套,100.00%,4.96141分,0%,4.92584分,0%,4.92491分,0%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofakeface旗舰店"，"点我对话"),fakeface旗舰店,fakeface旗舰店,18900807108,,,,https://shop105390167.taobao.com,36,118312,浙江省金华市,避孕套,100.00%,4.89456分,0%,4.85213分,0%,4.85171分,0%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoforsislleos花斯豹旗舰店"，"点我对话"),forsislleos花斯豹旗舰店,forsislleos花斯豹旗舰店,13506648018,,,,https://shop109122421.taobao.com,39,1021,广东广州,避孕套,100.00%,4.90881分,0%,4.88582分,0%,4.88756分,0%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao松桂坊舌尖旅行专卖店"，"点我对话"),松桂坊舌尖旅行专卖店,松桂坊舌尖旅行专卖店,15388984901,15388984901,,,https://shop114141120.taobao.com/,63,1550,湖南省长沙市,避孕套,,4.90564分,0%,4.86867分,0%,4.87275分,0%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaothefirstoutdoor旗舰"，"点我对话"),thefirstoutdoor旗舰,thefirstoutdoor旗舰,4000981698,4000981698,,,https://shop70198810.taobao.com/,323,3376,浙江杭州,避孕套,100.00%,4.9085分,0%,4.8968分,0%,4.89634分,0%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao江帆泽化妆品专营店"，"点我对话"),江帆泽化妆品专营店,江帆泽化妆品专营店,18003839985,18003839985,,,https://shop106357917.taobao.com/,8,43,北京,避孕套,,4.86981分,0%,4.79858分,0%,4.80695分,0%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaogoldenkey金钥匙旗舰店"，"点我对话"),goldenkey金钥匙旗舰店,goldenkey金钥匙旗舰店,,4001131415,,,https://shop101978509.taobao.com/,66,3308,广东潮州,避孕套,100.00%,4.8639分,0%,4.80405分,0%,4.82328分,0%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao启赋官方旗舰店"，"点我对话"),启赋官方旗舰店,启赋官方旗舰店,0571-88010710,0571-88010710,,,https://shop111021164.taobao.com/,23,12238,上海,避孕套,,4.83176分,0%,4.80148分,0%,4.8213分,0%,,,,,,,,,,
26,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao真情告白旗舰店"，"点我对话"),真情告白旗舰店,真情告白旗舰店,0571-85093046,0571-85093046,,,https://shop67841843.taobao.com/,92,95,浙江杭州,避孕套,100.00%,4.9349分,0%,4.89583分,0%,4.92708分,0%,,,,,,,,,,
27,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao都市飞狐户外旗舰店"，"点我对话"),都市飞狐户外旗舰店,都市飞狐户外旗舰店,4006188638,4006188638,,,https://shop72879526.taobao.com/,188,112125,江苏南京,避孕套,,4.91068分,0%,4.8598分,0%,4.85927分,0%,,,,,,,,,,
28,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉茱莉旗舰店"，"点我对话"),嘉茱莉旗舰店,嘉茱莉旗舰店,4008000808,4008000808,,,https://shop68057743.taobao.com/,268,1324,上海,避孕套,,4.84913分,0%,4.85566分,0%,4.87319分,0%,,,,,,,,,,
29,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao马培德旗舰店"，"点我对话"),马培德旗舰店,马培德旗舰店,0512-57371577,0512-57371577,,,https://shop118069229.taobao.com/,188,6346,江苏省苏州市,避孕套,,4.93329分,0%,4.92059分,0%,4.92408分,0%,,,,,,,,,,
30,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣芮旗舰店"，"点我对话"),衣芮旗舰店,衣芮旗舰店,15669860510,15669860510,,,https://shop110917891.taobao.com/,802,4203,浙江杭州,避孕套,,4.83247分,0%,4.82133分,0%,4.83169分,0%,,,,,,,,,,
31,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博美秀旗舰店"，"点我对话"),博美秀旗舰店,博美秀旗舰店,18094707398,18094707398,18094707398,,https://shop108799620.taobao.com/,406,409,浙江省杭州市,避孕套,,4.85408分,0%,4.81328分,0%,4.81259分,0%,,,,,,,,,,
32,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao茬客旗舰店"，"点我对话"),茬客旗舰店,茬客旗舰店,18126788537,18126788537,,,https://shop114658058.taobao.com/,557,2329,广东省广州市,避孕套,100.00%,4.82807分,0%,4.80224分,0%,4.84013分,0%,,,,,,,,,,
33,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卓希运动专营店"，"点我对话"),卓希运动专营店,卓希运动专营店,025-85565137,025-85565137,025-85565137,,https://shop59983045.taobao.com/,932,43222,江苏南京,避孕套,,4.87616分,0%,4.84941分,0%,4.85026分,0%,,,,,,,,,,
34,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao米罗兰家纺旗舰店"，"点我对话"),米罗兰家纺旗舰店,米罗兰家纺旗舰店,0579-84194255,0579-84194255,0579-84194255,,https://shop102117317.taobao.com/,26,2438,浙江省金华市,避孕套,,4.94451分,0%,4.9173分,0%,4.92384分,0%,,,,,,,,,,
35,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao物自体旗舰店"，"点我对话"),物自体旗舰店,物自体旗舰店,18898637260,18898637260,,,https://shop112122540.taobao.com/,460,20640,广东省广州市,避孕套,,4.91486分,0%,4.88187分,0%,4.88937分,0%,,,,,,,,,,
36,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao霓裳车影旗舰店"，"点我对话"),霓裳车影旗舰店,霓裳车影旗舰店,020-22942970,020-22942970,,,https://shop108359831.taobao.com/,65,763,广东广州,避孕套,,4.87366分,0%,4.85484分,0%,4.85645分,0%,,,,,,,,,,
37,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao如润数码专营店"，"点我对话"),如润数码专营店,如润数码专营店,18925276325,,,,https://shop108366030.taobao.com,51,4135,广东省深圳市,避孕套,,4.92647分,0%,4.89532分,0%,4.9074分,0%,,,,,,,,,,
38,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopoddities旗舰店"，"点我对话"),poddities旗舰店,poddities旗舰店,15989881399,,15989881399,,https://shop107382003.taobao.com,20,1132,广东深圳,避孕套,,4.75791分,0%,4.58426分,0%,4.60086分,0%,,,,,,,,,,
