编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao慕凡伊羊绒制品有限公司"，"点我对话"),慕凡伊羊绒制品有限公司,霓朵企业直销店,,,,,https://shop131141793.taobao.com,,,1604598.00,北京,针织女,,4.80011,2.44%,4.85686,12.92%,4.87864分,23.17%,,,,,,,,,,
2,清河县慧泽羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羊葱服饰旗舰店"，"点我对话"),羊葱服饰旗舰店,羊葱服饰旗舰店,,,,,https://shop165810627.taobao.com,,,16174542.00,北京,针织女,,4.92221分,38.84%,4.90927分,46.18%,4.91592分,47.31%,,,,,,,,,,
3,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宝贝猫儿2255"，"点我对话"),宝贝猫儿2255,沫蓝朵,,,,,https://shop60136597.taobao.com,,,337125.00,北京,针织女,,4.7484分,-0.97%,4.79396分,-0.86%,4.84975分,4.87%,,,,,,,,,,
4,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao苏彦刚"，"点我对话"),苏彦刚,墨倍嘉线上体验店,,,,,https://shop57144553.taobao.com,,,215585.00,北京,针织女,,4.78872分,0.13%,4.84089分,3.28%,4.8725分,19.35%,,,,,,,,,,
5,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao半边天美憾凡尘"，"点我对话"),半边天美憾凡尘,香汐伊人,,,,,https://shop143755697.taobao.com,,,613014.00,北京,针织女,,4.76129分,-0.71%,4.82034分,0.32%,4.83324分,0.18%,,,,,,,,,,
6,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羊之星"，"点我对话"),羊之星,羊之星高端女装,,,,,https://shop70421290.taobao.com,,,90629.00,北京,针织女,,4.82143分,12.90%,4.89286分,34.87%,4.92143分,50.30%,,,,,,,,,,
7,北京丽智品尚服装有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芒戈旗舰店"，"点我对话"),芒戈旗舰店,芒戈旗舰店,,,,,https://shop104123804.taobao.com,,,3951428.00,北京,针织女,,4.91253分,31.23%,4.89997分,40.66%,4.90844分,42.62%,,,,,,,,,,
8,深圳市马克李服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao悟然旗舰店"，"点我对话"),悟然旗舰店,悟然旗舰店,4001335528,,,,https://shop314853023.taobao.com,,,0,北京,针织女,,4.88619分,10.52%,4.88104分,29.43%,4.88068分,25.22%,,,,,,,,,,
9,朗姿股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolimeflare官方旗舰店"，"点我对话"),limeflare官方旗舰店,limeflare官方旗舰店,,,,,https://shop112437046.taobao.com,,,3076773.00,北京,针织女,,4.89803分,19.83%,4.87546分,26.12%,4.92462分,52.76%,,,,,,,,,,
10,清河县组美羊绒制品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣依天骄服饰旗舰店"，"点我对话"),衣依天骄服饰旗舰店,衣依天骄服饰旗舰店,,,,,https://shop114505590.taobao.com,,,0.00,北京,针织女,,4.88766分,11.68%,4.87951分,28.52%,4.88882分,30.32%,,,,,,,,,,
11,朗姿股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao朗姿官方旗舰店"，"点我对话"),朗姿官方旗舰店,朗姿官方旗舰店,,,,,https://shop103568186.taobao.com,,,7654973.00,北京,针织女,,4.92587分,41.72%,4.91071分,47.03%,4.93791分,61.09%,,,,,,,,,,
12,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao简单生活529"，"点我对话"),简单生活529,舒美尔羊绒衫直销店,,,,,https://shop100525221.taobao.com,,,1750895.00,北京,针织女,,5.0,100.00%,4.9697,81.57%,4.9697分,80.82%,,,,,,,,,,
