编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojanmieeo简米欧旗舰店"，"点我对话"),janmieeo简米欧旗舰店,janmieeo简米欧旗舰店,,,,15205573314,https://shop114508507.taobao.com,397,954,上海,辣条,100%,4.92146分,37.75%,4.87504分,25.94%,4.88468分,28.18%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao翰扬办公用品专营店"，"点我对话"),翰扬办公用品专营店,翰扬办公用品专营店,,,,13570490960,https://shop109559087.taobao.com,269,508,广东， 广州,辣条,100%,4.97392分,77.07%,4.95683分,72.63%,4.96223分,75.60%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao冠蓝食品专营店"，"点我对话"),冠蓝食品专营店,冠蓝食品专营店,,,,13548635273,https://shop430337681.taobao.com,282,2752,湖南省长沙市,辣条,100%,4.89172分,36.29%,4.85271分,25.23%,4.84802分,21.29%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淘树汽车用品专营店"，"点我对话"),淘树汽车用品专营店,淘树汽车用品专营店,,,,13642311323,https://shop337622134.taobao.com,105,431,广东， 广州,辣条,100%,4.83528分,0.97%,4.77759分,1.47%,4.77759分,1.53%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宇汗旗舰店"，"点我对话"),宇汗旗舰店,宇汗旗舰店,,,,13754308075,https://shop289586594.taobao.com,4686,1414,浙江省衢州市,辣条,100%,4.8403分,0.69%,4.77761分,1.11%,4.79851分,0.85%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾迪威车品旗舰店"，"点我对话"),艾迪威车品旗舰店,艾迪威车品旗舰店,,,,13662935306,https://shop111212875.taobao.com,159,2353,广东省， 广州市,辣条,100%,4.86494分,0%,4.84356分,0%,4.84761分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao芭淑曼旗舰店"，"点我对话"),芭淑曼旗舰店,芭淑曼旗舰店,,,,14752221111,https://shop312085016.taobao.com,3102,525,江苏省徐州市,辣条,100%,4.78458分,1.83%,4.73072分,2.08%,4.74051分,2.04%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao威海韩品食品专营店"，"点我对话"),威海韩品食品专营店,威海韩品食品专营店,,,,13156095680,https://shop110870160.taobao.com,253,16184,山东， 威海,辣条,100%,4.88879分,34.57%,4.85538分,26.58%,4.84024分,17.26%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao好来金家居专营店"，"点我对话"),好来金家居专营店,好来金家居专营店,,,,13801610520,https://shop68092344.taobao.com,115,2006,上海,辣条,100%,4.91199分,11.41%,4.87624分,4.95%,4.87864分,6.79%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao三枪家诚专卖店"，"点我对话"),三枪家诚专卖店,三枪家诚专卖店,,,,17321126139,https://shop101900237.taobao.com,574,4688,上海,辣条,国民休闲,4.90684分,26.16%,4.88807分,33.66%,4.89279分,33.23%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao多彩多姿旗舰店"，"点我对话"),多彩多姿旗舰店,多彩多姿旗舰店,,,,18923952814,https://shop106418276.taobao.com,228,815,广东， 汕头,辣条,100%,4.96371分,71.24%,4.95321分,72.27%,4.95686分,73.13%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao唯美奂旗舰店"，"点我对话"),唯美奂旗舰店,唯美奂旗舰店,13767213827,,,18518291862,https://shop67112831.taobao.com,30,14131,北京,辣条,100%,4.9376分,37.19%,4.90211分,24.82%,4.90794分,29.29%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocestbeau旗舰店"，"点我对话"),cestbeau旗舰店,cestbeau旗舰店,,,,18102725007,https://shop111301445.taobao.com,234,204,广东省， 广州市,辣条,100%,4.94685分,57.87%,4.93492分,61.43%,4.94035分,62.85%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao洪森艺旗舰店"，"点我对话"),洪森艺旗舰店,洪森艺旗舰店,18777055077,,,4006878701,https://shop70126740.taobao.com,52,317,广西， 防城港,辣条,100%,4.89286分,2.20%,4.88866分,25.95%,4.89916分,29.30%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao极美滋调料旗舰店"，"点我对话"),极美滋调料旗舰店,极美滋调料旗舰店,,,,18621782978,https://shop57302705.taobao.com,188,12638,上海,辣条,100%,4.9384分,63.76%,4.9073分,52.94%,4.9022分,49.35%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韵缇莎旗舰店"，"点我对话"),韵缇莎旗舰店,韵缇莎旗舰店,,,,17159862171,https://shop227537567.taobao.com,4990,913,浙江省金华市,辣条,100%,4.83303分,0.84%,4.75572分,1.56%,4.76761分,1.48%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao许记味食食品专营店"，"点我对话"),许记味食食品专营店,许记味食食品专营店,18936551057,,,18936551057,https://shop108040087.taobao.com,51,1487,江苏， 淮安,辣条,100%,4.96657分,80.33%,4.9392分,69.13%,4.93774分,67.76%,,,,,,,,,,
