编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉蒂诗旗舰店"，"点我对话"),嘉蒂诗旗舰店,嘉蒂诗旗舰店,,,,13564915451,https://shop480086777.taobao.com,192,109,江苏， 苏州,面包蛋糕,100%,4.8972分,18.41%,4.86916分,22.26%,4.919分,49.41%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔻燕旗舰店"，"点我对话"),蔻燕旗舰店,蔻燕旗舰店,,,,13721617600,https://shop346848415.taobao.com,129,19,河南省洛阳市,面包蛋糕,100%,4.98901分,91.28%,4.96538分,79.43%,4.96429分,77.70%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao翰扬办公用品专营店"，"点我对话"),翰扬办公用品专营店,翰扬办公用品专营店,,,,13570490960,https://shop109559087.taobao.com,269,408,广东， 广州,面包蛋糕,100%,4.97158分,75.03%,4.9556分,71.78%,4.96004分,74.08%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao韩雅芬旗舰店"，"点我对话"),韩雅芬旗舰店,韩雅芬旗舰店,,,,15179730967,https://shop323486136.taobao.com,5387,1745,江西省赣州市,面包蛋糕,100%,4.825分,1.01%,4.74058分,1.89%,4.76712分,1.50%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黎上旗舰店"，"点我对话"),黎上旗舰店,黎上旗舰店,,,,13067058692,https://shop165862121.taobao.com,8397,649,,面包蛋糕,100%,4.94681分,57.79%,4.94118分,65.05%,4.93048分,56.58%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新创美达旗舰店"，"点我对话"),新创美达旗舰店,新创美达旗舰店,,,,18663792901,https://shop103776573.taobao.com,309,3716,山东省， 济南市,面包蛋糕,100%,4.92889分,39.13%,4.89722分,33.30%,4.89956分,32.91%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝蒂雅旗舰店"，"点我对话"),蓝蒂雅旗舰店,蓝蒂雅旗舰店,,,,13729574253,https://shop110314185.taobao.com,165,833,浙江省， 杭州市,面包蛋糕,100%,4.89169分,14.04%,4.88011分,28.77%,4.88828分,30.23%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绿辰旗舰店"，"点我对话"),绿辰旗舰店,绿辰旗舰店,0451-51915186,,,18249467571,https://shop116388514.taobao.com,13,59,黑龙江省， 哈尔滨市,面包蛋糕,100%,4.90608分,44.64%,4.85635分,26.85%,4.85083分,22.51%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao尤朵拉家居旗舰店"，"点我对话"),尤朵拉家居旗舰店,尤朵拉家居旗舰店,18652587059,,,18652587059,https://shop67171157.taobao.com,240,17602,江苏， 扬州,面包蛋糕,100%,4.83226分,1.20%,4.80672分,1.05%,4.81646分,0.99%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotelesky旗舰店"，"点我对话"),telesky旗舰店,telesky旗舰店,,,,18927422160,https://shop113500236.taobao.com,3852,158599,广东省， 深圳市,面包蛋糕,100%,4.93241分,40.61%,4.89303分,32.01%,4.89042分,28.93%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佳诚一品食品专营店"，"点我对话"),佳诚一品食品专营店,佳诚一品食品专营店,18610873727,,,4000180325,https://shop145644533.taobao.com,74,953,北京， 北京市,面包蛋糕,100%,4.95557分,73.81%,4.93733分,68.09%,4.9434分,70.60%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恋格丽女装旗舰店"，"点我对话"),恋格丽女装旗舰店,恋格丽女装旗舰店,,,,18701186820,https://shop391422562.taobao.com,145,481,北京市,面包蛋糕,100%,4.94013分,52.48%,4.94412分,66.80%,4.94956分,68.50%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao纽芳雅旗舰店"，"点我对话"),纽芳雅旗舰店,纽芳雅旗舰店,,,,13829176261,https://shop506699860.taobao.com,307,913,广东省东莞市,面包蛋糕,100%,4.87789分,3.09%,4.86473分,19.63%,4.86936分,18.41%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao佰春旗舰店"，"点我对话"),佰春旗舰店,佰春旗舰店,,,,18975390117,https://shop486933819.taobao.com,947,358,湖南省株洲市,面包蛋糕,100%,4.86985分,0%,4.78753分,0.91%,4.80125分,0.80%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao左丘旗舰店"，"点我对话"),左丘旗舰店,左丘旗舰店,,,,13871299422,https://shop310310476.taobao.com,384,3395,湖北省武汉市,面包蛋糕,100%,4.91819分,35.07%,4.84873分,10.12%,4.8624分,14.06%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao达拉蜜旗舰店"，"点我对话"),达拉蜜旗舰店,达拉蜜旗舰店,,,,18903009452,https://shop421970746.taobao.com,146,741,广东省广州市,面包蛋糕,100%,4.92258分,38.56%,4.91459分,49.25%,4.91059分,44.16%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao耶洛谜旗舰店"，"点我对话"),耶洛谜旗舰店,耶洛谜旗舰店,,,,13810523988,https://shop520538918.taobao.com,339,110,北京市,面包蛋糕,100%,4.99113分,92.96%,4.9867分,92.10%,4.98891分,93.07%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao颐百花"，"点我对话"),颐百花,颐百花旗舰店,,,,18560096677,https://shop425792664.taobao.com,56,94,山东省济南市,面包蛋糕,100%,4.88462分,8.43%,4.85577分,14.31%,4.875分,21.93%,,,,,,,,,,
