编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,点我对话,高姿仙柏专卖店,高姿仙柏专卖店,0571-81909164,,,,https://shop69931651.taobao.com,,,浙江杭州,面膜,,4.88,9.48%,4.81,0.00%,4.81,0.00%,,,,,,,,,,
2,,天猫,点我对话,窈瞬母婴专营店,窈瞬母婴专营店,,,null,,https://shop117286552.taobao.com,,,上海,面膜,,4.86,0.00%,4.79,-1.06%,4.79,-1.21%,,,,,,,,,,
3,,天猫,点我对话,博领旗舰店,博领旗舰店,15214343068,,,,https://shop101355075.taobao.com,,,上海,面膜,,4.93,45.94%,4.92,54.27%,4.91,48.03%,,,,,,,,,,
4,,天猫,点我对话,水木花草旗舰店,水木花草旗舰店,0731-85598681,,,,https://shop111022114.taobao.com,,,上海,面膜,,4.89,12.23%,4.81,0.00%,4.8,0.00%,,,,,,,,,,
5,,天猫,点我对话,chettirouge旗舰店,chettirouge旗舰店,61762558,,,,https://shop58967515.taobao.com,,,上海,面膜,,4.88,10.27%,4.84,12.45%,4.83,8.18%,,,,,,,,,,
6,,天猫,点我对话,乔莎旗舰店,乔莎旗舰店,4006098889,,,,https://shop58464302.taobao.com,,,吉林长春,面膜,100.00%,4.95,63.01%,4.92,52.78%,4.91,51.93%,,,,,,,,,,
7,,天猫,点我对话,京皖旗舰店,京皖旗舰店,010-57253428,,010-57253428,,https://shop73521952.taobao.com,,,安徽亳州,面膜,,4.89,29.82%,4.86,20.96%,4.84,15.90%,,,,,,,,,,
8,,天猫,点我对话,avon雅芳官方旗舰店,avon雅芳官方旗舰店,13221043480,13221043480,13221043480,,https://shop107856493.taobao.com/,,,广东广州,面膜,100.00%,4.91,30.12%,4.87,25.54%,4.85,18.80%,,,,,,,,,,
9,,天猫,点我对话,金柳家居旗舰店,金柳家居旗舰店,0539-6261628,0539-6261628,,,https://shop103363178.taobao.com/,,,山东临沂,面膜,100.00%,4.88,3.23%,4.87,18.64%,4.87,20.34%,,,,,,,,,,
10,,天猫,点我对话,鈞成化妆品专营店,鈞成化妆品专营店,0551-64250045,0551-64250045,,,https://shop60149822.taobao.com/,,,安徽合肥,面膜,100.00%,4.89,18.61%,4.84,9.08%,4.85,15.48%,,,,,,,,,,
11,,天猫,点我对话,相宜本草博尼达专卖店,相宜本草博尼达专卖店,18168786003,18168786003,,,https://shop105301669.taobao.com/,,,北京,面膜,100.00%,4.88,8.40%,4.81,0.00%,4.8,0.00%,,,,,,,,,,
