编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao澳玫瑞旗舰店"，"点我对话"),澳玫瑞旗舰店,澳玫瑞旗舰店,,,,18914576257,https://shop113611174.taobao.com,7,132,江苏省， 镇江市,运动鞋,100%,4.90709分,26.36%,4.91117分,47.35%,4.9128分,45.69%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao娄娄旗舰店"，"点我对话"),娄娄旗舰店,娄娄旗舰店,,,,15832972994,https://shop109168150.taobao.com,106,4691,河北省， 邢台市,运动鞋,100%,4.92095分,37.35%,4.8667分,21.00%,4.87249分,20.59%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolzdzn旗舰店"，"点我对话"),lzdzn旗舰店,lzdzn旗舰店,,,,13808556647,https://shop112153960.taobao.com,430,2688,福建， 泉州,运动鞋,100%,4.857分,0%,4.81302分,0%,4.81657分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosimdec施蒙德克旗舰店"，"点我对话"),simdec施蒙德克旗舰店,simdec施蒙德克旗舰店,,,,17350959033,https://shop128723511.taobao.com,71,5386,福建， 泉州,运动鞋,100%,4.84503分,0.59%,4.81451分,0%,4.82354分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爵煌旗舰店"，"点我对话"),爵煌旗舰店,爵煌旗舰店,,,,18922360906,https://shop105544176.taobao.com,272,862,广东， 广州,运动鞋,100%,4.92826分,43.14%,4.92231分,53.96%,4.91866分,49.34%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao衣阁故事旗舰店"，"点我对话"),衣阁故事旗舰店,衣阁故事旗舰店,,,,13592505581,https://shop275493876.taobao.com,9935,1402,河南省郑州市,运动鞋,100%,4.8142分,1.22%,4.75862分,1.50%,4.76489分,1.54%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧娜莉旗舰店"，"点我对话"),欧娜莉旗舰店,欧娜莉旗舰店,,,,15639765371,https://shop349310679.taobao.com,39,209,河南省郑州市,运动鞋,100%,4.91224分,30.44%,4.87757分,27.44%,4.88516分,28.48%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao圣芙缇旗舰店"，"点我对话"),圣芙缇旗舰店,圣芙缇旗舰店,,,,18820806160,https://shop502186513.taobao.com,46,924,广东省广州市,运动鞋,100%,4.88793分,11.18%,4.86405分,19.43%,4.8709分,19.60%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧斯迈旗舰店"，"点我对话"),欧斯迈旗舰店,欧斯迈旗舰店,,,,13736573902,https://shop110063408.taobao.com,335,3847,浙江省， 台州市,运动鞋,100%,4.87994分,0%,4.87433分,9.76%,4.86494分,2.01%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao篮人运动专营店"，"点我对话"),篮人运动专营店,篮人运动专营店,18605040400,,,0595-88993889,https://shop112477460.taobao.com,75,2027,福建省， 泉州市,运动鞋,100%,4.95667分,63.41%,4.94719分,66.16%,4.93788分,58.89%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao浪莎宏悦专卖店"，"点我对话"),浪莎宏悦专卖店,浪莎宏悦专卖店,,,,15397569891,https://shop102059400.taobao.com,319,8966,浙江省， 金华市,运动鞋,气质范儿,4.88933分,12.29%,4.82285分,0%,4.85145分,7.49%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao古奇天伦洛嘉专卖店"，"点我对话"),古奇天伦洛嘉专卖店,古奇天伦洛嘉专卖店,,,,18950762502,https://shop106311940.taobao.com,1114,2661,莆田市,运动鞋,100%,4.89883分,19.81%,4.83849分,4.28%,4.84506分,3.51%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoamykukula旗舰店"，"点我对话"),amykukula旗舰店,amykukula旗舰店,,,,15918208306,https://shop114647488.taobao.com,172,4327,广东省， 中山市,运动鞋,100%,4.90374分,23.71%,4.86323分,18.94%,4.87203分,20.30%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蔻贝卡旗舰店"，"点我对话"),蔻贝卡旗舰店,蔻贝卡旗舰店,,,,13297794011,https://shop284358013.taobao.com,7135,1307,广西省柳州市,运动鞋,100%,4.91238分,30.55%,4.91524分,49.77%,4.93238分,57.89%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao客捷冠威数码专营店"，"点我对话"),客捷冠威数码专营店,客捷冠威数码专营店,,,,18926813158,https://shop108535673.taobao.com,9,5,江苏省， 南京市,运动鞋,100%,4.97599分,78.89%,4.96055分,74.99%,4.97256分,82.27%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao筱花旗舰店"，"点我对话"),筱花旗舰店,筱花旗舰店,,,,18667105966,https://shop319515198.taobao.com,198,2267,浙江， 杭州,运动鞋,100%,4.92734分,42.41%,4.90438分,43.33%,4.90982分,43.84%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao婧麒旗舰店"，"点我对话"),婧麒旗舰店,婧麒旗舰店,,,,13870084130,https://shop69011572.taobao.com,331,145465,江西， 南昌,运动鞋,100%,4.94474分,49.53%,4.94111分,58.72%,4.94482分,59.32%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雷雕旗舰店"，"点我对话"),雷雕旗舰店,雷雕旗舰店,18998867145,,,,https://shop112295289.taobao.com,71,516,广东省， 广州市,运动鞋,100%,4.91494分,28.16%,4.89149分,30.47%,4.90349分,36.14%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao萨尔茨曼旗舰店"，"点我对话"),萨尔茨曼旗舰店,萨尔茨曼旗舰店,13857409721,,,,https://shop65977958.taobao.com,50,165,浙江， 宁波,运动鞋,100%,4.93409分,33.65%,4.91591分,35.42%,4.90227分,24.94%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao誊威母婴专营店"，"点我对话"),誊威母婴专营店,誊威母婴专营店,18759412126,,,,https://shop113175979.taobao.com,237,2004,福建， 泉州,运动鞋,100%,4.87005分,0%,4.84122分,0%,4.87658分,9.02%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao我形我塑旗舰店"，"点我对话"),我形我塑旗舰店,我形我塑旗舰店,13357816983,,,,https://shop105392796.taobao.com,38,3303,江苏， 南京,运动鞋,100%,4.83274分,1.00%,4.77385分,1.45%,4.7868分,1.28%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao汉汇旗舰店"，"点我对话"),汉汇旗舰店,汉汇旗舰店,18507182086,,,,https://shop115062439.taobao.com,153,633,湖北省， 襄樊市,运动鞋,100%,4.88293分,7.21%,4.79322分,0.79%,4.7954分,0.91%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao秀亚母婴专营店"，"点我对话"),秀亚母婴专营店,秀亚母婴专营店,,,,13360015218,https://shop102504701.taobao.com,115,2773,广东省， 广州市,运动鞋,100%,4.88026分,0%,4.85383分,0%,4.86144分,0%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao漫翔旗舰店"，"点我对话"),漫翔旗舰店,漫翔旗舰店,,,,13575742481,https://shop105773619.taobao.com,1039,7700,浙江省， 金华市,运动鞋,100%,4.83702分,1.12%,4.79839分,1.28%,4.8045分,1.19%,,,,,,,,,,
