编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao星和良品旗舰店"，"点我对话"),星和良品旗舰店,星和良品旗舰店,,,,0591-88230156,https://shop114159635.taobao.com,96,64186,福建， 福州,食品,100%,4.90901分,0%,4.86085分,0%,4.86069分,0%,,,,,,,,,,
2,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao诺梵旗舰店"，"点我对话"),诺梵旗舰店,诺梵旗舰店,0571-88770812,,,15382303583,https://shop70938565.taobao.com,36,17698,浙江， 杭州,食品,100%,4.8412分,0%,4.80011分,0%,4.78811分,0%,,,,,,,,,,
3,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao谷言食品旗舰店"，"点我对话"),谷言食品旗舰店,谷言食品旗舰店,,,,18232165116,https://shop144151092.taobao.com,118,21978,河北， 石家庄,食品,100%,4.86707分,0%,4.8595分,0%,4.86371分,0%,,,,,,,,,,
4,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao金锦弘食品专营店"，"点我对话"),金锦弘食品专营店,金锦弘食品专营店,,,,18321163502,https://shop113258660.taobao.com,178,23805,上海， 上海市,食品,100%,4.88985分,0%,4.84931分,0%,4.84114分,0%,,,,,,,,,,
5,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao3m官方旗舰店"，"点我对话"),3m官方旗舰店,3m居家生活官方旗舰店,021-61514752,,,4008855810,https://shop104898159.taobao.com,270,19137,上海,食品,100%,4.92888分,0%,4.91028分,0%,4.91053分,0%,,,,,,,,,,
6,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao合庆旗舰店"，"点我对话"),合庆旗舰店,合庆旗舰店,4008000808,,,,https://shop73422887.taobao.com,329,122103,广东佛山,食品,100.00%,4.92267分,0%,4.88539分,0%,4.88264分,0%,,,,,,,,,,
7,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丁丁食品专营店"，"点我对话"),丁丁食品专营店,丁丁食品专营店,,023-76860199,,,https://shop103681441.taobao.com/,93,93901,重庆,食品,100.00%,4.83105分,0%,4.76937分,0%,4.76148分,0%,,,,,,,,,,
8,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao千百滋食品专营店"，"点我对话"),千百滋食品专营店,千百滋食品专营店,0731-89870709,0731-89870709,,,https://shop111461485.taobao.com/,435,49229,湖南省长沙市,食品,100.00%,4.85136分,0%,4.7728分,0%,4.76517分,0%,,,,,,,,,,
9,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中国医药科技出版社旗舰店"，"点我对话"),中国医药科技出版社旗舰店,中国医药科技出版社旗舰店,010-62276232,010-62276232,,,https://shop112376288.taobao.com/,2927,10208,北京,食品,100.00%,4.92517分,0%,4.8712分,0%,4.87446分,0%,,,,,,,,,,
10,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鲜享旗舰店"，"点我对话"),鲜享旗舰店,鲜享旗舰店,4006301188,4006301188,4006301188,,https://shop73519313.taobao.com/,147,81698,北京,食品,100.00%,4.93381分,0%,4.88436分,0%,4.8793分,0%,,,,,,,,,,
11,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao迪尔文旗舰店"，"点我对话"),迪尔文旗舰店,迪尔文旗舰店,028-87911011,028-87911011,,,https://shop100656978.taobao.com/,14,26990,广东广州,食品,,4.86453分,0%,4.85133分,0%,4.86451分,0%,,,,,,,,,,
12,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao宠百思旗舰店"，"点我对话"),宠百思旗舰店,宠百思旗舰店,0513-85560168,0513-85560168,,,https://shop105168617.taobao.com/,177,26081,江苏南通,食品,100.00%,4.9336分,0%,4.91188分,0%,4.91296分,0%,,,,,,,,,,
13,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao光米家居专营店"，"点我对话"),光米家居专营店,光米家居专营店,18319635153,18319635153,,,https://shop111394002.taobao.com/,392,42437,广东省惠州市,食品,,4.82616分,0%,4.75912分,0%,4.75481分,0%,,,,,,,,,,
14,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao良品铺子旗舰店"，"点我对话"),良品铺子旗舰店,良品铺子旗舰店,4001177517,4001177517,,,https://shop63552270.taobao.com,481,4773399,湖北武汉,食品,100.00%,4.89013分,0%,4.85088分,0%,4.8557分,0%,,,,,,,,,,
15,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao索伊食品专营店"，"点我对话"),索伊食品专营店,索伊食品专营店,,,,15900988985,https://shop103694190.taobao.com,281,30692,上海， 上海市,食品,100%,4.87352分,0%,4.82005分,0%,4.81606分,0%,,,,,,,,,,
16,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao目远食品专营店"，"点我对话"),目远食品专营店,目远食品专营店,025-84124885,,,18921402413,https://shop61910816.taobao.com,113,19837,江苏， 镇江,食品,100%,4.865分,0%,4.84207分,0%,4.83781分,0%,,,,,,,,,,
17,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao童年"，"点我对话"),童年,童年记食品旗舰店,,,,13377769392,https://shop112609945.taobao.com,154,76603,湖南， 长沙,食品,100%,4.89545分,0%,4.86454分,0%,4.86205分,0%,,,,,,,,,,
18,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao◎妞妞◎"，"点我对话"),◎妞妞◎,妞妞食品专营店,,,,18021260563,https://shop105976338.taobao.com,488,712976,上海,食品,100%,4.84743分,0%,4.79215分,0%,4.78274分,0%,,,,,,,,,,
19,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao闲汇食品专营店"，"点我对话"),闲汇食品专营店,闲汇食品专营店,,,,15802918851,https://shop111164384.taobao.com,245,24622,陕西， 西安,食品,100%,4.8706分,0%,4.82375分,0%,4.82078分,0%,,,,,,,,,,
20,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao独秀食品专营店"，"点我对话"),独秀食品专营店,独秀食品专营店,029-89300102,029-89113661,,,https://shop69492228.taobao.com/,567,313720,陕西西安,食品,100.00%,4.84875分,0%,4.79524分,0%,4.79938分,0%,,,,,,,,,,
21,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao食为先旗舰店"，"点我对话"),食为先旗舰店,食为先旗舰店,0730-6662895,0730-6662895,,,https://shop163609611.taobao.com/,47,19757,湖南岳阳,食品,100.00%,4.85579分,0%,4.81423分,0%,4.8161分,0%,,,,,,,,,,
22,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao河南民生大药房旗舰店"，"点我对话"),河南民生大药房旗舰店,河南民生大药房旗舰店,0379-62787029,0379-62787029,,,https://shop149051563.taobao.com/,1387,172456,河南洛阳,食品,100.00%,4.88129分,0%,4.86273分,0%,4.87837分,0%,,,,,,,,,,
23,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao秋林食品旗舰店"，"点我对话"),秋林食品旗舰店,秋林食品旗舰店,0451-84633088,0451-84633088,,,https://shop68456687.taobao.com/,114,22626,黑龙江哈尔滨,食品,100.00%,4.91871分,0%,4.90103分,0%,4.88993分,0%,,,,,,,,,,
24,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华强电器旗舰店"，"点我对话"),华强电器旗舰店,华强电器旗舰店,4008226908,4008226908,,,https://shop108447417.taobao.com/,10,54405,北京,食品,,4.88348分,0%,4.81329分,0%,4.8171分,0%,,,,,,,,,,
25,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao瑞湘食品专营店"，"点我对话"),瑞湘食品专营店,瑞湘食品专营店,0731-82058091,0731-82058091,,,https://shop106997061.taobao.com/,377,18149,湖南省永州市,食品,100.00%,4.90618分,0%,4.86533分,0%,4.86526分,0%,,,,,,,,,,
26,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao圣雪依居专卖店"，"点我对话"),圣雪依居专卖店,圣雪依居专卖店,13777781820,13777781820,,,https://shop68614184.taobao.com/,422,17651,浙江温州,食品,100.00%,4.93328分,0%,4.88149分,0%,4.85663分,0%,,,,,,,,,,
27,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao羽诺居家日用专营店"，"点我对话"),羽诺居家日用专营店,羽诺居家日用专营店,0551-63732668,0551-63732668,,,https://shop118038845.taobao.com/,80,11595,安徽省合肥市,食品,100.00%,4.88152分,0%,4.84167分,0%,4.84277分,0%,,,,,,,,,,
28,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaokunzhan旗舰店"，"点我对话"),kunzhan旗舰店,kunzhan旗舰店,,,,13828134657,https://shop452147830.taobao.com,194,33395,广东， 揭阳,食品,100%,4.90571分,0%,4.87894分,0%,4.87315分,0%,,,,,,,,,,
29,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妙爱旗舰店"，"点我对话"),妙爱旗舰店,妙爱旗舰店,,,,15257969198,https://shop104313047.taobao.com,68,42006,浙江， 金华,食品,100%,4.85841分,0%,4.83109分,0%,4.84328分,0%,,,,,,,,,,
30,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao新邻坊旗舰店"，"点我对话"),新邻坊旗舰店,新邻坊旗舰店,,,,0563-5455678,https://shop580016662.taobao.com,53,30965,,食品,100%,4.898分,0%,4.84056分,0%,4.8139分,0%,,,,,,,,,,
31,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao珍食品"，"点我对话"),珍食品,金冠珍味食品专营店,,,,15380783906,https://shop102811810.taobao.com,67,72164,辽宁， 抚顺,食品,100%,4.88844分,0%,4.85682分,0%,4.84288分,0%,,,,,,,,,,
32,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao万泉食品专营店"，"点我对话"),万泉食品专营店,万泉食品专营店,15339144361,,,,https://shop116778262.taobao.com,73,14116,陕西省西安市,食品,,4.84139分,0%,4.82796分,0%,4.83518分,0%,,,,,,,,,,
33,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao聪师傅旗舰店"，"点我对话"),聪师傅旗舰店,聪师傅旗舰店,13105003878,,,,https://shop321437864.taobao.com,35,46320,福建漳州,食品,,4.81934分,0%,4.7733分,0%,4.76686分,0%,,,,,,,,,,
34,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao瑞多格宠物用品专营店"，"点我对话"),瑞多格宠物用品专营店,瑞多格宠物用品专营店,15507582637,15507582637,,,https://shop116372915.taobao.com/,303,16211,广东省深圳市,食品,100.00%,4.94036分,0%,4.91896分,0%,4.91934分,0%,,,,,,,,,,
35,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao南街村食品专营店"，"点我对话"),南街村食品专营店,南街村食品专营店,0395-3319668,0395-3319668,,,https://shop116136045.taobao.com/,41,30168,河南漯河,食品,100.00%,4.9089分,0%,4.85941分,0%,4.84997分,0%,,,,,,,,,,
36,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao健元堂旗舰店"，"点我对话"),健元堂旗舰店,健元堂旗舰店,0535-2100990,0535-2100990,0535-2100990,,https://shop67979732.taobao.com/,54,65069,山东烟台,食品,100.00%,4.8814分,0%,4.85397分,0%,4.85449分,0%,,,,,,,,,,
37,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao荣欣堂旗舰店"，"点我对话"),荣欣堂旗舰店,荣欣堂旗舰店,4008884630,4008884630,,,https://shop111016387.taobao.com/,55,19778,山西晋中,食品,,4.91799分,0%,4.88494分,0%,4.87234分,0%,,,,,,,,,,
38,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao百信大药房旗舰店"，"点我对话"),百信大药房旗舰店,百信大药房旗舰店,025-83193050,025-83193050,025-83193050,,https://shop114278165.taobao.com/,997,59448,江苏南京,食品,,4.91323分,0%,4.89183分,0%,4.89667分,0%,,,,,,,,,,
39,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao团客互动食品专营店"，"点我对话"),团客互动食品专营店,团客互动食品专营店,4000005508,4000005508,,,https://shop109706903.taobao.com/,253,24956,北京,食品,,4.87014分,0%,4.82065分,0%,4.81695分,0%,,,,,,,,,,
40,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao普瑞纳宠物食品官方旗舰店"，"点我对话"),普瑞纳宠物食品官方旗舰店,普瑞纳宠物食品官方旗舰店,0510-80332661,0510-80332661,,,https://shop108408575.taobao.com/,50,28701,北京,食品,100.00%,4.94168分,0%,4.92418分,0%,4.91429分,0%,,,,,,,,,,
41,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosevengreen七绿旗舰店"，"点我对话"),sevengreen七绿旗舰店,sevengreen七绿旗舰店,4000114832,4000114832,,,https://shop104652812.taobao.com/,27,718,广东广州,食品,,4.888分,0%,4.87267分,0%,4.88185分,0%,,,,,,,,,,
42,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧凯斯旗舰店"，"点我对话"),欧凯斯旗舰店,欧凯斯旗舰店,0579-85607912,0579-85607912,,,https://shop67262950.taobao.com/,475,45744,浙江金华,食品,,4.87945分,0%,4.83997分,0%,4.84323分,0%,,,,,,,,,,
43,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao傲家家居旗舰店"，"点我对话"),傲家家居旗舰店,傲家家居旗舰店,13336789880,13336789880,,,https://shop69989675.taobao.com/,179,181887,浙江台州,食品,,4.91154分,0%,4.87165分,0%,4.87408分,0%,,,,,,,,,,
44,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao中农百粮食品专营店"，"点我对话"),中农百粮食品专营店,中农百粮食品专营店,null,,,18612973511,https://shop114873057.taobao.com,107,296642,北京， 北京市,食品,100%,4.91595分,0%,4.85532分,0%,4.84485分,0%,,,,,,,,,,
45,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao51cup"，"点我对话"),51cup,商吉51cup旗舰店,,,,021-51879345,https://shop112804947.taobao.com,165,16285,上海， 上海市,食品,100%,4.9338分,0%,4.91012分,0%,4.91178分,0%,,,,,,,,,,
46,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowuxin家居旗舰店"，"点我对话"),wuxin家居旗舰店,wuxin家居旗舰店,13829008330,,,,https://shop103981437.taobao.com,462,42556,广东省潮州市,食品,,4.90107分,0%,4.88047分,0%,4.87618分,0%,,,,,,,,,,
47,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao纳美旗舰店"，"点我对话"),纳美旗舰店,纳美旗舰店,0571-88685575,,,,https://shop73044795.taobao.com,130,100098,浙江杭州,食品,,4.89022分,0%,4.83202分,0%,4.83192分,0%,,,,,,,,,,
48,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao米老头旗舰店"，"点我对话"),米老头旗舰店,米老头旗舰店,18121858062,18121858062,,,https://shop108720994.taobao.com/,67,17045,四川德阳,食品,100.00%,4.90814分,0%,4.87287分,0%,4.86118分,0%,,,,,,,,,,
49,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao言美食品专营店"，"点我对话"),言美食品专营店,言美食品专营店,,15218092999,,,https://shop117161262.taobao.com/,77,69513,广东东莞,食品,100.00%,4.8584分,0%,4.80187分,0%,4.78671分,0%,,,,,,,,,,
50,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao九州树叶旗舰店"，"点我对话"),九州树叶旗舰店,九州树叶旗舰店,13437102920,13437102920,,,https://shop111159408.taobao.com/,16,429229,湖北武汉,食品,100.00%,4.82796分,0%,4.79706分,0%,4.8049分,0%,,,,,,,,,,
51,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao安琪食品专营店"，"点我对话"),安琪食品专营店,安琪食品专营店,4008858560,4008858560,,,https://shop114988876.taobao.com/,696,157366,湖北宜昌,食品,100.00%,4.91106分,0%,4.87112分,0%,4.85972分,0%,,,,,,,,,,
52,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao杂粮先生旗舰店"，"点我对话"),杂粮先生旗舰店,杂粮先生旗舰店,0379-60861842,0379-60861842,,,https://shop68932604.taobao.com/,33,47197,河南焦作,食品,100.00%,4.87692分,0%,4.84309分,0%,4.84126分,0%,,,,,,,,,,
53,,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao清风易软件专营店"，"点我对话"),清风易软件专营店,清风易软件专营店,0533-8795662,0533-8795662,,,https://shop63428339.taobao.com/,55,13862,山东淄博,食品,100.00%,4.90754分,0%,4.88246分,0%,4.88858分,0%,,,,,,,,,,
