编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
1,邯郸市肥乡区华弛电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凯芝娜旗舰店"，"点我对话"),凯芝娜旗舰店,凯芝娜旗舰店,,,,,https://shop110973367.taobao.com,,,1483245.00,北京,马丁靴女,,4.9488分,59.74%,4.92919分,58.00%,4.93496分,59.25%,,,,,,,,,,
2,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao田坤的试衣间"，"点我对话"),田坤的试衣间,硕琪家,,,,,https://shop60926331.taobao.com,,,125306.11,北京,马丁靴女,,4.7322分,-1.31%,4.79375分,-0.86%,4.80753分,-0.71%,,,,,,,,,,
3,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao懒羊羊鞋e坊"，"点我对话"),懒羊羊鞋e坊,懒羊羊鞋E坊,,,,,https://shop61656751.taobao.com,,,69520.00,北京,马丁靴女,,4.54971分,-5.12%,4.67836分,-3.25%,4.60234分,-4.95%,,,,,,,,,,
4,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao步步高美鞋会"，"点我对话"),步步高美鞋会,步步高美鞋会,,,,,https://shop130064066.taobao.com,,,190784.00,北京,马丁靴女,,4.77566,0.41%,4.82212,0.28%,4.82507分,0.35%,,,,,,,,,,
5,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaofq280069313"，"点我对话"),fq280069313,super DD,,15011313907,15011313907,,https://shop58026662.taobao.com,,,104292.00,北京,马丁靴女,,4.75158分,-0.91%,4.81328分,0.46%,4.81906分,0.47%,,,,,,,,,,
6,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopinganren427526"，"点我对话"),pinganren427526,雨雪风情北京批发商,,,,,https://shop34896268.taobao.com,,,171672.00,北京,马丁靴女,,4.70855分,-1.81%,4.76351分,-1.49%,4.74548分,-1.99%,,,,,,,,,,
7,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丑小丫时尚潮流服饰"，"点我对话"),丑小丫时尚潮流服饰,妖精的鞋铺,,,13240054413,,https://shop69615936.taobao.com,,,23650.00,北京,马丁靴女,,4.87671分,39.86%,4.91781分,50.04%,4.84932分,4.69%,,,,,,,,,,
8,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaodingdingdang1982"，"点我对话"),dingdingdang1982,芳缇娜原创女鞋,,,,,https://shop35911253.taobao.com,,,60173.00,北京,马丁靴女,,4.6164分,-3.73%,4.6455分,-3.93%,4.67196分,-3.51%,,,,,,,,,,
9,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao广东的梁韵"，"点我对话"),广东的梁韵,FeelTime女鞋,,,,,https://shop63706270.taobao.com,,,665847.94,北京,马丁靴女,,4.87848分,40.69%,4.9069分,43.36%,4.9082分,41.88%,,,,,,,,,,
10,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao家有宝贝奥一"，"点我对话"),家有宝贝奥一,中原鞋都鞋业,,,,,https://shop112205344.taobao.com,,,129541.00,北京,马丁靴女,,4.8286分,16.34%,4.86267分,16.46%,4.86231分,12.83%,,,,,,,,,,
11,北京华克鞋业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopaintedshell旗舰店"，"点我对话"),paintedshell旗舰店,paintedshell旗舰店,,,,,https://shop65512096.taobao.com,,,0,北京,马丁靴女,,4.95493分,64.56%,4.91596分,50.15%,4.90865分,42.75%,,,,,,,,,,
12,衡水妙悦商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao妙悦旗舰店"，"点我对话"),妙悦旗舰店,妙悦旗舰店,,,,,https://shop68693321.taobao.com,,,21981827.00,北京,马丁靴女,,4.91013分,29.34%,4.84805分,9.86%,4.84516分,2.96%,,,,,,,,,,
13,衡水冠旗商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaovsradiking美萝王旗舰店"，"点我对话"),vsradiking美萝王旗舰店,vsradiking美萝王旗舰店,,,,,https://shop211931402.taobao.com,,,2320188.00,北京,马丁靴女,,4.83603分,0.75%,4.76469分,1.38%,4.75685分,1.73%,,,,,,,,,,
14,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao露露时尚鞋坊"，"点我对话"),露露时尚鞋坊,露露时尚鞋坊,,,,,https://shop65795443.taobao.com,,,0,北京,马丁靴女,,4.74896分,-0.96%,4.79302分,-0.88%,4.79921分,-0.88%,,,,,,,,,,
15,北京艾携商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao艾携鞋类专营店"，"点我对话"),艾携鞋类专营店,艾携鞋类专营店,,,,,https://shop111130140.taobao.com,,,267004.00,北京,马丁靴女,,4.82834分,0.91%,4.80398分,0.57%,4.82482分,0%,,,,,,,,,,
16,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淘之所爱188"，"点我对话"),淘之所爱188,矜淘所爱,,,,,https://shop69974722.taobao.com,,,145217.00,北京,马丁靴女,,4.69734分,-2.04%,4.75489分,-1.67%,4.77185分,-1.45%,,,,,,,,,,
17,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao赵维良"，"点我对话"),赵维良,慧闯天涯批发商,,,,,https://shop35769175.taobao.com,,,2751.00,北京,马丁靴女,,4.79006分,0.10%,4.82873分,0.14%,4.79558分,-0.96%,,,,,,,,,,
18,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxuanning2006"，"点我对话"),xuanning2006,轩宁家,,,,,https://shop65811041.taobao.com,,,209338.00,北京,马丁靴女,,4.72602分,-1.44%,4.79618分,-0.82%,4.80113分,-0.85%,,,,,,,,,,
19,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaowuqilg"，"点我对话"),wuqilg,【北京商盟】【鹤香阁,13910771214,,,,https://shop33175331.taobao.com,,,10854.00,北京,马丁靴女,,4.71429分,-1.68%,4.77143分,-1.32%,4.77143分,-1.46%,,,,,,,,,,
20,北京骆驼鞋业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao骆驼丰台专卖店"，"点我对话"),骆驼丰台专卖店,骆驼丰台专卖店,,,,,https://shop68915531.taobao.com,,,1713940.00,北京,马丁靴女,,4.84833分,0.50%,4.81019分,0%,4.83492分,0%,,,,,,,,,,
21,北京京华唯佳商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卡对旗舰店"，"点我对话"),卡对旗舰店,卡对旗舰店,,,,,https://shop104418920.taobao.com,,,1135344.00,北京,马丁靴女,,4.90857分,28.10%,4.884分,31.20%,4.89029分,31.26%,,,,,,,,,,
22,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱足美鞋会"，"点我对话"),爱足美鞋会,爱足美鞋会,,,,,https://shop159864014.taobao.com,,,92975.00,北京,马丁靴女,,4.75398分,-0.86%,4.80082分,-0.72%,4.79071分,-1.06%,,,,,,,,,,
23,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohuguoqing01"，"点我对话"),huguoqing01,京城绣鞋坊,,,,,https://shop58536391.taobao.com,,,0,北京,马丁靴女,,4.76734,-0.58%,4.79432,-0.85%,4.80734分,-0.72%,,,,,,,,,,
24,北京斯耐特科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淑中美旗舰店"，"点我对话"),淑中美旗舰店,淑中美旗舰店,,,,,https://shop101813017.taobao.com,,,0,北京,马丁靴女,,4.93842分,51.58%,4.92155分,53.46%,4.93211分,57.45%,,,,,,,,,,
25,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoninny_1985"，"点我对话"),ninny_1985,超奇优品鞋库CoushGoo,,,,,https://shop35200199.taobao.com,,,0,北京,马丁靴女,,4.82936分,16.71%,4.87591分,24.51%,4.88954分,30.07%,,,,,,,,,,
26,石家庄千足汇商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao百丽迪芬旗舰店"，"点我对话"),百丽迪芬旗舰店,百丽迪芬旗舰店,,,,,https://shop114114823.taobao.com,,,1701347.00,北京,马丁靴女,,4.90311分,23.81%,4.84083分,5.59%,4.8737分,20.86%,,,,,,,,,,
27,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao光速购物2008"，"点我对话"),光速购物2008,街拍秀Show,,,13717667720,,https://shop58864085.taobao.com,,,5112.00,北京,马丁靴女,,4.5873分,-4.33%,4.63492分,-4.15%,4.6746分,-3.46%,,,,,,,,,,
